date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2020353,0,0,6,-55.29,-36.882,2,2173.5,0
2020354,1,18,6,-55.423,-36.718,2,2220.52,0
2020355,1,0,6,-55.423,-36.718,2,2267.54,0
2020356,1,0,6,-55.423,-36.718,2,2314.56,0
2020357,1,3.329,6,-55.419,-36.666,2,2361.58,0
2020358,1,5.752,6,-55.466,-36.629,2,2408.6,0
2020359,1,0,6,-55.466,-36.629,1,2455.62,0
2020360,1,6.348,6,-55.522,-36.608,1,2502.64,0
2020361,1,4.219,6,-55.54,-36.548,1,2549.66,0
2020362,1,10.367,6,-55.518,-36.388,2,2596.68,0
2020363,1,6.076,6,-55.491,-36.472,1,2643.7,0
2020364,1,4.561,6,-55.515,-36.414,1,2680.39,0
2020365,1,2.362,6,-55.494,-36.421,1,2717.6,0
2020366,1,7.014,7,-55.449,-36.344,1,2759.34,0
2021001,1,2.117,7,-55.436,-36.318,1,2794.08,0
2021002,1,5.586,7,-55.452,-36.402,1,2827.4,0
2021003,1,6.917,7,-55.469,-36.508,2,2859.87,0
2021004,1,3.001,7,-55.467,-36.556,1,2894.99,0
2021005,1,2.612,7,-55.461,-36.596,1,2927,0
2021006,1,1.967,7,-55.452,-36.623,1,2961.17,0
2021007,1,1.634,7,-55.438,-36.616,1,2991.12,0
2021008,1,3.389,7,-55.409,-36.637,1,3020.55,0
2021009,1,4.994,7,-55.367,-36.661,2,3053.16,0.0313
2021010,1,4.572,7,-55.326,-36.665,2,3066.38,-0.0928
2021011,1,3.871,7,-55.293,-36.643,1,3078.39,0.0871
2021012,1,3.721,7,-55.265,-36.611,1,3086.3,-0.0981
2021013,1,3.969,7,-55.241,-36.564,1,3088.46,-0.0533
2021014,1,4.492,7,-55.223,-36.501,1,3095.19,-0.0181
2021015,1,4.524,6,-55.216,-36.431,1,3096.03,0.0964
2021016,1,7.196,7,-55.243,-36.328,1,3088.15,0.3191
2021017,1,7.586,7,-55.295,-36.249,1,3090.92,0.5466
2021018,1,5.498,7,-55.342,-36.225,2,3084.74,0.5602
2021019,1,5.817,7,-55.393,-36.199,2,3087.64,0.7007
2021020,1,7.008,7,-55.452,-36.161,2,3081.65,0.3675
2021021,1,7.002,7,-55.507,-36.106,1,3075.66,0.261
2021022,1,4.981,6,-55.531,-36.039,1,3069.67,0.0537
2021023,1,6.896,7,-55.517,-35.933,1,3063.68,-0.0521
2021024,1,10.882,7,-55.481,-35.771,1,3057.7,-0.0383
2021025,1,13.047,7,-55.435,-35.581,1,3051.71,0
2021026,1,13.309,7,-55.389,-35.386,2,3045.72,0
2021027,1,11.659,7,-55.352,-35.213,2,3039.73,0
2021028,1,9.963,7,-55.326,-35.062,2,3033.74,0
2021029,1,9.397,6,-55.303,-34.919,2,3027.75,0
