date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2020358,0,0,6,-56.807,-35.53,1,4641.07,-0.355
2020359,1,12.664,6,-56.773,-35.729,1,4521.95,-0.0558
2020360,1,32.088,6,-56.81,-35.206,1,4402.82,0.2774
2020361,1,0,6,-56.81,-35.206,1,4283.7,0.5859
2020362,1,23.953,6,-56.629,-34.992,2,4164.57,0.8106
2020363,1,8.153,6,-56.597,-35.111,1,4045.45,0.8686
2020364,1,12.945,6,-56.505,-35.241,1,3926.32,0.6489
2020365,1,10.455,6,-56.511,-35.411,1,3807.2,0.2407
2020366,1,11.44,7,-56.424,-35.511,1,3688.08,0.0249
2021001,1,6.802,7,-56.363,-35.519,1,3568.95,-0.0633
2021002,1,16.731,7,-56.242,-35.358,1,3449.83,-0.0406
2021003,1,22.711,7,-56.113,-35.072,2,3330.7,0
2021004,1,24.032,7,-55.999,-34.744,1,3211.58,0
2021005,1,24.949,7,-55.871,-34.413,1,3112.56,0
2021006,1,25.147,7,-55.715,-34.123,1,3012.84,-0.0179
2021007,1,23.139,7,-55.533,-33.943,1,2912.7,0.0384
2021008,1,26.115,7,-55.298,-33.916,2,2827.56,-0.0098
2021009,1,29.814,7,-55.031,-33.971,2,2719.28,-0.0039
2021010,1,31.263,7,-54.765,-34.129,2,2619.7,0.0712
2021011,1,31.946,7,-54.507,-34.35,1,2518.4,0.0007
2021012,1,31.082,7,-54.264,-34.586,1,2473.68,0.0733
2021013,1,28.487,7,-54.045,-34.816,1,2432.07,0.0897
2021014,1,18.453,7,-53.903,-34.961,1,2410.63,0.0846
2021015,1,8.397,7,-53.834,-35.013,1,2376.44,0.1146
2021016,1,5.063,7,-53.79,-35.034,2,2358.21,0.0306
2021017,1,15.736,7,-53.655,-35.109,2,2329.31,0.0278
2021018,1,25.026,7,-53.442,-35.231,2,2309.74,0.0426
2021019,1,14.643,7,-53.317,-35.301,2,2282.66,-0.0579
2021020,1,0.13,7,-53.316,-35.302,2,2256.87,0.0111
2021021,1,0.299,7,-53.315,-35.306,2,2238.34,0
2021022,1,3.322,6,-53.287,-35.323,2,2225.73,0
2021023,1,4.227,7,-53.257,-35.364,2,2210.22,0
2021024,1,5.683,7,-53.228,-35.434,2,2198.38,0
2021025,1,6.602,7,-53.199,-35.521,2,2192.39,0
2021026,1,6.75,7,-53.169,-35.609,2,2182.77,0
2021027,1,9.233,7,-53.102,-35.691,2,2174.53,0
2021028,1,14.418,7,-52.983,-35.778,2,2172.14,0
2021029,1,17.238,7,-52.841,-35.881,2,2172.68,0
2021030,1,19.1,7,-52.697,-36.037,2,2166.19,0
2021031,1,26.851,7,-52.533,-36.33,1,2164.89,0
2021032,1,27.096,7,-52.407,-36.672,1,2164.02,0
2021033,1,20.547,7,-52.349,-36.96,1,2162.11,0
2021034,1,18.279,7,-52.303,-37.218,2,2160.8,0
2021035,1,14.918,7,-52.277,-37.434,2,2160.58,0
2021036,1,10.688,7,-52.276,-37.591,2,2161.48,0
2021037,1,9.109,7,-52.312,-37.712,2,2162.19,0
2021038,1,17.201,7,-52.445,-37.839,2,2162.45,0
2021039,1,22.343,7,-52.639,-37.93,2,2162.67,0
2021040,1,19.316,7,-52.811,-37.966,2,2163,0
2021041,1,12.76,7,-52.925,-37.939,2,2163.65,0
2021042,1,11.124,7,-53.025,-37.924,2,2164.28,0
2021043,1,8.689,6,-53.103,-37.929,2,2164.61,0
2021044,1,8.976,7,-53.181,-37.966,2,2164.99,0
2021045,1,7.375,7,-53.239,-38.017,2,2165.26,0
2021046,1,7.309,7,-53.234,-38.127,2,2165.54,0
2021047,1,6.747,7,-53.265,-38.214,2,2165.92,0
2021048,1,5.738,7,-53.291,-38.288,2,2165.99,0
2021049,1,7.574,7,-53.343,-38.363,2,2166.15,0
2021050,1,6.671,6,-53.381,-38.441,1,2166.31,0
2021051,1,10.307,5,-53.382,-38.596,1,2166.48,0
2021052,1,11.026,5,-53.354,-38.756,0,2166.64,0
2021053,1,13.925,5,-53.35,-38.966,0,2166.81,0
2021054,1,23.05,5,-53.406,-39.301,0,2166.97,0
2021055,1,0,5,-53.406,-39.301,0,2167.14,0
2021056,1,6.592,5,-53.413,-39.4,0,2167.3,0
2021057,1,9.135,5,-53.347,-39.484,0,2167.46,0
2021058,1,11.294,5,-53.262,-39.577,0,2167.63,0
2021059,1,9.873,5,-53.226,-39.713,0,2167.79,0
2021060,1,11.691,5,-53.209,-39.886,0,2167.96,0
