date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2021027,0,0,6,-56.508,-36.01,2,4408.81,0
2021028,1,12.063,6,-56.589,-35.879,2,4331.17,0
2021029,1,8.061,6,-56.66,-35.851,2,4253.54,0
2021030,1,13.403,7,-56.764,-35.739,1,4175.91,0
2021031,1,12.508,7,-56.71,-35.559,1,4098.28,0
2021032,1,6.746,7,-56.75,-35.476,1,4020.64,0
2021033,1,5.845,7,-56.752,-35.381,1,3943.01,0
2021034,1,6.441,7,-56.796,-35.312,1,3865.38,0
2021035,1,5.544,7,-56.835,-35.255,2,3787.75,0
2021036,1,7.837,7,-56.773,-35.193,2,3710.11,0
2021037,1,10.311,7,-56.68,-35.183,2,3632.48,0
2021038,1,8.838,7,-56.629,-35.294,2,3554.85,0
2021039,1,13.298,7,-56.565,-35.476,1,3475.44,0
2021040,1,19.751,7,-56.443,-35.712,1,3422.74,0
2021041,1,18.817,7,-56.326,-35.932,1,3346.75,0
2021042,1,10.027,7,-56.265,-36.053,1,3300.97,0
2021043,1,5.325,7,-56.235,-36.121,1,3258.34,0
2021044,1,2.126,7,-56.251,-36.139,1,3222.64,0.0463
2021045,1,30.504,7,-56.526,-36.144,1,3169.94,-0.0309
2021046,1,25.49,7,-56.728,-35.946,2,3114.99,-0.086
2021047,1,26.214,7,-56.906,-35.663,1,3096.09,-0.2358
2021048,1,23.503,7,-57.05,-35.377,1,3048.15,-0.0972
2021049,1,18.928,7,-57.147,-35.12,2,3002.43,0.1275
2021050,1,11.217,7,-57.086,-34.972,2,2989.06,0.4086
2021051,1,20.651,7,-56.902,-34.924,1,2991.04,0.338
2021052,1,19.451,7,-56.73,-34.989,2,2982.52,0.2656
2021053,1,18.05,7,-56.609,-35.185,2,2968.26,0.0458
2021054,1,22.502,7,-56.488,-35.481,2,2989.62,-0.1517
2021055,1,23.653,7,-56.373,-35.805,2,3019.59,-0.373
2021056,1,20.967,7,-56.265,-36.085,2,3055.99,-0.2515
2021057,1,14.703,6,-56.17,-36.25,2,3072.23,-0.0742
2021058,1,11.269,7,-56.079,-36.331,1,3089.49,0.1113
2021059,1,11.391,7,-55.985,-36.406,1,3133.45,0
2021060,1,11.099,7,-55.893,-36.472,1,3157.25,0
2021061,1,10.392,7,-55.804,-36.528,1,3197.76,0
2021062,1,9.269,7,-55.725,-36.572,1,3238.27,0
2021063,1,7.729,7,-55.657,-36.603,1,3278.78,0
2021064,1,5.78,7,-55.606,-36.619,1,3319.29,0
2021065,1,4.214,7,-55.568,-36.614,1,3359.8,0
2021066,1,4.301,7,-55.536,-36.577,1,3400.3,0
2021067,1,5.715,7,-55.506,-36.503,1,3440.81,0
2021068,1,7.245,7,-55.48,-36.397,1,3481.32,0
2021069,1,8.636,7,-55.46,-36.265,1,3521.83,0
2021070,1,9.818,7,-55.446,-36.111,1,3562.34,0
2021071,1,10.766,6,-55.44,-35.94,1,3602.85,0
