date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2021029,0,0,6,-56.871,-35.19,2,3908.99,-0.2156
2021030,1,19.079,7,-57.043,-35.175,1,3908.99,0.3084
2021031,1,12.387,6,-57.153,-35.142,1,3908.99,0.5374
2021032,1,7.06,6,-57.208,-35.083,1,3908.99,0.5473
2021033,1,9.198,7,-57.178,-34.94,1,3908.99,0.4137
2021034,1,14.626,7,-57.114,-34.728,1,3908.99,0.2967
2021035,1,13.619,7,-57.049,-34.536,2,3908.99,0.1063
2021036,1,6.012,6,-57.02,-34.453,2,3908.99,-0.1271
2021037,1,4.05,7,-57.027,-34.518,2,3908.99,-0.0715
2021038,1,2.709,7,-57.047,-34.491,2,3908.99,-0.0237
2021039,1,3.094,7,-57.059,-34.445,1,3908.99,0.021
2021040,1,5.715,7,-57.052,-34.351,1,3908.99,0
2021041,1,10.004,7,-57.042,-34.186,1,3908.99,0
2021042,1,13.654,7,-57.028,-33.962,1,3908.99,0
2021043,1,16.649,7,-57.007,-33.69,1,3908.99,0
2021044,1,18.023,5,-56.973,-33.398,1,3908.99,0
