date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2021031,0,0,6,-56.819,-35.215,1,2585.07,0
2021032,1,5.296,6,-56.791,-35.144,1,2647.11,0
2021033,1,4.233,6,-56.763,-35.097,1,2709.15,0
2021034,1,5.022,7,-56.777,-35.175,1,2771.2,0
2021035,1,5.02,6,-56.792,-35.253,2,2833.24,0
2021036,1,9.557,6,-56.759,-35.108,2,2895.28,0
2021037,1,8.314,7,-56.82,-35.188,2,2957.32,0
2021038,1,15.11,7,-56.687,-35.243,2,3019.36,0
2021039,1,17.917,7,-56.642,-35.525,1,3081.41,0
2021040,1,19.455,7,-56.501,-35.715,1,3143.45,0
2021041,1,15.625,7,-56.502,-35.97,1,3205.49,0
2021042,1,9.562,7,-56.461,-36.107,1,3278.58,0
2021043,1,6.745,6,-56.44,-36.21,1,3354.54,0
2021044,1,7.289,7,-56.495,-36.144,1,3407.46,0
2021045,1,17.004,7,-56.618,-35.979,1,3469.15,0
2021046,1,19.52,7,-56.75,-35.768,1,3534.2,0
2021047,1,15.433,7,-56.83,-35.561,1,3612.78,0
2021048,1,11.213,7,-56.824,-35.377,1,3678.42,0
2021049,1,4.132,7,-56.789,-35.397,2,3739.51,0
2021050,1,4.027,7,-56.793,-35.331,2,3808.19,0
2021051,1,4.296,7,-56.791,-35.261,1,3858.54,0
2021052,1,5.002,7,-56.789,-35.179,1,3936.25,0
2021053,1,5.207,7,-56.789,-35.093,1,4020.82,0
2021054,1,4.922,7,-56.788,-35.012,1,4097.18,0
2021055,1,4.136,7,-56.787,-34.944,1,4176.45,0
2021056,1,2.861,7,-56.785,-34.897,1,4260.79,0
2021057,1,1.171,6,-56.78,-34.88,2,4314.24,0
2021058,1,8.293,7,-56.751,-35.006,1,4380.07,0
2021059,1,5.074,7,-56.756,-35.089,1,4428.19,0.0713
2021060,1,5.531,7,-56.766,-35.178,1,4474.16,0.0172
2021061,1,5.762,7,-56.779,-35.269,1,4496.07,-0.14
2021062,1,5.743,7,-56.791,-35.361,1,4528.19,-0.2881
2021063,1,5.471,7,-56.798,-35.45,1,4560.32,-0.5092
2021064,1,5.039,7,-56.799,-35.533,1,4592.44,-0.4958
2021065,1,4.882,7,-56.79,-35.612,1,4624.57,-0.4059
2021066,1,5.089,7,-56.774,-35.69,1,4656.69,-0.2397
2021067,1,5.354,7,-56.75,-35.767,1,4688.81,0.0029
2021068,1,5.65,7,-56.721,-35.842,1,4720.94,0.1081
2021069,1,5.925,7,-56.685,-35.914,1,4753.06,0.1387
2021070,1,6.183,7,-56.645,-35.984,1,4785.18,0.0796
2021071,1,6.385,6,-56.6,-36.05,1,4817.31,-0.084
