date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2020191,0,0,6,-69.015,-60.503,0,1924.42,0
2020192,1,6.369,6,-68.959,-60.529,0,1922.42,0
2020193,1,3.557,7,-68.99,-60.547,0,1920.42,0
2020194,1,0.18,7,-68.989,-60.549,0,1918.42,0
2020195,1,0.276,7,-68.987,-60.553,0,1916.42,0
2020196,1,0.362,7,-68.984,-60.559,0,1914.41,0
2020197,1,0.423,7,-68.981,-60.565,0,1912.41,0
2020198,1,8.469,7,-69.056,-60.528,0,1910.41,0
2020199,1,0.505,6,-69.052,-60.535,0,1908.41,0
2020200,1,0.845,7,-69.046,-60.546,0,1906.41,0
2020201,1,10.191,7,-68.957,-60.607,0,1904.4,0
2020202,1,1.637,7,-68.944,-60.627,0,1902.4,0
2020203,1,2.219,7,-68.931,-60.67,0,1900.4,0
2020204,1,2.925,7,-68.92,-60.736,0,1898.02,0
2020205,1,2.611,7,-68.912,-60.798,0,1896.08,0
2020206,1,1.181,6,-68.91,-60.826,0,1892.88,0
2020207,1,0.033,7,-68.909,-60.827,0,1890.15,0
2020208,1,0.111,7,-68.909,-60.825,0,1887.43,0
2020209,1,0.238,7,-68.908,-60.819,0,1884.56,0
2020210,1,0.371,7,-68.907,-60.811,0,1882.08,0
2020211,1,0.5,7,-68.905,-60.799,0,1877.39,0
2020212,1,0.638,7,-68.903,-60.784,0,1874.3,0
2020213,1,0.771,6,-68.9,-60.767,0,1869.49,0
2020214,1,2.328,7,-68.89,-60.716,0,1865.14,0
2020215,1,2.338,7,-68.871,-60.741,0,1859.08,0
2020216,1,1.763,7,-68.857,-60.763,0,1852.06,0
2020217,1,0.5,7,-68.855,-60.751,0,1845.31,0
2020218,1,0.486,7,-68.854,-60.74,0,1837.08,0
2020219,1,0.399,7,-68.853,-60.731,0,1828.33,0
2020220,1,0.243,6,-68.852,-60.725,0,1816.78,0
2020221,1,0.146,7,-68.852,-60.721,0,1806.33,0
2020222,1,0.138,7,-68.852,-60.718,0,1790.45,0
2020223,1,0.124,7,-68.852,-60.714,0,1773.93,0
2020224,1,0.104,7,-68.852,-60.712,0,1754.43,0
2020225,1,0.082,7,-68.852,-60.71,0,1745.65,0
2020226,1,0.054,7,-68.852,-60.708,0,1728.8,0
2020227,1,0.018,7,-68.852,-60.708,0,1707.63,0
2020228,1,0,7,-68.852,-60.708,1,1685.67,0
2020229,1,0,7,-68.852,-60.708,1,1663.71,0
2020230,1,0,7,-68.852,-60.708,0,1641.88,0
2020231,1,0,7,-68.852,-60.708,0,1621.24,0
2020232,1,0,7,-68.852,-60.708,0,1600.23,0
2020233,1,0,7,-68.852,-60.708,0,1578.48,0
2020234,1,0,7,-68.852,-60.708,0,1556.88,0
2020235,1,0,7,-68.852,-60.708,1,1535.58,0
2020236,1,0,7,-68.852,-60.708,1,1516.12,0
2020237,1,0,7,-68.852,-60.708,1,1494.42,0
2020238,1,0,7,-68.852,-60.708,1,1473.38,0
2020239,1,0,7,-68.852,-60.708,1,1453.99,0
2020240,1,0,7,-68.852,-60.708,1,1435.25,0
2020241,1,0,7,-68.852,-60.708,1,1416.54,0
2020242,1,0.063,7,-68.852,-60.707,1,1399.41,0
2020243,1,0.163,7,-68.85,-60.705,1,1383.23,0
2020244,1,0.22,7,-68.849,-60.701,1,1367.78,0
2020245,1,0.246,7,-68.847,-60.698,1,1354.79,0
2020246,1,0.22,7,-68.845,-60.695,1,1341.12,0
2020247,1,0.163,7,-68.844,-60.692,1,1332.38,0
2020248,1,0.063,6,-68.844,-60.691,1,1324.81,0
2020249,1,0.065,7,-68.844,-60.693,1,1320.16,0
2020250,1,0.171,7,-68.845,-60.696,1,1304.84,0
2020251,1,0.24,7,-68.846,-60.701,1,1297.72,0
2020252,1,0.266,7,-68.848,-60.706,1,1295.08,0
2020253,1,0.265,7,-68.849,-60.711,1,1293.07,0
2020254,1,0.219,7,-68.851,-60.715,1,1291.23,0
2020255,1,0.16,7,-68.852,-60.716,1,1289.41,0
2020256,1,0.198,7,-68.853,-60.713,1,1287.76,0
2020257,1,0.372,7,-68.855,-60.705,1,1286.14,0
2020258,1,0.49,7,-68.857,-60.693,1,1284.68,0
2020259,1,0.524,7,-68.858,-60.681,1,1283.03,0
2020260,1,0.477,7,-68.859,-60.67,1,1281.55,0
2020261,1,0.345,7,-68.86,-60.661,1,1313.76,0
2020262,1,0.134,6,-68.86,-60.658,1,1363.93,0
2020263,1,0.451,7,-68.864,-60.655,1,1412.92,0
2020264,1,1.122,7,-68.874,-60.647,1,1477.46,0
2020265,1,1.462,7,-68.887,-60.637,1,1523.44,0
2020266,1,1.455,7,-68.899,-60.627,1,1542.8,0
2020267,1,1.118,7,-68.909,-60.619,1,1552.08,0
2020268,1,0.444,7,-68.913,-60.617,1,1561.51,0
2020269,1,0.018,6,-68.913,-60.617,1,1562.09,0
2020270,1,1.966,5,-68.926,-60.651,0,1562.58,0
2020271,1,0,5,-68.926,-60.651,0,1553.99,0
2020272,1,0,5,-68.926,-60.651,0,1545.57,0
2020273,1,0,5,-68.926,-60.651,0,0,0
2020274,1,0,5,-68.926,-60.651,0,0,0
2020275,1,0,5,-68.926,-60.651,0,0,0
2020276,1,0,5,-68.926,-60.651,0,0,0
2020277,1,0,5,-68.926,-60.651,0,0,0
2020278,1,6.623,5,-68.9,-60.501,0,0,0
2020279,1,0,5,-68.9,-60.501,0,0,0
2020280,1,0,5,-68.9,-60.501,0,1537.15,0
2020281,1,0,5,-68.9,-60.501,0,1528.87,0
2020282,1,0,5,-68.9,-60.501,0,1520.6,0
2020283,1,2.474,6,-68.883,-60.542,1,1512.47,0
2020284,1,0.028,7,-68.883,-60.542,1,1504.35,0
2020285,1,2.355,3,-68.867,-60.578,1,1496.22,0
2020286,1,0.248,3,-68.867,-60.572,1,1488.09,0
2020287,1,0.32,3,-68.867,-60.564,1,1479.97,0
2020288,1,0.372,3,-68.867,-60.554,1,1471.84,0
2020289,1,0.412,3,-68.867,-60.544,1,1463.71,0
2020290,1,0.432,3,-68.867,-60.533,1,1455.59,0
2020291,1,0.692,3,-68.867,-60.516,1,1447.66,0
2020292,1,1.076,3,-68.867,-60.489,1,1439.73,0
2020293,1,1.285,3,-68.867,-60.457,1,1398.11,0
2020294,1,1.313,3,-68.867,-60.424,1,1339.74,0
2020295,1,1.161,3,-68.867,-60.395,1,1282.55,0
2020296,1,0.824,3,-68.867,-60.375,1,1208.93,0
2020297,1,0.316,3,-68.867,-60.367,1,1154.02,0
2020298,1,0.381,3,-68.868,-60.376,1,1126.47,0
2020299,1,0.989,3,-68.87,-60.4,1,1108.27,0
2020300,1,1.352,3,-68.873,-60.432,1,1090.1,0
2020301,1,1.471,3,-68.877,-60.468,1,1081,0
2020302,1,2.473,7,-68.895,-60.43,1,1071.93,0
2020303,1,0.494,7,-68.896,-60.442,1,1071.93,0
2020304,1,0.191,6,-68.896,-60.447,1,1071.93,0
2020305,1,1.196,7,-68.893,-60.419,1,1071.93,0
2020306,1,4.559,7,-68.865,-60.334,1,1071.93,0
2020307,1,6.893,7,-68.826,-60.199,1,1071.93,0
2020308,1,11.055,7,-68.798,-59.935,1,1071.93,0
2020309,1,9.47,7,-68.741,-59.761,1,1071.93,0
2020310,1,3.315,7,-68.727,-59.688,1,1071.93,0
2020311,1,7.82,6,-68.739,-59.497,1,1071.93,0
2020312,1,2.607,5,-68.761,-59.477,0,1071.93,0
2020313,1,0,5,-68.761,-59.477,0,1071.93,0
2020314,1,0,5,-68.761,-59.477,0,1071.93,0
2020315,1,10.457,5,-68.772,-59.218,0,1071.93,0
2020316,1,5.784,5,-68.748,-59.346,0,1071.93,0
2020317,1,0,5,-68.748,-59.346,0,1071.93,0
2020318,1,0,5,-68.748,-59.346,0,1091.81,0
2020319,1,4.946,5,-68.724,-59.45,0,1111.69,0
2020320,1,0,5,-68.724,-59.45,0,1151.44,0
2020321,1,7.52,5,-68.658,-59.494,0,1191.2,0
2020322,1,4.506,5,-68.663,-59.605,0,1250.84,0
2020323,1,3.339,5,-68.667,-59.687,0,1310.47,0
2020324,1,0,5,-68.667,-59.687,0,1389.99,0
2020325,1,0,5,-68.667,-59.687,0,1469.5,0
2020326,1,0,5,-68.667,-59.687,0,0,0
2020327,1,0,5,-68.667,-59.687,0,0,0
2020328,1,16.113,5,-68.552,-59.93,0,0,0
2020329,1,0,5,-68.552,-59.93,0,0,0
2020330,1,9.046,5,-68.535,-60.148,0,0,0
2020331,1,0,5,-68.535,-60.148,0,0,0
2020332,1,0,5,-68.535,-60.148,0,0,0
2020333,1,9.847,5,-68.54,-60.39,0,0,0
2020334,1,0,5,-68.54,-60.39,0,0,0
2020335,1,0,5,-68.54,-60.39,0,0,0
2020336,1,0,5,-68.54,-60.39,0,0,0
2020337,1,5.907,5,-68.536,-60.535,0,0,0
2020338,1,0,5,-68.536,-60.535,0,0,0
2020339,1,0,5,-68.536,-60.535,0,0,0
2020340,1,10.719,5,-68.447,-60.637,0,0,0
2020341,1,0,5,-68.447,-60.637,0,0,0
2020342,1,0,5,-68.447,-60.637,0,0,0
2020343,1,0,5,-68.447,-60.637,0,0,0
2020344,1,0,5,-68.447,-60.637,0,0,0
2020345,1,0,5,-68.447,-60.637,0,0,0
2020346,1,0,5,-68.447,-60.637,0,0,0
2020347,1,13.455,5,-68.383,-60.356,0,0,0
2020348,1,4.948,5,-68.363,-60.248,0,0,0
2020349,1,3.75,5,-68.344,-60.172,0,0,0
2020350,1,6.254,5,-68.296,-60.095,0,0,0
2020351,1,0,5,-68.296,-60.095,0,0,0
2020352,1,0,5,-68.296,-60.095,0,0,0
2020353,1,7.259,5,-68.23,-60.105,0,0,0
2020354,1,5.118,5,-68.231,-59.981,0,0,0
2020355,1,4.997,5,-68.276,-59.977,0,0,0
2020356,1,3.136,5,-68.283,-60.051,0,0,0
2020357,1,2.593,5,-68.302,-60.088,0,0,0
2020358,1,7.094,5,-68.269,-60.235,0,0,0
2020359,1,6.03,5,-68.223,-60.315,0,0,0
2020360,1,4.935,5,-68.195,-60.408,0,0,0
2020361,1,10.872,5,-68.21,-60.669,0,0,0
2020362,1,0,5,-68.21,-60.669,0,0,0
2020363,1,0,5,-68.21,-60.669,0,0,0
2020364,1,10.548,5,-68.169,-60.437,0,0,0
2020365,1,0,5,-68.169,-60.437,0,0,0
2020366,1,1.308,7,-68.179,-60.456,0,0,0
2021001,1,0.655,7,-68.178,-60.471,0,0,0
2021002,1,1.749,7,-68.176,-60.513,0,0,0
2021003,1,2.209,7,-68.174,-60.567,0,0,0
2021004,1,2.511,7,-68.172,-60.627,1,0,0
2021005,1,2.651,7,-68.169,-60.691,1,0,0
2021006,1,2.633,7,-68.166,-60.754,1,0,0
2021007,1,2.454,7,-68.163,-60.813,1,0,0
2021008,1,4.105,3,-68.2,-60.8,1,0,0
2021009,1,2.204,3,-68.191,-60.848,0,0,0
2021010,1,9.877,5,-68.117,-60.98,0,0,0
2021012,2,0,5,-68.117,-60.98,0,0,0
2021013,1,11.185,5,-68.048,-61.178,0,0,0
2021014,1,0,5,-68.048,-61.178,0,0,0
2021015,1,4.176,3,-68.03,-61.09,0,0,0
2021017,2,5.91,5,-68.002,-61.211,0,0,0
2021019,2,4.306,5,-68.03,-61.139,0,0,0
2021020,1,0,5,-68.03,-61.139,0,0,0
2021021,1,0,5,-68.03,-61.139,0,0,0
2021022,1,1.98,3,-68.02,-61.1,0,0,0
2021024,2,2.948,5,-67.995,-61.125,0,0,0
2021025,1,0,5,-67.995,-61.125,0,0,0
2021026,1,5.861,5,-67.943,-61.117,0,0,0
2021027,1,0,5,-67.943,-61.117,0,0,0
2021028,1,0,5,-67.943,-61.117,0,0,0
2021029,1,0.867,6,-67.946,-61.098,0,0,0
2021030,1,0.867,5,-67.943,-61.117,0,0,0
2021031,1,0,5,-67.943,-61.117,0,0,0
2021032,1,0,5,-67.943,-61.117,0,0,0
