date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2020192,0,0,6,-68.925,-60.5,0,1876.6,0
2020193,1,1.946,7,-68.937,-60.536,0,2111.85,0
2020194,1,1.703,7,-68.948,-60.566,0,2347.11,0
2020195,1,1.445,7,-68.957,-60.59,0,2582.36,0
2020196,1,1.167,7,-68.965,-60.609,0,2817.62,0
2020197,1,0.863,7,-68.972,-60.623,0,3052.87,0
2020198,1,0.536,7,-68.975,-60.631,0,3288.13,0
2020199,1,0.188,6,-68.977,-60.633,0,3523.38,0
2020200,1,0.326,7,-68.979,-60.628,0,3758.64,0
2020201,1,8.072,7,-69.051,-60.604,0,3993.89,0
2020202,1,1.15,7,-69.06,-60.586,0,4229.15,0
2020203,1,1.251,7,-69.068,-60.566,0,4464.4,0
2020204,1,1.15,7,-69.077,-60.549,0,4699.66,0
2020205,1,0.657,7,-69.077,-60.532,0,4941.38,0
2020206,1,1.442,7,-69.065,-60.518,0,5151.7,0
2020207,1,2.531,7,-69.043,-60.504,0,5368.19,0
2020208,1,3.312,7,-69.014,-60.489,0,5617.35,0
2020209,1,3.757,7,-68.98,-60.472,0,5868.12,0
2020210,1,3.913,7,-68.946,-60.455,0,6115.64,0
2020211,1,3.749,7,-68.912,-60.44,0,6414.43,0
2020212,1,3.259,7,-68.883,-60.428,0,6710.99,0
2020213,1,2.482,7,-68.861,-60.421,0,6949.95,0
2020214,1,1.593,7,-68.847,-60.42,0,7178.36,0
2020215,1,1.273,7,-68.835,-60.423,0,7408.17,0
2020216,1,1.409,7,-68.823,-60.428,0,7628.87,0
2020217,1,4.948,7,-68.78,-60.465,0,7855.94,0
2020218,1,6.263,7,-68.727,-60.517,0,8063.93,0
2020219,1,1.125,7,-68.717,-60.52,0,8268.49,0
2020220,1,0.8,6,-68.71,-60.523,0,8473.73,0
2020221,1,0.537,7,-68.705,-60.525,0,8673.93,0
2020222,1,0.444,7,-68.701,-60.526,0,8874.49,0
2020223,1,0.377,7,-68.698,-60.528,0,9069.87,0
2020224,1,0.337,7,-68.695,-60.529,0,9250.07,0
2020225,1,0.33,7,-68.692,-60.53,0,9417.72,0
2020226,1,0.356,7,-68.689,-60.531,0,9557.42,0
2020227,1,0.416,7,-68.685,-60.531,0,9713.54,0
2020228,1,0.538,7,-68.68,-60.531,0,9850,0
2020229,1,0.66,7,-68.674,-60.531,0,9956.8,0
2020230,1,0.705,7,-68.668,-60.531,0,10053.37,0
2020231,1,0.672,7,-68.662,-60.531,0,10189.17,0
2020232,1,0.577,7,-68.656,-60.531,0,10312.03,0
2020233,1,0.4,7,-68.653,-60.531,0,10383.32,0
2020234,1,0.15,7,-68.651,-60.531,0,10472.34,0
2020235,1,0,7,-68.651,-60.531,0,10557.17,0
2020236,1,0,7,-68.651,-60.531,0,10636.34,0
2020237,1,0,7,-68.651,-60.531,0,10716.41,0.0514
2020238,1,4.058,7,-68.615,-60.523,0,10789.39,-0.0343
2020239,1,0,7,-68.615,-60.523,0,10862.03,-0.0954
2020240,1,0,7,-68.615,-60.523,0,10943.21,-0.1313
2020241,1,0,7,-68.615,-60.523,0,11021.95,-0.145
2020242,1,0.053,7,-68.615,-60.523,0,11077.53,-0.1338
2020243,1,0.142,7,-68.613,-60.522,0,11153.38,-0.0977
2020244,1,0.189,7,-68.612,-60.52,0,11226.22,-0.0368
2020245,1,0.213,7,-68.61,-60.518,0,11284.49,0.0491
2020246,1,0.189,7,-68.608,-60.517,0,11348.06,-0.0017
2020247,1,2.864,7,-68.589,-60.562,0,11406.65,-0.0006
2020248,1,0.053,6,-68.588,-60.562,0,11460.69,0.0009
2020249,1,0.018,7,-68.588,-60.562,0,11520.93,0
2020250,1,0.049,7,-68.588,-60.563,0,11577.46,0
2020251,1,0.065,7,-68.588,-60.565,0,11624.58,0
2020252,1,0.073,7,-68.588,-60.567,0,11657.56,0
2020253,1,0.065,7,-68.588,-60.568,0,11696.25,0
2020254,1,0.049,7,-68.588,-60.57,0,11750.42,0
2020255,1,0.018,7,-68.588,-60.57,0,11797.6,0
2020256,1,0.09,7,-68.589,-60.568,0,11828.05,0
2020257,1,0.234,7,-68.59,-60.563,0,11856.62,0
2020258,1,0.318,7,-68.591,-60.557,0,11897.3,0
2020259,1,0.35,7,-68.593,-60.55,1,11912.03,0
2020260,1,0.318,7,-68.595,-60.543,1,11924.84,0
2020261,1,0.234,7,-68.596,-60.539,1,11935.91,0
2020262,1,0.09,7,-68.596,-60.537,1,11945.21,0
2020263,1,0.026,7,-68.596,-60.537,1,11952.59,0
2020264,1,0.073,7,-68.596,-60.539,1,11958.09,0
2020265,1,0.105,7,-68.596,-60.542,1,11951.12,0
2020266,1,0.122,7,-68.596,-60.545,1,11943.05,0
2020267,1,0.13,7,-68.596,-60.548,1,11944.18,0
2020268,1,0.119,7,-68.596,-60.551,1,11931.13,0
2020269,1,0.099,6,-68.596,-60.553,1,11916.47,0
2020270,1,2.601,5,-68.609,-60.607,0,11911.18,0
2020271,1,0,5,-68.609,-60.607,0,11889.26,0
2020272,1,0,5,-68.609,-60.607,0,11868,0
2020273,1,0,5,-68.609,-60.607,0,11846.84,0
2020274,1,0,5,-68.609,-60.607,0,11825.07,0
2020275,1,0,5,-68.609,-60.607,0,11803.21,0
2020276,1,0,5,-68.609,-60.607,0,11780.54,0
2020277,1,0,5,-68.609,-60.607,0,11761.16,0
2020278,1,0,5,-68.609,-60.607,0,11742.94,0
2020279,1,0,5,-68.609,-60.607,0,11719.72,0
