date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2021022,0,0,6,-69.62,-60.83,1,1723.78,0.0039
2021023,1,0,7,-69.62,-60.83,1,1699.29,-0.0043
2021024,1,0,7,-69.62,-60.83,0,1674.8,-0.0008
2021025,1,0,6,-69.62,-60.83,0,1650.32,0.009
2021026,1,0,6,-69.62,-60.83,0,1625.83,0.0197
2021027,1,0,6,-69.62,-60.83,0,1601.34,0.0146
2021028,1,2.008,6,-69.612,-60.783,0,1576.85,0.0122
2021029,1,2.214,6,-69.602,-60.733,0,1552.36,-0.003
2021030,1,0.122,7,-69.601,-60.733,0,1527.88,-0.0035
2021031,1,0.317,7,-69.598,-60.733,0,1503.39,-0.0037
2021032,1,0.433,7,-69.594,-60.732,0,1482.3,-0.0015
2021033,1,0.478,7,-69.59,-60.732,0,1462.49,-0.0109
2021034,1,0.434,7,-69.586,-60.731,0,1439.21,-0.0175
2021035,1,1.819,7,-69.57,-60.734,0,1421.54,-0.0084
2021036,1,1.63,6,-69.555,-60.737,0,1401.09,0.0084
2021037,1,0.261,7,-69.556,-60.731,0,1381.17,0.0061
2021038,1,0.59,7,-69.557,-60.716,0,1361.65,0.0163
2021039,1,0.786,7,-69.559,-60.697,0,1339.91,0.0227
2021040,1,2.534,7,-69.537,-60.686,0,1321.74,0.0925
2021041,1,1.337,7,-69.538,-60.652,0,1304.89,-0.0496
2021042,1,1.628,7,-69.54,-60.61,0,1290.41,-0.1539
2021043,1,0.793,6,-69.54,-60.59,0,1276.5,-0.1921
2021044,1,0.253,7,-69.54,-60.596,0,1268.81,-0.1332
2021045,1,1.866,7,-69.526,-60.626,0,1260.97,-0.2468
2021046,1,3.248,7,-69.502,-60.673,0,1253.7,-0.2843
2021047,1,2.204,7,-69.487,-60.71,0,1248.82,-0.2496
2021048,1,0.965,7,-69.483,-60.733,0,1244.7,-0.1423
2021049,1,1.316,7,-69.486,-60.766,0,1239.75,-0.1977
2021050,1,1.672,7,-69.493,-60.803,0,1236.7,-0.1414
2021051,1,0.656,7,-69.491,-60.819,0,1233.65,-0.0482
2021052,1,7.236,7,-69.429,-60.764,0,1230.59,0.0754
2021053,1,4.246,7,-69.391,-60.772,0,1227.54,0
2021054,1,4.111,7,-69.354,-60.789,0,1224.49,0
2021055,1,4.973,7,-69.309,-60.79,0,1221.44,0
2021056,1,7.291,7,-69.245,-60.756,0,1218.39,0
2021057,1,5.597,7,-69.195,-60.735,0,1215.34,0
2021058,1,3.401,5,-69.216,-60.797,0,1212.28,0
