date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2023132,0,0,6,-54.16,-41.96,0,0,0
2023133,1,0,7,-54.16,-41.96,0,0,0
2023134,1,6.105,7,-54.126,-42.034,0,0,0
2023135,1,4.03,7,-54.111,-41.978,0,0,0
2023136,1,0,7,-54.111,-41.978,0,0,0
2023137,1,0,7,-54.111,-41.978,0,0,0
2023138,1,1.272,7,-54.119,-41.992,0,0,0
2023139,1,2.556,6,-54.136,-42.019,0,0,0
2023140,1,8.651,5,-54.166,-42.142,0,0,0
2023141,1,11.585,5,-54.064,-42.182,0,0,0
2023142,1,0,5,-54.064,-42.182,0,0,0
2023143,1,0,5,-54.064,-42.182,0,0,0
2023144,1,0,5,-54.064,-42.182,0,0,0
2023145,1,0,5,-54.064,-42.182,0,0,0
2023146,1,0,5,-54.064,-42.182,0,0,0
2023147,1,15.477,5,-53.952,-42.323,0,0,0
2023148,1,0,5,-53.952,-42.323,0,0,0
