date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2023146,0,0,6,-54.61,-38.62,0,0,0
2023147,1,0,7,-54.61,-38.62,0,0,0
2023148,1,0,7,-54.61,-38.62,0,0,0
2023149,1,0,7,-54.61,-38.62,0,0,0
2023150,1,0,7,-54.61,-38.62,0,0,0
2023151,1,0.195,7,-54.611,-38.623,0,0,0
2023152,1,0.495,7,-54.613,-38.629,0,0,0
2023153,1,0.651,7,-54.616,-38.638,0,0,0
2023154,1,0.833,7,-54.62,-38.649,0,0,0
2023155,1,0.981,7,-54.625,-38.661,0,0,0
2023156,1,0.879,7,-54.63,-38.672,0,0,0
2023157,1,1.624,7,-54.635,-38.648,0,0,0
2023158,1,0.596,7,-54.638,-38.656,0,0,0
2023159,1,0.449,7,-54.64,-38.661,0,0,0
2023160,1,2.481,6,-54.64,-38.7,0,0,0
2023161,1,0,5,-54.64,-38.7,0,0,0
2023162,1,2.382,5,-54.638,-38.737,0,0,0
2023163,1,2.376,5,-54.636,-38.774,0,0,0
2023164,1,0,5,-54.636,-38.774,0,0,0
2023165,1,5.532,5,-54.639,-38.688,0,0,0
2023166,1,0,5,-54.639,-38.688,0,0,0
2023167,1,3.926,5,-54.637,-38.627,0,0,0
2023168,1,3.933,5,-54.635,-38.566,0,0,0
2023169,1,0,5,-54.635,-38.566,0,0,0
2023170,1,4.586,5,-54.674,-38.592,0,0,0
2023171,1,5.975,5,-54.68,-38.684,0,0,0
2023172,1,4.744,5,-54.682,-38.758,0,0,0
2023173,1,0,5,-54.682,-38.758,0,0,0
2023174,1,3.637,5,-54.665,-38.71,0,0,0
2023175,1,0,5,-54.665,-38.71,0,0,0
2023176,1,7.343,5,-54.67,-38.596,0,0,0
2023177,1,4.453,5,-54.678,-38.528,0,0,0
2023178,1,1.577,5,-54.664,-38.522,0,0,0
2023179,1,1.537,5,-54.65,-38.52,0,0,0
2023180,1,0,5,-54.65,-38.52,0,0,0
2023181,1,0.223,7,-54.65,-38.523,0,0,0
2023182,1,0.877,7,-54.651,-38.537,0,0,0
2023183,1,1.566,7,-54.653,-38.561,0,0,0
2023184,1,1.961,7,-54.655,-38.592,0,0,0
2023185,1,2.047,7,-54.657,-38.623,0,0,0
2023186,1,1.837,7,-54.658,-38.652,0,0,0
2023187,1,1.321,7,-54.66,-38.672,0,0,0
2023188,1,0.51,6,-54.66,-38.68,0,0,0
2023189,1,0.4,7,-54.657,-38.677,0,0,0
2023190,1,1.032,7,-54.649,-38.668,0,0,0
2023191,1,1.411,7,-54.638,-38.656,0,0,0
2023192,1,7.129,7,-54.584,-38.598,0,0,0
2023193,1,1.412,7,-54.573,-38.586,0,0,0
2023194,1,1.033,7,-54.565,-38.578,0,0,0
2023195,1,0.4,7,-54.562,-38.574,0,0,0
2023196,1,0,7,-54.562,-38.574,0,0,0
2023197,1,0.09,7,-54.562,-38.573,0,0,0
2023198,1,0.253,7,-54.56,-38.57,0,0,0
2023199,1,0.381,7,-54.558,-38.566,0,0,0
2023200,1,0.484,7,-54.555,-38.56,0,0,0
2023201,1,0.56,7,-54.552,-38.553,0,0,0
2023202,1,0.604,7,-54.548,-38.547,0,0,0
2023203,1,0.417,7,-54.546,-38.542,0,0,0
2023204,1,0.126,7,-54.546,-38.54,0,0,0
2023205,1,0.106,7,-54.545,-38.538,0,0,0
2023206,1,0.346,7,-54.543,-38.536,0,0,0
2023207,1,0.481,7,-54.539,-38.533,0,0,0
2023208,1,0.465,7,-54.535,-38.531,0,0,0
2023209,1,0.338,6,-54.532,-38.53,0,0,0
2023210,1,0.628,7,-54.527,-38.525,0,0,0
2023211,1,1.337,7,-54.518,-38.51,0,0,0
2023212,1,1.735,7,-54.507,-38.491,0,0,0
2023213,1,1.838,7,-54.496,-38.47,0,0,0
2023214,1,1.566,7,-54.488,-38.45,0,0,0
2023215,1,1.051,7,-54.486,-38.434,0,0,0
2023216,1,0.641,7,-54.49,-38.426,0,0,0
2023217,1,0.801,7,-54.497,-38.424,0,0,0
2023218,1,0.733,7,-54.503,-38.422,0,0,0
2023219,1,0.536,7,-54.508,-38.421,0,0,0
2023220,1,0.209,7,-54.51,-38.42,0,0,0
2023221,1,0,7,-54.51,-38.42,0,0,0
2023222,1,0,7,-54.51,-38.42,0,0,0
2023223,1,0,6,-54.51,-38.42,0,0,0
2023224,1,0.633,7,-54.513,-38.429,0,0,0
2023225,1,1.634,7,-54.52,-38.451,0,0,0
2023226,1,2.233,7,-54.53,-38.481,0,0,0
2023227,1,2.431,7,-54.54,-38.514,0,0,0
2023228,1,2.232,7,-54.55,-38.544,0,0,0
2023229,1,3.688,7,-54.574,-38.585,0,0,0
2023230,1,4.307,6,-54.599,-38.635,0,0,0
2023231,1,5.488,7,-54.61,-38.718,0,0,0
2023232,1,0.763,3,-54.61,-38.73,0,0,0
2023233,1,0,3,-54.61,-38.73,0,0,0
2023234,1,0,3,-54.61,-38.73,0,0,0
2023235,1,0,3,-54.61,-38.73,0,0,0
2023236,1,0,3,-54.61,-38.73,0,0,0
2023237,1,0,3,-54.61,-38.73,0,0,0
