date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2022336,0,0,6,-71.53,-60.51,0,0,0
2022337,1,0,5,-71.53,-60.51,0,0,0
2022338,1,0,5,-71.53,-60.51,0,0,0
2022339,1,0,5,-71.53,-60.51,0,0,0
2022340,1,0,5,-71.53,-60.51,0,0,0
2022341,1,0,5,-71.53,-60.51,0,0,0
2022342,1,0,5,-71.53,-60.51,0,0,0
2022343,1,4.525,6,-71.57,-60.535,0,0,0
2022344,1,4.525,5,-71.53,-60.51,0,0,0
2022345,1,0,5,-71.53,-60.51,0,0,0
2022346,1,0,5,-71.53,-60.51,0,0,0
2022347,1,0,5,-71.53,-60.51,0,0,0
2022348,1,8.42,5,-71.606,-60.486,0,0,0
2022350,2,10.791,6,-71.52,-60.34,0,0,0
2022352,2,0,5,-71.52,-60.34,0,0,0
2022353,1,0,5,-71.52,-60.34,0,0,0
2022354,1,0,5,-71.52,-60.34,0,0,0
2022355,1,0,5,-71.52,-60.34,0,0,0
2022356,1,0,5,-71.52,-60.34,0,0,0
2022357,1,0,5,-71.52,-60.34,0,0,0
2022358,1,0,5,-71.52,-60.34,0,0,0
2022359,1,0,5,-71.52,-60.34,0,0,0
2022360,1,0,5,-71.52,-60.34,0,0,0
2022361,1,0,5,-71.52,-60.34,0,0,0
2022362,1,0,5,-71.52,-60.34,0,0,0
2022363,1,0,5,-71.52,-60.34,0,0,0
2022364,1,0,5,-71.52,-60.34,0,0,0
