date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2000345,0,0,3,-75,-179.4,1,1430.04,0.0153
2000347,2,0.146,17,-75,-179.405,1,1399.29,-0.024
2000348,1,0,17,-75,-179.405,2,1368.54,-0.0145
2000349,1,0,17,-75,-179.405,2,1337.79,0.0232
2000350,1,9.172,17,-75.075,-179.544,2,1307.04,0.0685
2000351,1,0,17,-75.075,-179.544,2,1276.29,0.0757
2000352,1,14.293,17,-75.104,179.969,2,1245.54,0.0541
2000353,1,0,17,-75.104,179.969,2,1214.79,0.0258
2000354,1,0,17,-75.104,179.969,2,1184.04,-0.0113
2000355,1,8.138,17,-75.101,179.684,2,1153.29,-0.0344
2000356,1,0,17,-75.101,179.684,2,1122.54,-0.0673
2000357,1,0,17,-75.101,179.684,2,1091.79,0.0145
2000358,1,11.328,17,-75.1,179.287,2,1061.04,0.0855
2000359,1,15.104,19,-75.15,178.793,2,1038.26,0.0698
2000360,1,15.104,17,-75.1,179.287,2,1012.24,0.0389
2000361,1,11.714,17,-75.168,178.972,2,984.86,0.0116
2000362,1,0,17,-75.168,178.972,2,946.1,-0.0191
2000363,1,0,17,-75.168,178.972,2,915.12,-0.0532
2000364,1,9.595,17,-75.25,178.858,2,882.44,-0.0603
2000365,1,0,17,-75.25,178.858,2,847.47,-0.0146
2000366,1,0,17,-75.25,178.858,2,802.63,0.022
2001001,1,0,17,-75.25,178.858,2,764.38,0
2001002,1,0,17,-75.25,178.858,2,725.12,0
2001003,1,0,17,-75.25,178.858,2,684.15,0
2001004,1,0,17,-75.25,178.858,2,642.1,0
2001005,1,7.59,17,-75.255,178.59,2,598.84,0
2001006,1,0,17,-75.255,178.59,2,554.75,0
2001007,1,0,17,-75.255,178.59,2,503.51,0
2001008,1,0,17,-75.255,178.59,2,452.93,0
2001009,1,14.277,17,-75.381,178.489,2,406.12,0
2001010,1,0,17,-75.381,178.489,2,358.18,0
2001011,1,0,17,-75.381,178.489,2,321.23,0
2001012,1,14.475,17,-75.404,178.998,2,285.04,0
2001013,1,0,17,-75.404,178.998,2,250.76,0
2001014,1,5.522,19,-75.452,178.949,2,235.56,0
2001015,1,0.407,19,-75.452,178.964,2,225.53,0
2001016,1,0.414,19,-75.452,178.979,2,196.75,0
2001017,1,0.415,19,-75.452,178.993,2,186.85,0
2001018,1,0.41,19,-75.452,179.008,2,164.6,0
2001019,1,0.399,19,-75.452,179.023,2,147.99,0
2001020,1,0.383,19,-75.452,179.036,2,133.25,0
2001021,1,0.36,19,-75.452,179.049,2,133.94,0
2001022,1,4.134,17,-75.419,179.119,2,127.8,0
2001023,1,0,17,-75.419,179.119,2,127.84,0
2001024,1,0,17,-75.419,179.119,2,130.19,0
2001025,1,0,17,-75.419,179.119,2,150.44,0
2001026,1,0,17,-75.419,179.119,2,164.06,0
2001027,1,0,17,-75.419,179.119,2,186.9,0
2001028,1,0,17,-75.419,179.119,2,211.37,0
2001029,1,0,17,-75.419,179.119,2,240.57,0
2001030,1,0,17,-75.419,179.119,2,270.52,0
2001031,1,2.495,17,-75.408,179.196,2,304.87,0
2001032,1,0,17,-75.408,179.196,2,341.55,0
2001033,1,0,17,-75.408,179.196,2,379.29,0
2001034,1,0,17,-75.408,179.196,2,416.84,0
2001035,1,6.391,19,-75.378,179.392,2,454.98,0
2001036,1,0.714,19,-75.372,179.389,2,492.81,0
2001037,1,0.97,19,-75.363,179.382,2,530.6,0
2001038,1,1.095,19,-75.353,179.372,2,568.74,0
2001039,1,1.09,19,-75.344,179.362,2,606.59,0
2001040,1,0.945,19,-75.336,179.352,2,652.79,0
2001041,1,0.669,19,-75.33,179.345,2,689,0
2001042,1,0.251,19,-75.328,179.342,2,733.11,0
2001043,1,6.232,19,-75.274,179.288,2,774.43,0
2001044,1,0,19,-75.274,179.288,2,812.78,0
2001045,1,0,19,-75.274,179.288,2,843.59,0
2001046,1,0,19,-75.274,179.288,2,870.55,0
2001047,1,0,19,-75.274,179.288,2,896.92,0
2001048,1,0,19,-75.274,179.288,2,919.23,0
2001049,1,0,19,-75.274,179.288,2,941.2,0
2001050,1,2.961,17,-75.247,179.276,2,955.84,0
2001051,1,0,17,-75.247,179.276,2,970.19,0
2001052,1,0,17,-75.247,179.276,2,975.42,0
2001053,1,0,17,-75.247,179.276,2,981.44,0
2001054,1,0,17,-75.247,179.276,2,982.96,0
2001055,1,0,17,-75.247,179.276,2,984.91,0
2001056,1,0,17,-75.247,179.276,2,982.6,0
2001057,1,0,17,-75.247,179.276,2,981.7,0
2001058,1,0,17,-75.247,179.276,2,977.73,0
2001059,1,0,17,-75.247,179.276,2,983.75,0
2001060,1,0,17,-75.247,179.276,2,988.45,0
2001061,1,0,17,-75.247,179.276,2,992.51,0
2001062,1,0,17,-75.247,179.276,2,998.49,0
2001063,1,8.643,19,-75.274,178.988,2,1003.3,0
2001064,1,0.79,19,-75.276,178.962,2,996.64,0
2001065,1,4.295,19,-75.291,178.821,2,988.45,0
2001066,1,1.355,19,-75.301,178.792,2,984.27,0
2001067,1,1.44,19,-75.311,178.763,2,975.06,0
2001068,1,1.372,19,-75.321,178.733,2,966.6,0
2001069,1,1.151,19,-75.328,178.704,2,961.21,0
2001070,1,7.678,19,-75.353,178.449,2,964.09,0
2001071,1,0.899,19,-75.353,178.417,2,967.84,0
2001072,1,4.57,19,-75.359,178.255,2,971.59,0
2001073,1,1.063,19,-75.359,178.218,2,975.81,0
2001074,1,0.997,19,-75.359,178.182,2,980.03,0
2001075,1,0.834,19,-75.359,178.152,2,982.14,0
2001076,1,0.572,19,-75.359,178.132,2,983.99,0
2001077,1,0.213,19,-75.359,178.124,2,987.22,0
2001078,1,0.752,19,-75.354,178.138,2,986.82,0
2001079,1,4.558,19,-75.36,177.978,2,990.04,0
2001080,1,2.853,19,-75.337,178.026,2,987.56,0
2001081,1,3.339,19,-75.31,178.08,2,983.52,0
2001082,1,3.444,19,-75.282,178.128,2,1003.19,0
2001083,1,3.193,19,-75.255,178.164,2,1023.84,0
2001084,1,9.065,19,-75.175,178.228,2,1033.61,0
2001085,1,9.611,17,-75.249,178.056,2,1044.4,0
2001086,1,0,17,-75.249,178.056,2,1026.07,0
2001087,1,22.514,17,-75.095,178.569,2,1017.69,0
2001088,1,0,17,-75.095,178.569,2,993.96,0
2001089,1,17.534,17,-75.044,177.987,2,973.97,0
2001090,1,0,17,-75.044,177.987,2,952.56,0
2001091,1,5.877,17,-74.999,177.883,2,937.02,0
2001092,1,0,17,-74.999,177.883,2,917.84,0
2001093,1,0,17,-74.999,177.883,2,898.16,0
2001094,1,14.117,17,-74.908,178.227,2,875.16,0
2001095,1,0,17,-74.908,178.227,2,850.98,0
2001096,1,17.966,17,-74.955,177.631,2,824.37,0
2001097,1,0,17,-74.955,177.631,2,796.76,0
2001098,1,28.685,19,-74.752,177.015,2,767.14,0
2001099,1,1.986,19,-74.735,177.015,2,736.4,0
2001100,1,13.314,19,-74.644,176.719,2,697.16,0
2001101,1,1.831,19,-74.627,176.719,2,661.22,0
2001102,1,15.641,19,-74.516,176.392,2,628.14,0
2001103,1,1.936,19,-74.499,176.392,2,598.26,0
2001104,1,2.086,19,-74.48,176.392,2,565.09,0
2001105,1,2.308,19,-74.459,176.392,2,536.78,0
2001106,1,12.019,19,-74.351,176.405,2,510.59,0
2001107,1,3.996,19,-74.319,176.341,2,459.92,0
2001108,1,4.646,19,-74.285,176.253,2,409.04,0
2001109,1,4.784,19,-74.25,176.157,2,360.39,0
2001110,1,10.062,19,-74.169,176.009,2,312.28,0
2001111,1,7.141,19,-74.105,176.007,2,289.23,0
2001112,1,7.948,19,-74.036,175.934,2,255.21,0
2001113,1,1.111,19,-74.026,175.935,2,244.78,0
2001114,1,8.977,19,-73.948,175.861,2,243.3,0
2001115,1,12.983,19,-73.877,175.524,2,236.16,0
2001116,1,0.659,19,-73.872,175.532,2,230.86,0
2001117,1,4.184,19,-73.835,175.55,2,228.98,0
2001118,1,0.797,19,-73.828,175.561,2,227.77,0
2001119,1,0.983,19,-73.82,175.571,2,228.5,0
2001120,1,1.233,19,-73.809,175.585,2,230.61,0
2001121,1,1.458,19,-73.797,175.603,2,235.32,0
2001122,1,1.65,19,-73.784,175.625,2,242.13,0
2001123,1,4.547,19,-73.75,175.711,2,249.43,0
2001124,1,1.906,19,-73.735,175.736,2,261.31,0
2001125,1,1.983,19,-73.718,175.761,2,287.12,0
2001126,1,2.01,19,-73.701,175.784,2,312.84,0
2001127,1,9.061,19,-73.621,175.83,2,339.77,0
2001128,1,2.402,19,-73.6,175.857,2,346.62,0
2001129,1,2.558,19,-73.579,175.886,2,406.26,0
2001130,1,12.605,19,-73.481,176.092,2,468.5,0
2001131,1,2.632,19,-73.459,176.114,1,508.84,0
2001132,1,4.501,19,-73.418,176.117,1,562.29,0
2001133,1,6.141,19,-73.363,176.099,1,615.56,0
2001134,1,4.484,19,-73.324,176.067,1,668.56,0
2001135,1,2.898,19,-73.302,176.015,2,722.27,0
2001136,1,3.389,19,-73.281,175.939,2,781.68,0
2001137,1,5.908,19,-73.228,175.972,2,844.17,0
2001138,1,7.86,19,-73.216,175.73,2,899.23,0
2001139,1,3.757,19,-73.195,175.639,2,956.97,0
2001140,1,13.098,19,-73.086,175.481,2,1014.21,0
2001141,1,3.229,19,-73.064,175.414,2,1070.94,0.0004
2001142,1,13.527,19,-72.986,175.095,2,1126.69,-0.0003
2001143,1,3.215,19,-72.964,175.031,2,1181.82,-0.0007
2001144,1,12.95,19,-72.893,174.715,2,1235.85,-0.001
2001145,1,11.203,19,-72.811,174.515,2,1289.75,-0.0011
2001146,1,3.111,19,-72.79,174.451,2,1345.03,-0.001
2001147,1,2.534,19,-72.813,174.462,2,1400.86,-0.0007
2001148,1,14.13,19,-72.703,174.247,2,1458.12,-0.0003
2001149,1,2.612,19,-72.687,174.188,2,1509.93,0.0004
2001150,1,7.096,19,-72.675,173.977,2,1560.42,0
2001151,1,2.594,19,-72.66,173.918,2,1608.46,0
2001152,1,2.824,19,-72.643,173.854,2,1663.38,0
2001153,1,9.432,19,-72.593,173.623,2,1734.96,0
2001154,1,3.751,19,-72.569,173.544,2,1756.4,0
2001155,1,5.011,19,-72.534,173.449,2,1773.59,0
2001156,1,11.742,19,-72.432,173.355,2,1812.13,0
2001157,1,7.661,19,-72.375,173.228,2,1837.98,0
2001158,1,8.234,19,-72.312,173.095,2,1863.16,0
2001159,1,8.302,19,-72.25,172.961,2,1886.78,0.0097
2001160,1,21.202,19,-72.1,172.575,2,1911.01,0.0032
