date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2001119,0,0,3,-71,170.9,0,1442.74,-0.0142
2001124,5,0,17,-71,170.9,1,1522.74,0.017
2001125,1,10.311,17,-71.019,170.62,1,1602.74,0.0258
2001126,1,0,17,-71.019,170.62,1,1682.74,0.0192
2001127,1,12.075,17,-70.916,170.511,1,1762.74,0.0041
2001128,1,5.445,17,-70.869,170.474,1,1842.74,-0.0041
2001129,1,0,17,-70.869,170.474,1,1922.74,-0.012
2001130,1,5.896,17,-70.843,170.332,1,2002.74,-0.0196
2001131,1,0,17,-70.843,170.332,1,2082.74,-0.0245
2001132,1,7.686,17,-70.804,170.158,1,2162.74,0.0025
2001133,1,14.306,17,-70.731,169.835,1,2242.75,0.0268
2001134,1,7.716,17,-70.692,169.661,1,2322.75,0.006
2001135,1,0,17,-70.692,169.661,1,2402.75,0.0215
2001136,1,17.598,17,-70.584,169.311,1,2462.4,0.0124
2001137,1,19.011,17,-70.47,168.926,1,2524.04,-0.0162
2001138,1,0,17,-70.47,168.926,1,2589.78,-0.0429
2001139,1,7.674,17,-70.421,168.783,1,2644.26,-0.0211
2001140,1,11.298,17,-70.356,168.548,1,2705.05,-0.0047
2001141,1,12.89,17,-70.316,168.224,1,2760.4,-0.0052
2001142,1,10.18,17,-70.278,167.976,1,2816.02,-0.009
2001143,1,18.511,17,-70.144,167.684,1,2871.21,0.0158
2001144,1,8.474,17,-70.094,167.515,1,2926.64,0.0165
2001145,1,14.65,17,-70.025,167.185,1,2977.91,-0.0202
2001146,1,5.974,17,-69.999,167.047,1,3028.22,-0.0144
2001147,1,10.38,19,-69.918,166.912,1,3073.44,-0.0494
2001148,1,4.678,17,-69.935,167.023,1,3119.86,-0.0785
2001149,1,13.908,17,-69.907,166.668,1,3167.09,-0.0223
2001150,1,11.866,17,-69.905,166.357,1,3215.57,0.0386
2001151,1,0,17,-69.905,166.357,1,3258.35,0.0579
2001152,1,23.2,17,-69.859,165.764,1,3281.11,0.051
2001153,1,11.471,17,-69.819,165.487,1,3283.12,0.0625
2001154,1,0,17,-69.819,165.487,1,3283.47,0.0712
2001155,1,6.035,17,-69.781,165.376,1,3285.61,-0.0031
2001156,1,8.601,17,-69.763,165.157,1,3273.34,-0.008
2001157,1,0,17,-69.763,165.157,1,3262.7,0.0385
2001158,1,0,17,-69.763,165.157,1,3257.59,0.0462
2001159,1,0,17,-69.763,165.157,1,3253.7,0.0151
2001160,1,6.811,17,-69.727,165.014,1,3252.37,-0.0188
2001161,1,39.413,19,-69.616,164.044,1,3246.03,0
2001162,1,26.425,17,-69.689,164.695,1,3242.47,0
2001163,1,0,17,-69.689,164.695,1,3236.88,0
2001164,1,19.458,17,-69.637,164.213,1,3236.28,0
2001165,1,0,17,-69.637,164.213,1,3236.91,0
2001166,1,9.717,17,-69.626,163.964,1,3236.96,0
2001167,1,0,17,-69.626,163.964,1,3252.72,0
2001168,1,21.133,17,-69.539,163.477,1,3269.58,0
2001169,1,0,17,-69.539,163.477,1,3286.89,0
2001170,1,0,17,-69.539,163.477,1,3305.68,0
2001171,1,8.413,17,-69.502,163.289,1,3324.66,0
2001172,1,21.28,17,-69.437,162.775,1,3345.76,0
2001173,1,0,17,-69.437,162.775,1,3367.5,0
2001174,1,17.175,17,-69.388,162.357,1,3389.62,0
2001175,1,24.028,17,-69.293,161.806,1,3412.66,0
2001176,1,10.162,17,-69.255,161.57,1,3433.94,0
2001177,1,13.636,17,-69.202,161.258,1,3447.9,0
2001178,1,14.587,17,-69.093,161.053,1,3473.9,0.0026
2001179,1,8.543,17,-69.063,160.854,1,3496.42,-0.0069
2001180,1,9.177,17,-68.981,160.832,1,3519.53,-0.0054
2001181,1,0,17,-68.981,160.832,1,3536.31,0.0054
2001182,1,11.98,17,-68.934,160.561,1,3544.32,0.0092
2001183,1,0,17,-68.934,160.561,1,3560.11,0.0204
2001184,1,19.308,17,-68.76,160.549,1,3566.97,0.0266
2001185,1,8.098,17,-68.765,160.348,1,3575.87,0.028
2001186,1,6.345,17,-68.741,160.205,1,3581.89,0.0243
