date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2003289,0,0,49,-76.917,168.983,1,3709.15,0.0023
2003290,1,23.431,49,-77.115,169.306,1,3655.26,-0.0033
2003291,1,11.068,49,-77.207,169.483,1,3601.36,-0.0023
2003292,1,5.598,51,-77.204,169.255,1,3547.46,0.0015
2003293,1,0.718,51,-77.204,169.284,1,3493.57,0.0043
2003294,1,0.746,51,-77.204,169.315,1,3439.67,-0.0096
2003295,1,0.731,51,-77.204,169.345,1,3385.78,-0.0169
2003296,1,0.671,51,-77.204,169.372,1,3331.88,-0.0352
2003297,1,0.569,51,-77.204,169.395,1,3277.99,-0.0356
2003298,1,0.459,19,-77.203,169.377,1,3224.09,0.0052
2003299,1,0.354,19,-77.203,169.391,1,3170.19,0.0241
2003300,1,2.277,17,-77.207,169.483,1,3116.3,0.0456
2003301,1,0,17,-77.207,169.483,1,3062.4,0.0203
2003302,1,0,17,-77.207,169.483,1,3011.34,0.0114
2003303,1,0,17,-77.207,169.483,1,2948.53,0.0088
2003304,1,0,17,-77.207,169.483,1,2906.35,-0.0181
2003305,1,0,17,-77.207,169.483,1,2856.01,-0.0548
2003306,1,0,17,-77.207,169.483,1,2812.15,-0.0497
2003307,1,0,17,-77.207,169.483,1,2774.44,-0.0286
2003308,1,0,17,-77.207,169.483,1,2732.66,-0.0812
2003309,1,0,17,-77.207,169.483,1,2687.31,-0.1339
2003310,1,0,17,-77.207,169.483,1,2645.65,-0.0979
2003311,1,0,17,-77.207,169.483,1,2605.23,-0.1178
2003312,1,0,17,-77.207,169.483,1,2564.64,-0.1078
2003313,1,0,17,-77.207,169.483,1,2520.2,-0.1114
2003314,1,0,17,-77.207,169.483,1,2478.61,-0.0366
2003315,1,0,17,-77.207,169.483,1,2443.84,0.0651
2003316,1,0,17,-77.207,169.483,1,2402.31,0.0525
2003317,1,0,17,-77.207,169.483,1,2358.9,0.0785
2003318,1,0,17,-77.207,169.483,1,2322.19,0.1256
2003319,1,0,17,-77.207,169.483,1,2291.03,0.0825
2003320,1,0,17,-77.207,169.483,1,2267.74,0.0744
2003321,1,4.834,17,-77.219,169.294,1,2258.05,0.039
2003322,1,3.049,17,-77.205,169.401,1,2226.99,-0.0103
2003323,1,0,17,-77.205,169.401,1,2204.53,-0.0464
2003324,1,0,17,-77.205,169.401,1,2188.84,-0.0898
2003325,1,0,17,-77.205,169.401,1,2166.12,-0.1052
2003326,1,6.034,17,-77.252,169.526,1,2142.83,-0.0794
2003327,1,4.59,19,-77.286,169.634,1,2114.91,-0.0539
2003328,1,3.617,17,-77.272,169.767,1,2090.01,-0.014
2003329,1,0,17,-77.272,169.767,1,2053.73,0.0062
2003330,1,0,17,-77.272,169.767,1,2017.18,-0.0118
2003331,1,0,17,-77.272,169.767,1,1980.75,-0.0009
2003332,1,0,17,-77.272,169.767,1,1944.33,0.0044
2003333,1,0,17,-77.272,169.767,1,1907.52,0
2003334,1,0,17,-77.272,169.767,1,1869.04,0
2003335,1,4.535,17,-77.284,169.945,1,1830.84,0
2003336,1,8.597,17,-77.241,170.236,1,1792.57,0
2003337,1,0,17,-77.241,170.236,1,1754.04,0
2003338,1,0,17,-77.241,170.236,1,1717.08,0
2003339,1,0,17,-77.241,170.236,1,1681.57,0.012
2003340,1,6.123,17,-77.191,170.133,1,1644.43,-0.0255
2003341,1,4.798,17,-77.153,170.034,1,1607.43,-0.0075
2003342,1,0,17,-77.153,170.034,1,1575.7,0.0178
2003343,1,0,17,-77.153,170.034,1,1541.33,-0.0062
2003344,1,0,17,-77.153,170.034,1,1506.33,-0.0227
2003345,1,4.598,17,-77.195,170.026,1,1472.56,-0.0319
2003346,1,0,17,-77.195,170.026,1,1437.91,-0.0338
2003347,1,0,17,-77.195,170.026,1,1411.46,-0.0283
2003348,1,0,17,-77.195,170.026,1,1386.46,-0.053
2003349,1,0,17,-77.195,170.026,1,1363.3,-0.009
2003350,1,0,17,-77.195,170.026,1,1342.77,0.018
2003351,1,0,17,-77.195,170.026,1,1323.74,0
2003352,1,2.592,17,-77.215,170.081,1,1308.16,0
2003353,1,0,17,-77.215,170.081,1,1294.76,0
2003354,1,0,17,-77.215,170.081,1,1291.96,0
2003355,1,0,17,-77.215,170.081,1,1290.18,0.0061
2003356,1,0,17,-77.215,170.081,1,1291.72,-0.0182
2003357,1,0,17,-77.215,170.081,1,1293.86,-0.0416
2003358,1,10.558,17,-77.129,169.891,1,1296.48,0.035
2003359,1,6.416,17,-77.098,169.674,1,1297.03,0.2095
2003360,1,0,17,-77.098,169.674,1,1298.12,0.1478
2003361,1,0,17,-77.098,169.674,1,1302.74,-0.0236
2003362,1,0,17,-77.098,169.674,1,1308.11,-0.4939
2003363,1,0,17,-77.098,169.674,1,1315.77,-0.5231
2003364,1,0,17,-77.098,169.674,1,1321.8,-0.8085
2003365,1,0,17,-77.098,169.674,1,1325.24,-0.7337
2004001,1,0,17,-77.098,169.674,1,1333.66,-0.4655
2004002,1,0,17,-77.098,169.674,1,1342.83,-0.0146
2004003,1,0,17,-77.098,169.674,1,1353.78,-0.1113
2004004,1,0.926,19,-77.099,169.637,1,1364.19,-0.2249
2004005,1,0.926,17,-77.098,169.674,1,1376.18,-0.4826
2004006,1,0,17,-77.098,169.674,1,1384.74,-0.3158
2004007,1,0,17,-77.098,169.674,1,1401.01,-0.4445
2004008,1,0,17,-77.098,169.674,1,1415.36,-0.2548
2004009,1,0,17,-77.098,169.674,1,1440.43,-0.06
2004010,1,0,17,-77.098,169.674,1,1470.88,0.2379
2004011,1,0,17,-77.098,169.674,1,1509.36,-0.0557
2004012,1,3.98,17,-77.133,169.705,1,1537.38,-0.1071
2004013,1,0,17,-77.133,169.705,1,1564.09,0.0017
2004014,1,0,17,-77.133,169.705,1,1594.42,-0.1207
2004015,1,0,17,-77.133,169.705,1,1630.31,0.0327
2004016,1,0,17,-77.133,169.705,1,1651.64,0.0277
2004017,1,0,17,-77.133,169.705,1,1673.91,0.1493
2004018,1,0,17,-77.133,169.705,1,1698.02,0.1027
2004019,1,0,17,-77.133,169.705,1,1729.26,0.1212
2004020,1,0,17,-77.133,169.705,1,1754.74,0.0271
2004021,1,0,17,-77.133,169.705,1,1774.67,0.2148
2004022,1,0,17,-77.133,169.705,1,1797.36,0.1227
2004023,1,0,17,-77.133,169.705,1,1815.97,0.1739
2004024,1,0,17,-77.133,169.705,1,1839.52,-0.2287
2004025,1,0,17,-77.133,169.705,1,1855.36,-0.5684
2004026,1,0,17,-77.133,169.705,1,1872.85,-0.8969
2004027,1,0,17,-77.133,169.705,1,1885.04,-0.6773
2004028,1,0,17,-77.133,169.705,1,1897.59,-0.9175
2004029,1,0,17,-77.133,169.705,1,1902.34,-0.7173
2004030,1,0,17,-77.133,169.705,1,1902.28,-0.4222
2004031,1,0,17,-77.133,169.705,1,1900.28,-0.2882
2004032,1,6.502,19,-77.116,169.452,1,1888,-0.38
2004033,1,6.502,17,-77.133,169.705,1,1880.62,-0.2033
2004034,1,0,17,-77.133,169.705,1,1860.85,0.0208
2004035,1,0,17,-77.133,169.705,1,1835.35,0.2736
