date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2011268,0,0,3,-66.93,45.76,0,0,0
2011269,1,0.022,3,-66.93,45.76,0,0,0
2011270,1,0.089,3,-66.931,45.76,0,0,0
2011271,1,0.122,3,-66.932,45.76,0,0,0
2011272,1,0.167,3,-66.934,45.76,0,0,0
2011273,1,0.211,3,-66.936,45.76,0,0,0
2011274,1,0.233,3,-66.938,45.76,0,0,0
2011275,1,0.266,3,-66.94,45.76,0,0,0
2011276,1,0.792,3,-66.944,45.745,0,0,0
2011277,1,1.896,3,-66.951,45.705,0,0,0
2011278,1,2.715,3,-66.96,45.648,0,0,0
2011279,1,3.224,3,-66.972,45.579,0,0,0
2011280,1,3.419,3,-66.984,45.507,0,0,0
2011281,1,3.312,3,-66.997,45.438,0,0,0
2011282,1,2.909,3,-67.01,45.38,0,0,0
2011283,1,3.04,3,-67.027,45.325,0,0,0
2011284,1,3.628,3,-67.049,45.263,0,0,0
2011285,1,3.864,3,-67.074,45.201,0,0,0
2011286,1,3.696,3,-67.098,45.143,0,0,0
2011287,1,3.127,3,-67.12,45.095,0,0,0
2011288,1,2.174,3,-67.134,45.062,0,0,0
2011289,1,0.812,3,-67.14,45.05,0,0,0
2011290,1,1.629,3,-67.129,45.075,0,0,0
2011291,1,4.302,3,-67.101,45.143,0,0,0
2011292,1,6.134,3,-67.061,45.241,0,0,0
2011293,1,7.1,3,-67.016,45.357,0,0,0
2011294,1,7.212,3,-66.971,45.479,0,0,0
2011295,1,6.486,3,-66.934,45.594,0,0,0
2011296,1,4.965,3,-66.91,45.69,0,0,0
2011297,1,4.271,3,-66.895,45.78,0,0,0
2011298,1,4.617,3,-66.881,45.88,0,13.55,0
2011299,1,4.6,3,-66.867,45.98,0,17.1,0
2011300,1,4.223,3,-66.856,46.072,0,24.31,0
2011301,1,3.471,3,-66.848,46.149,0,31.57,0
2011302,1,2.358,3,-66.842,46.201,0,42.59,0
2011303,1,0.867,3,-66.84,46.22,0,53.77,0
2011304,1,1.685,3,-66.849,46.19,0,68.71,0
2011305,1,4.469,3,-66.874,46.108,0,83.84,0
2011306,1,6.392,3,-66.908,45.99,0,102.75,0
2011307,1,7.464,3,-66.946,45.849,0,121.91,0
2011308,1,7.677,3,-66.983,45.699,0,144.84,0
2011309,1,7.08,3,-67.013,45.555,0,168.13,0
2011310,1,5.734,3,-67.03,45.43,0,195.22,0
2011311,1,4.621,3,-67.038,45.325,0,222.68,0
2011312,1,4.259,3,-67.044,45.228,0,250.37,0
2011313,1,4.14,3,-67.048,45.133,0,278.46,0
2011314,1,4.237,3,-67.052,45.036,0,306.68,0
2011315,1,4.557,3,-67.056,44.931,0,335.25,0
2011316,1,5.097,3,-67.062,44.814,0,363.86,0
2011317,1,5.867,3,-67.07,44.68,0,392.78,0
2011318,1,7.285,3,-67.085,44.516,0,421.82,0
2011319,1,8.974,3,-67.111,44.319,0,451.15,0
2011320,1,10.227,3,-67.143,44.097,0,480.63,0
2011321,1,11.022,3,-67.18,43.859,0,510.34,0
2011322,1,11.361,3,-67.218,43.615,0,540.21,0
2011323,1,11.228,3,-67.256,43.372,0,565.72,0
2011324,1,10.641,3,-67.29,43.14,0,591.49,0
2011325,1,10.589,3,-67.323,42.908,0,613.67,0
2011326,1,11.121,3,-67.359,42.665,0,633.98,0
2011327,1,11.278,3,-67.395,42.418,0,652.01,0
2011328,1,11.049,3,-67.43,42.176,0,670.85,0
