date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2016001,0,0,6,-66.15,142.967,1,0,0
2016002,1,0.2,7,-66.152,142.967,1,0,0
2016003,1,0.189,7,-66.154,142.967,1,0,0
2016004,1,0.172,7,-66.155,142.967,1,0,0
2016005,1,0.15,7,-66.156,142.967,1,0,0
2016006,1,0.111,7,-66.157,142.967,1,0,0
2016007,1,0.078,7,-66.158,142.967,1,0,0
2016008,1,0.028,6,-66.158,142.967,1,0,0
2016009,1,0,7,-66.158,142.967,1,0,0
2016010,1,0,7,-66.158,142.967,1,0,0
2016011,1,0,7,-66.158,142.967,1,0,0
2016012,1,0,7,-66.158,142.967,1,0,0
2016013,1,0,7,-66.158,142.967,1,0,0
2016014,1,0,7,-66.158,142.967,1,0,0
2016015,1,0,6,-66.158,142.967,1,0,0
2016016,1,0.927,5,-66.15,142.967,0,0,0
2016017,1,0,5,-66.15,142.967,0,0,0
2016018,1,0,5,-66.15,142.967,0,0,0
2016019,1,0,5,-66.15,142.967,0,0,0
2016020,1,0,5,-66.15,142.967,0,0,0
2016021,1,0,5,-66.15,142.967,0,0,0
2016022,1,0,5,-66.15,142.967,0,0,0
2016023,1,0,5,-66.15,142.967,0,0,0
2016024,1,0,5,-66.15,142.967,0,0,0
2016025,1,0,5,-66.15,142.967,0,0,0
2016026,1,0,5,-66.15,142.967,0,0,0
2016027,1,0,5,-66.15,142.967,0,10.57,0
2016028,1,0,5,-66.15,142.967,0,12.23,0
2016029,1,0.007,6,-66.15,142.967,0,20.77,0
2016030,1,0.007,5,-66.15,142.967,0,29.71,0
2016031,1,0,5,-66.15,142.967,0,42.67,0
2016032,1,0,5,-66.15,142.967,0,55.64,0
2016033,1,0,5,-66.15,142.967,0,72.42,0
2016034,1,0,5,-66.15,142.967,0,89.06,0
2016035,1,0,5,-66.15,142.967,0,109.43,0
2016036,1,0,5,-66.15,142.967,0,129.63,0
2016037,1,0,5,-66.15,142.967,0,153.55,0
2016038,1,0,5,-66.15,142.967,0,177.29,0
2016039,1,0,5,-66.15,142.967,0,204.77,0
2016040,1,0,5,-66.15,142.967,0,232.09,0
2016041,1,0,5,-66.15,142.967,0,259.08,0
2016042,1,0,5,-66.15,142.967,0,285.86,0
2016043,1,0,5,-66.15,142.967,0,312.47,0
2016044,1,0,5,-66.15,142.967,0,338.92,0
2016045,1,0,5,-66.15,142.967,0,365.32,0
2016046,1,0,5,-66.15,142.967,0,391.95,0
2016047,1,2.796,5,-66.131,143.006,0,418.75,0
2016048,1,0,5,-66.131,143.006,0,445.94,0
2016049,1,0,5,-66.131,143.006,0,473.38,0
2016050,1,0,5,-66.131,143.006,0,501.25,0
2016051,1,0,5,-66.131,143.006,0,529.36,0
2016052,1,0,5,-66.131,143.006,0,557.25,0
2016053,1,0,5,-66.131,143.006,0,583.72,0
2016054,1,0,5,-66.131,143.006,0,604.52,0
2016055,1,1.519,5,-66.144,143.01,0,625.22,0
2016056,1,0,5,-66.144,143.01,0,641.8,0
2016057,1,0,5,-66.144,143.01,0,654.85,0
2016058,1,0,5,-66.144,143.01,0,662.99,0
2016059,1,0,5,-66.144,143.01,0,670.79,0
2016060,1,0,5,-66.144,143.01,0,674.79,0
2016061,1,0,5,-66.144,143.01,0,679.59,0.0019
2016062,1,0,5,-66.144,143.01,0,685.09,-0.0013
2016063,1,0,5,-66.144,143.01,0,690.77,-0.0171
2016064,1,2.181,6,-66.164,143.013,1,691.29,-0.0237
2016065,1,0.066,7,-66.163,143.012,1,693.4,0.0067
2016066,1,0.17,7,-66.162,143.01,1,695.01,0.1186
2016067,1,0.23,7,-66.16,143.007,1,697.65,0.1878
2016068,1,0.257,7,-66.159,143.003,1,700.03,0.144
2016069,1,0.23,7,-66.157,143,1,701.02,0.0372
2016070,1,0.17,7,-66.156,142.998,1,703.22,0.0233
2016071,1,0.066,6,-66.155,142.997,1,705.56,-0.0155
2016072,1,0,7,-66.155,142.997,1,704.43,-0.0386
2016073,1,0,7,-66.155,142.997,1,703.65,-0.0084
2016074,1,0,7,-66.155,142.997,1,702.81,0.0857
2016075,1,0,7,-66.155,142.997,1,699.73,0.1049
2016076,1,0,7,-66.155,142.997,1,695.07,0.0317
2016077,1,0,7,-66.155,142.997,1,684.18,-0.0397
2016078,1,0,6,-66.155,142.997,1,678.08,0
