date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2022084,0,0,6,-65.168,101.757,0,0,0
2022085,1,2.223,7,-65.153,101.725,0,0,0
2022086,1,0.241,7,-65.151,101.723,0,0,0
2022087,1,0.663,7,-65.155,101.711,0,0,0
2022088,1,0.193,7,-65.153,101.71,0,0,0
2022089,1,2.242,7,-65.144,101.752,0,0,0
2022090,1,3.96,7,-65.169,101.693,0,0,0
2022091,1,2.108,6,-65.18,101.73,0,0,0
2022092,1,0,7,-65.18,101.73,0,0,0
2022093,1,0,7,-65.18,101.73,0,0,0
2022094,1,0,7,-65.18,101.73,0,0,0
2022095,1,2.368,7,-65.173,101.682,0,0,0
2022096,1,0,7,-65.173,101.682,0,0,0
2022097,1,2.838,7,-65.196,101.658,0,0,0
2022098,1,3.794,6,-65.18,101.73,0,0,0
2022099,1,0.097,7,-65.18,101.728,0,0,0
2022100,1,2.172,7,-65.171,101.687,0,0,0
2022101,1,0.336,7,-65.17,101.68,0,0,0
2022102,1,0.865,7,-65.17,101.661,0,0,0
2022103,1,0.336,7,-65.169,101.655,0,0,0
2022104,1,0.246,7,-65.169,101.65,0,0,0
2022105,1,0.097,6,-65.168,101.648,0,0,0
2022106,1,0,7,-65.168,101.648,0,0,0
2022107,1,0,7,-65.168,101.648,0,0,0
2022108,1,0,7,-65.168,101.648,0,0,0
2022109,1,0,7,-65.168,101.648,0,0,0
2022110,1,0,7,-65.168,101.648,0,0,0
2022111,1,0.304,7,-65.169,101.654,0,0,0
2022112,1,0.304,6,-65.17,101.66,0,0,0
2022113,1,0.179,7,-65.171,101.656,0,0,0
2022114,1,0.462,7,-65.172,101.647,0,0,0
2022115,1,1.467,7,-65.177,101.618,0,0,0
2022116,1,2.237,7,-65.183,101.572,0,0,0
2022117,1,1.466,7,-65.188,101.543,0,0,0
2022118,1,0.462,7,-65.189,101.534,0,0,0
2022119,1,0.178,7,-65.19,101.53,0,0,0
2022120,1,0,7,-65.19,101.53,0,0,0
2022121,1,0,7,-65.19,101.53,0,0,0
2022122,1,0,7,-65.19,101.53,0,0,0
2022123,1,0,7,-65.19,101.53,0,0,0
2022124,1,0,7,-65.19,101.53,0,0,0
2022125,1,0,7,-65.19,101.53,0,0,0
2022126,1,0,6,-65.19,101.53,0,0,0
2022127,1,0.026,7,-65.19,101.529,0,0,0
2022128,1,0.068,7,-65.19,101.528,0,0,0
2022129,1,0.091,7,-65.19,101.526,0,0,0
2022130,1,0.098,7,-65.19,101.524,0,0,0
2022131,1,0.091,7,-65.19,101.522,0,0,0
2022132,1,0.068,7,-65.19,101.521,0,0,0
2022133,1,0.026,6,-65.19,101.52,0,0,0
2022134,1,0.466,5,-65.19,101.53,0,0,0
2022135,1,0,5,-65.19,101.53,0,0,0
