date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2021162,0,0,6,-69.77,22.15,0,1117.63,0
2021163,1,22.091,7,-69.726,21.589,0,1121.01,0
2021164,1,18.473,7,-69.735,21.109,0,1124.4,0
2021165,1,23.205,7,-69.708,20.511,0,1127.78,0
2021166,1,14.271,7,-69.693,20.143,0,1131.16,0
2021167,1,17.446,7,-69.667,19.696,0,1134.54,0
2021168,1,35.767,7,-69.527,18.864,0,1137.92,0
2021169,1,15.695,6,-69.482,18.481,0,1141.31,0
2021170,1,24.463,7,-69.381,17.924,0,1144.69,0
2021171,1,20.076,7,-69.305,17.458,0,1148.07,0
2021172,1,22.729,7,-69.204,16.955,1,1151.45,0
2021173,1,19.028,7,-69.094,16.586,1,1154.83,0
2021174,1,22.868,7,-68.953,16.166,1,1158.21,0
2021175,1,17.795,7,-68.902,15.743,1,1161.58,0
2021176,1,22.479,6,-68.891,15.181,1,1162.66,0
2021177,1,17.225,7,-68.913,14.755,1,1163.99,0
2021178,1,18.731,7,-68.971,14.313,1,1166.94,-0.0128
2021179,1,16.105,7,-69.007,13.921,1,1165.73,0.0051
2021180,1,14.615,7,-69.04,13.565,1,1169.34,0.0168
2021181,1,11.994,7,-69.082,13.287,1,1166.64,0.0421
2021182,1,10.869,7,-69.106,13.021,1,1163.59,0.0494
2021183,1,10.993,6,-69.111,12.743,1,1159.45,0.0831
2021184,1,4.442,7,-69.12,12.634,1,1154.83,0.0957
2021185,1,8.38,7,-69.127,12.423,1,1149.23,0.0874
2021186,1,6.352,7,-69.143,12.269,1,1143.42,0.058
2021187,1,7.845,7,-69.142,12.07,1,1137,0.0479
2021188,1,8.259,7,-69.173,11.88,1,1130.32,0.021
2021189,1,3.181,7,-69.18,11.802,1,1122.74,0.0066
2021190,1,10.535,6,-69.231,11.576,1,1114.89,-0.0151
2021191,1,5.225,7,-69.256,11.464,1,1106.35,0
2021192,1,5.938,7,-69.285,11.337,1,1088.68,0
2021193,1,6.65,7,-69.317,11.193,1,1076.94,0
2021194,1,7.547,7,-69.352,11.028,1,1063.35,0
2021195,1,8.632,7,-69.394,10.842,1,1050.2,0
2021196,1,13.12,7,-69.471,10.587,1,1031.3,0
2021197,1,8.811,6,-69.506,10.383,1,1009.94,0
2021198,1,11.385,7,-69.542,10.109,1,987.06,0
2021199,1,14.151,7,-69.583,9.763,1,969.35,0
2021200,1,15.705,7,-69.625,9.376,1,949.97,0
2021201,1,16.055,7,-69.667,8.978,1,932.6,0
2021202,1,15.202,7,-69.708,8.601,1,914.07,0
2021203,1,13.148,7,-69.744,8.275,0,893.76,0
2021204,1,9.918,7,-69.773,8.032,0,877.06,0
2021205,1,5.971,7,-69.798,7.893,0,857.47,0
2021206,1,4.024,7,-69.823,7.818,0,842.43,0
2021207,1,4.087,7,-69.852,7.751,0,827.82,0
2021208,1,4.08,7,-69.881,7.686,0,814.59,0
2021209,1,8.706,7,-69.914,7.48,0,802.01,0
2021210,1,16.37,7,-69.865,7.075,0,791.08,0
2021211,1,9.921,6,-69.867,6.816,0,780.52,0
2021212,1,12.459,7,-69.871,6.49,0,771.8,0
2021213,1,15.181,7,-69.877,6.093,0,763.52,0
2021214,1,17.024,7,-69.885,5.647,0,757.82,0
2021215,1,17.994,7,-69.894,5.176,0,753.57,0
2021216,1,18.088,7,-69.904,4.703,0,752.12,0
2021217,1,17.312,7,-69.914,4.25,0,761.1,0
2021218,1,15.668,7,-69.925,3.84,0,764.16,0
2021219,1,14.03,7,-69.932,3.472,0,769.23,0
2021220,1,13.534,7,-69.939,3.117,0,778.27,0
2021221,1,10.869,7,-69.919,2.838,0,793.77,0
2021222,1,13.122,7,-69.915,2.493,0,814.91,0
2021223,1,11.995,7,-69.911,2.179,0,838.6,0
2021224,1,5.936,7,-69.906,2.024,0,852.3,0
2021225,1,21.009,6,-69.841,1.508,0,876.12,0
2021226,1,18.177,7,-69.779,1.067,0,901.64,0
2021227,1,18.083,7,-69.723,0.626,0,919.77,0
2021228,1,29.834,5,-69.501,0.191,0,949.19,0
2021229,1,15.295,5,-69.471,-0.193,0,979.18,0
2021230,1,36.806,7,-69.701,-0.878,1,1009.23,0
2021231,1,22.882,7,-69.77,-1.439,1,1039.15,0
2021232,1,22.068,7,-69.854,-1.96,1,1069.35,0
2021233,1,19.376,7,-69.936,-2.409,1,1098.34,0
2021234,1,15.068,7,-69.995,-2.766,1,1127.41,0
2021235,1,10.63,7,-70.029,-3.028,1,1151.06,0
2021236,1,11.113,7,-70.061,-3.306,1,1180.73,0
2021237,1,11.177,7,-70.089,-3.589,1,1209.41,0
2021238,1,9.868,7,-70.11,-3.843,1,1238.26,0
2021239,1,8.099,6,-70.119,-4.056,1,1265.57,0
2021240,1,9.716,7,-70.121,-4.314,1,1293.02,0
2021241,1,10.081,7,-70.132,-4.579,1,1319.24,0
2021242,1,9.939,7,-70.137,-4.842,1,1343.35,0
2021243,1,9.892,7,-70.14,-5.104,1,1366.83,0
2021244,1,10.596,7,-70.144,-5.385,1,1401.19,0
2021245,1,13.215,7,-70.168,-5.729,1,1431.91,0
2021246,1,7.509,7,-70.184,-5.923,1,1451.21,0
2021247,1,6.246,7,-70.2,-6.082,1,1469.58,0
2021248,1,5.211,7,-70.214,-6.214,1,1487.12,0
2021249,1,4.072,7,-70.226,-6.317,1,1511.18,0
2021250,1,2.816,7,-70.235,-6.387,1,1529.88,0
2021251,1,2.057,7,-70.242,-6.438,1,1547.07,0
2021252,1,2.426,7,-70.249,-6.498,1,1572.14,0
