date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2021162,0,0,6,-69.46,18.59,-0,660.65,0
2021163,1,17.168,7,-69.413,18.171,-0,662.12,0
2021164,1,17.343,7,-69.367,17.747,0,663.58,0
2021165,1,17.479,7,-69.322,17.319,0,665.05,0
2021166,1,17.578,7,-69.279,16.887,1,666.51,0
2021167,1,17.642,7,-69.238,16.453,1,667.98,0
2021168,1,17.673,7,-69.201,16.017,1,669.44,0
2021169,1,17.875,6,-69.166,15.575,1,670.91,0
2021170,1,17.508,7,-69.15,15.134,1,672.38,0
2021171,1,17.43,7,-69.164,14.694,1,673.84,0
2021172,1,20.088,7,-69.168,14.185,1,675.31,0
2021173,1,14.672,7,-69.161,13.814,1,676.77,0
2021174,1,13.317,7,-69.152,13.478,1,678.24,0
2021175,1,11.732,7,-69.14,13.183,1,680.45,0
2021176,1,9.916,7,-69.127,12.935,1,683.17,0
2021177,1,8.23,7,-69.112,12.731,1,685.95,0
2021178,1,6.924,7,-69.096,12.562,1,689.23,0
2021179,1,5.993,7,-69.074,12.424,1,692.57,0
2021180,1,9.949,7,-69.073,12.173,1,696.61,0
2021181,1,10.977,7,-69.063,11.897,1,701.06,0
2021182,1,8.456,7,-69.07,11.685,1,705.62,0
2021183,1,8.304,7,-69.085,11.48,1,710.6,0
2021184,1,8.734,7,-69.117,11.279,1,715.81,0
2021185,1,9.731,7,-69.171,11.083,1,721.5,0
2021186,1,10.596,7,-69.237,10.891,1,727.42,0
2021187,1,11.025,7,-69.31,10.698,1,734.33,0
2021188,1,10.927,7,-69.379,10.501,1,741.47,0
2021189,1,10.608,7,-69.444,10.3,1,749.68,0
2021190,1,9.462,6,-69.48,10.08,1,758.12,0
2021191,1,4.272,7,-69.489,9.973,1,768.32,0
2021192,1,6.287,7,-69.499,9.814,1,779.07,0
2021193,1,9.637,7,-69.513,9.569,1,784.61,0
2021194,1,11.78,7,-69.529,9.27,1,791.88,0
2021195,1,12.709,7,-69.547,8.946,1,799.89,0
2021196,1,12.44,7,-69.565,8.629,1,807.36,0
2021197,1,12.665,7,-69.587,8.308,1,823.38,0
2021198,1,14.045,7,-69.613,7.953,1,840.04,0
2021199,1,15.096,7,-69.643,7.572,1,858.13,0
2021200,1,15.746,7,-69.675,7.175,1,877.16,0
2021201,1,15.999,7,-69.709,6.771,1,897.22,0
2021202,1,15.857,7,-69.743,6.37,1,918.22,0
2021203,1,15.322,7,-69.775,5.982,0,940.24,0
2021204,1,14.396,7,-69.804,5.616,0,963.2,0
2021205,1,13.136,7,-69.831,5.283,0,986.36,0
2021206,1,11.573,7,-69.857,4.989,0,1007.22,0
2021207,1,10.797,7,-69.873,4.711,0,1019.86,0
2021208,1,11.55,7,-69.867,4.409,0,1045.33,0
2021209,1,20.201,7,-69.868,3.88,0,1061.86,0
2021210,1,18.372,7,-69.871,3.399,0,1082.94,0
2021211,1,9.446,6,-69.883,3.154,0,1111.76,0
2021212,1,15.899,7,-69.85,2.75,0,1155.84,0
2021213,1,13.186,7,-69.826,2.412,0,1185.67,0
2021214,1,42.99,7,-69.679,1.376,0,1215.09,0
2021215,1,19.56,7,-69.58,0.959,0,1245.42,0
2021216,1,17.858,7,-69.509,0.545,1,1288.72,0
2021217,1,22.832,7,-69.432,0.001,1,1330.14,0
2021218,1,21.21,7,-69.436,-0.543,1,1365.33,0
2021219,1,21.876,7,-69.491,-1.082,1,1411.56,0
2021220,1,23.055,7,-69.582,-1.617,1,1457.58,0
2021221,1,23.481,7,-69.687,-2.144,1,1502.52,0
2021222,1,22.754,7,-69.788,-2.659,1,1537.16,0
2021223,1,22.097,7,-69.88,-3.171,1,1564.93,0
2021224,1,21.997,7,-69.966,-3.691,1,1599.45,0
2021225,1,21.545,7,-70.039,-4.217,0,1633.92,0
2021226,1,21.625,7,-70.103,-4.757,0,1665.8,0
2021227,1,21.929,7,-70.165,-5.309,1,1690.78,0
2021228,1,21.548,7,-70.223,-5.856,1,1713.84,0
2021229,1,20.503,7,-70.273,-6.382,1,1736.43,0
2021230,1,18.812,7,-70.313,-6.871,1,1757.31,0
2021231,1,16.505,7,-70.339,-7.306,1,1780.07,0
2021232,1,13.28,6,-70.35,-7.66,1,1810.14,0
2021233,1,20.27,7,-70.325,-8.198,1,1827.07,0
2021234,1,9.813,7,-70.318,-8.459,1,1850.54,0
2021235,1,8.601,7,-70.318,-8.689,1,1868.6,0
2021236,1,8.39,7,-70.32,-8.914,1,1877.84,0
2021237,1,9.346,7,-70.327,-9.163,1,1870.22,0
2021238,1,9.837,7,-70.344,-9.422,1,1875.44,0
2021239,1,13.169,6,-70.393,-9.743,1,1879.04,0
2021240,1,5.073,7,-70.404,-9.875,1,1880.24,0
2021241,1,13.725,7,-70.481,-10.164,1,1862.91,0
2021242,1,11.526,7,-70.542,-10.416,1,1848.52,0
2021243,1,7.277,7,-70.591,-10.549,1,1844.29,0
2021244,1,10.598,7,-70.658,-10.754,1,1826.59,0
2021245,1,15.045,7,-70.747,-11.064,1,1807.22,0
2021246,1,16.372,7,-70.833,-11.427,1,1787.74,0
2021247,1,15.374,7,-70.904,-11.79,1,1765.05,0
2021248,1,12.398,7,-70.95,-12.102,1,1751.56,0
2021249,1,9.774,7,-70.974,-12.361,1,1726.78,0
2021250,1,9.065,7,-70.994,-12.605,1,1700.8,0
2021251,1,8.554,7,-71.011,-12.835,1,1675.6,0
