date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2021162,0,0,6,-69.79,19.7,0,1725.24,0
2021163,1,15.34,7,-69.786,19.3,0,1717.17,0
2021164,1,14.168,7,-69.76,18.939,0,1709.1,0
2021165,1,19.932,7,-69.714,18.438,0,1701.02,0
2021166,1,10.076,7,-69.667,18.214,0,1692.95,0
2021167,1,4.808,7,-69.64,18.117,0,1684.88,0
2021168,1,6.393,7,-69.621,17.96,0,1676.81,0
2021169,1,4.004,7,-69.611,17.861,0,1668.74,0
2021170,1,3.446,7,-69.603,17.775,0,1660.67,0
2021171,1,8.927,7,-69.593,17.546,0,1652.6,0
2021172,1,10.17,7,-69.578,17.287,0,1644.53,0
2021173,1,5.591,7,-69.547,17.172,0,1636.45,0
2021174,1,5.649,7,-69.514,17.062,0,1628.38,0
2021175,1,7.395,7,-69.493,16.881,0,1618.16,0
2021176,1,7.194,6,-69.476,16.703,0,1606.73,0
2021177,1,4.585,7,-69.459,16.595,0,1594.16,0
2021178,1,4.745,7,-69.438,16.49,0,1580.58,0
2021179,1,7.358,7,-69.392,16.354,0,1566.13,0
2021180,1,8.845,7,-69.336,16.191,1,1550.83,0
2021181,1,8.863,7,-69.295,15.998,1,1535.14,0
2021182,1,9.474,7,-69.256,15.784,1,1518.92,0
2021183,1,10.101,7,-69.204,15.572,1,1502.53,0
2021184,1,10.421,7,-69.161,15.337,1,1481.71,0
2021185,1,11.293,7,-69.138,15.059,1,1461.75,0
2021186,1,12.104,7,-69.123,14.756,1,1441.63,0
2021187,1,12.679,7,-69.123,14.435,1,1421.26,0
2021188,1,12.243,7,-69.128,14.126,1,1401.85,0
2021189,1,10.775,7,-69.137,13.854,1,1382.39,0
2021190,1,9.329,6,-69.142,13.619,1,1362.62,0
2021191,1,7.905,7,-69.138,13.419,1,1347.16,0
2021192,1,7.217,7,-69.132,13.237,1,1329.51,0
2021193,1,6.916,7,-69.124,13.064,1,1313.69,0
2021194,1,6.992,7,-69.116,12.888,1,1298.74,0
2021195,1,7.443,7,-69.109,12.701,1,1288.44,0
2021196,1,8.643,7,-69.104,12.484,1,1279.04,0
2021197,1,3.781,6,-69.104,12.388,1,1270.31,0
2021198,1,5.018,7,-69.113,12.264,1,1260.22,0
2021199,1,7.401,7,-69.136,12.089,1,1251.92,0
2021200,1,8.941,7,-69.169,11.882,1,1252.11,0
2021201,1,9.554,7,-69.206,11.663,1,1254.38,0
2021202,1,9.227,7,-69.241,11.451,1,1259.66,0
2021203,1,9.144,7,-69.278,11.242,1,1267.07,0
2021204,1,9.832,7,-69.314,11.014,1,1278.05,0
2021205,1,11.081,7,-69.339,10.74,0,1291.27,0
2021206,1,13.046,7,-69.346,10.408,1,1308.32,0
2021207,1,15.999,7,-69.338,10,1,1332.65,0
2021208,1,18.42,7,-69.261,9.584,0,1356.17,0
2021209,1,34.106,7,-69.214,8.727,0,1385.86,0
2021210,1,24.938,7,-69.232,8.096,0,1416.42,0
2021211,1,16.494,6,-69.254,7.681,0,1448.02,0
2021212,1,8.975,7,-69.27,7.457,0,1483.91,0
2021213,1,16.631,7,-69.348,7.095,0,1520.78,0
2021214,1,19.375,7,-69.451,6.695,0,1559.61,0
2021215,1,20.979,7,-69.568,6.27,0,1599.24,0
2021216,1,21.118,7,-69.681,5.832,0,1635.98,0
2021217,1,19.889,7,-69.776,5.392,0,1676.94,0
2021218,1,17.714,6,-69.834,4.962,0,1717.28,0
2021219,1,16.765,7,-69.869,4.535,0,1757.62,0
2021220,1,16.728,7,-69.899,4.106,0,1794.06,0
2021221,1,16.132,7,-69.923,3.689,0,1829.35,0
2021222,1,15.037,7,-69.936,3.296,0,1864.07,0
2021223,1,13.751,7,-69.939,2.935,0,1911.72,0
2021224,1,15.541,7,-69.915,2.532,0,1957.11,0
2021225,1,19.022,6,-69.917,2.033,0,1984.68,0
2021226,1,23.506,7,-69.853,1.446,0,2021.66,0
2021227,1,27.203,7,-69.728,0.836,0,2044.53,0
2021228,1,19.308,7,-69.64,0.405,0,2065.73,0
2021229,1,11.419,7,-69.601,0.131,1,2081.87,0
2021230,1,22.737,7,-69.546,-0.434,1,2095.92,0
2021231,1,19.659,7,-69.546,-0.941,1,2103.8,0
2021232,1,19.088,7,-69.599,-1.41,1,2104.11,0
2021233,1,19.258,7,-69.688,-1.839,1,2103.8,0
2021234,1,18.688,7,-69.786,-2.233,1,2101.66,0
2021235,1,16.164,7,-69.865,-2.589,1,2097.69,0
2021236,1,13.269,7,-69.92,-2.898,1,2093.03,0
2021237,1,14.406,7,-69.956,-3.261,1,2081.95,0
2021238,1,15.42,7,-69.972,-3.664,1,2068.82,0
2021239,1,15.109,7,-69.971,-4.061,1,2052.68,0
2021240,1,13.356,7,-69.967,-4.413,1,2033,0
2021241,1,11.102,7,-69.981,-4.702,1,2010.31,0
2021242,1,8.626,7,-69.976,-4.928,1,1984.5,0
2021243,1,12.659,7,-69.982,-5.261,1,1956.2,0
2021244,1,14.948,7,-70.001,-5.65,1,1914.6,0
2021245,1,15.839,7,-70.038,-6.054,1,1873.07,0
2021246,1,13.359,6,-70.085,-6.378,1,1830.16,0
2021247,1,12.097,7,-70.166,-6.596,1,1788.5,0
2021248,1,3.855,7,-70.185,-6.681,1,1738.03,0
2021249,1,4.367,7,-70.213,-6.763,1,1691.07,0
2021250,1,4.983,7,-70.247,-6.848,1,1651.91,0
2021251,1,5.276,7,-70.284,-6.936,1,1602.5,0
2021252,1,5.211,7,-70.32,-7.027,1,1563.6,0
2021253,1,4.835,6,-70.35,-7.12,1,1525.24,0
2021254,1,6.06,7,-70.383,-7.25,1,1490.05,0
2021255,1,4.378,7,-70.41,-7.336,1,1456.51,0
2021256,1,3.895,7,-70.434,-7.411,1,1426.78,0
2021257,1,3.195,7,-70.454,-7.473,1,1398.68,0
2021258,1,2.3,7,-70.466,-7.523,1,1373.45,0
2021259,1,1.777,7,-70.472,-7.567,1,1345.85,0
2021260,1,7.405,6,-70.49,-7.76,1,1324.11,0
2021261,1,2.01,7,-70.488,-7.814,1,1303.64,0
2021262,1,3.853,7,-70.478,-7.914,1,1287.18,0
2021263,1,5.414,7,-70.462,-8.052,1,1273.26,0
2021264,1,4.067,7,-70.45,-8.155,1,1267.78,0
2021265,1,2.395,7,-70.443,-8.216,1,1267.2,0
2021266,1,11.755,7,-70.416,-8.522,1,1275.13,0
2021267,1,5.466,7,-70.41,-8.667,1,1287.46,0
2021268,1,4.177,7,-70.41,-8.779,1,1303.21,0
2021269,1,3.768,7,-70.417,-8.879,1,1332.96,0
2021270,1,4.011,7,-70.429,-8.981,1,1363.99,0
2021271,1,4.775,7,-70.443,-9.102,1,1397.98,0
2021272,1,8.463,7,-70.497,-9.262,1,1432.31,0
2021273,1,27.02,5,-70.482,-9.99,1,1467.27,0
2021274,1,19.815,7,-70.586,-9.554,0,1500.17,0
2021275,1,12.264,5,-70.687,-9.688,0,1535.78,0
2021276,1,0,5,-70.687,-9.688,0,1571.4,0
2021277,1,0,5,-70.687,-9.688,0,1608.82,0
2021278,1,6.199,5,-70.676,-9.522,0,1646.24,0
2021279,1,0,5,-70.676,-9.522,0,1683.62,0
2021280,1,0.799,5,-70.68,-9.54,0,1720.25,0
2021281,1,0,3,-70.68,-9.54,0,1755.7,0
2021282,1,2.844,5,-70.704,-9.57,0,1790.37,0
2021283,1,0,5,-70.704,-9.57,0,1823.71,0
2021284,1,0,5,-70.704,-9.57,0,1860.05,0
2021285,1,0,5,-70.704,-9.57,0,1890.76,0
2021286,1,0,5,-70.704,-9.57,0,1920.37,0
2021287,1,3.518,5,-70.699,-9.664,0,1947.58,0
2021288,1,2.545,3,-70.72,-9.64,0,1973.31,0
2021289,1,2.545,5,-70.699,-9.664,1,1992.17,0
2021290,1,14.54,7,-70.739,-10.042,1,2008.88,0
2021291,1,13.08,7,-70.763,-10.392,1,2018.66,0
