date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2022028,0,0,6,-69.89,2.34,0,0,0
2022029,1,13.736,7,-69.844,2.006,0,0,0
2022030,1,12.9,7,-69.836,1.669,0,0,0
2022031,1,7.902,7,-69.796,1.5,0,0,0
2022032,1,4.872,7,-69.779,1.383,0,0,0
2022033,1,9.316,7,-69.737,1.173,0,0,0
2022034,1,8.366,7,-69.709,0.97,0,0,0
2022035,1,10.416,6,-69.66,0.74,0,0,0
2022036,1,13.308,7,-69.625,0.41,0,0,0
2022037,1,10.822,7,-69.612,0.133,0,0,0
2022038,1,17.329,7,-69.593,-0.312,0,0,0
2022039,1,17.074,7,-69.56,-0.743,0,0,0
2022040,1,29.677,7,-69.6,-1.501,0,0,0
2022041,1,20.097,7,-69.669,-1.982,0,0,0
2022042,1,14.607,6,-69.8,-2,0,0,0
2022043,1,1.363,7,-69.812,-1.994,0,0,0
2022044,1,3.275,7,-69.842,-1.995,0,0,0
2022045,1,1.792,7,-69.856,-1.974,0,0,0
2022046,1,4.452,7,-69.876,-1.873,0,0,0
2022047,1,4.612,7,-69.9,-1.774,0,0,0
2022048,1,2.81,7,-69.925,-1.776,0,0,0
2022049,1,2.037,6,-69.942,-1.795,0,0,0
2022050,1,1.061,7,-69.943,-1.823,0,0,0
2022051,1,2.362,7,-69.938,-1.883,0,0,0
2022052,1,6.333,7,-69.906,-2.021,0,0,0
2022053,1,8.161,7,-69.879,-2.22,0,0,0
2022054,1,11.12,7,-69.912,-2.496,0,0,0
2022055,1,9.612,7,-69.958,-2.709,0,0,0
2022056,1,3.645,7,-69.99,-2.735,0,0,0
2022057,1,1.874,7,-70.006,-2.754,0,0,0
2022058,1,7.285,7,-69.969,-2.913,0,0,0
2022059,1,8.784,7,-69.931,-3.116,0,0,0
2022060,1,6.36,7,-69.949,-3.275,0,0,0
2022061,1,5.176,7,-69.975,-3.387,0,0,0
2022062,1,2.617,7,-69.989,-3.443,0,0,0
2022063,1,1.902,6,-69.995,-3.49,0,0,0
2022064,1,1.035,7,-69.992,-3.516,0,0,0
2022065,1,1.198,7,-69.987,-3.543,0,0,0
2022066,1,6.699,7,-69.954,-3.691,0,0,0
2022067,1,8.785,7,-69.923,-3.903,0,0,0
2022068,1,7.78,7,-69.938,-4.103,0,0,0
2022069,1,6.438,7,-69.963,-4.255,0,0,0
2022070,1,3.484,7,-69.983,-4.327,0,0,0
2022071,1,3.319,7,-70.004,-4.389,0,0,0
2022072,1,3.417,7,-70.026,-4.453,0,0,0
2022073,1,4.13,7,-70.055,-4.521,0,0,0
2022074,1,7.189,7,-70.111,-4.614,0,0,0
2022075,1,8.182,7,-70.173,-4.731,0,0,0
2022076,1,7.234,7,-70.213,-4.883,0,0,0
2022077,1,6.487,6,-70.236,-5.042,0,0,0
2022078,1,4.998,7,-70.246,-5.172,0,0,0
2022079,1,5.313,7,-70.251,-5.313,0,0,0
2022080,1,7.409,7,-70.252,-5.51,0,0,0
2022081,1,7.053,7,-70.251,-5.699,0,0,0
2022082,1,4.953,7,-70.244,-5.829,0,0,0
2022083,1,4.721,7,-70.238,-5.954,0,0,0
2022084,1,5.05,7,-70.253,-6.081,0,0,0
2022085,1,5.351,7,-70.267,-6.217,0,0,0
2022086,1,6.249,7,-70.27,-6.384,0,0,0
2022087,1,7.152,7,-70.273,-6.574,0,0,0
2022088,1,7.588,7,-70.273,-6.777,0,0,0
2022089,1,8.617,7,-70.273,-7.007,0,0,0
2022090,1,11.41,7,-70.299,-7.302,0,0,0
2022091,1,12.4,6,-70.335,-7.616,0,0,0
2022092,1,10.689,7,-70.365,-7.888,0,0,0
2022093,1,11.047,7,-70.402,-8.164,0,0,0
2022094,1,12.465,7,-70.441,-8.477,0,0,0
2022095,1,13.054,7,-70.489,-8.798,0,0,0
2022096,1,19.052,5,-70.585,-9.226,0,0,0
2022097,1,13.712,5,-70.698,-9.374,0,0,0
2022098,1,9.819,3,-70.69,-9.64,0,0,0
2022099,1,15.025,7,-70.745,-10.015,0,0,0
2022100,1,18.753,7,-70.809,-10.489,0,0,0
2022101,1,22.198,7,-70.893,-11.043,0,0,0
2022102,1,23.652,7,-70.986,-11.63,0,0,0
2022103,1,25.806,7,-71.092,-12.267,0,0,0
2022104,1,28.763,7,-71.206,-12.987,0,0,0
2022105,1,28.882,6,-71.336,-13.69,0,0,0
2022106,1,71.984,5,-71.735,-15.304,0,0,0
2022107,1,29.44,5,-71.937,-15.857,0,0,0
2022108,1,26.991,5,-72.092,-16.464,0,0,0
2022109,1,52.579,5,-72.428,-17.559,0,0,0
2022110,1,35.551,5,-72.522,-18.576,0,0,0
2022111,1,45.826,5,-72.764,-19.697,0,0,0
2022112,1,14.561,7,-72.829,-20.084,0,0,0
2022113,1,28.55,7,-72.971,-20.813,0,0,0
2022114,1,23.36,7,-73.082,-21.425,0,0,0
2022115,1,17.789,7,-73.159,-21.909,0,0,0
2022116,1,11.537,7,-73.2,-22.239,0,0,0
2022117,1,10.723,7,-73.235,-22.551,0,0,0
2022118,1,14.166,7,-73.29,-22.952,0,0,0
2022119,1,14.75,6,-73.35,-23.364,0,0,0
2022120,1,13.106,7,-73.402,-23.735,0,0,0
2022121,1,13.077,7,-73.44,-24.126,0,0,0
2022122,1,13.209,7,-73.459,-24.539,0,0,0
2022123,1,13.222,7,-73.477,-24.953,0,0,0
2022124,1,13.752,7,-73.515,-25.368,0,0,0
2022125,1,12.232,7,-73.55,-25.736,0,0,0
2022126,1,8.356,7,-73.561,-25.999,0,0,0
2022127,1,7.159,7,-73.571,-26.224,0,0,0
2022128,1,13.67,7,-73.648,-26.564,0,0,0
2022129,1,14.057,7,-73.726,-26.922,0,0,0
2022130,1,7.907,7,-73.736,-27.174,0,0,0
2022131,1,7.609,7,-73.743,-27.417,0,0,0
2022132,1,9.78,7,-73.72,-27.72,0,0,0
2022133,1,10.086,6,-73.685,-28.019,0,0,0
2022134,1,42.298,5,-73.704,-29.375,0,0,0
2022135,1,10.635,5,-73.614,-29.488,0,0,0
2022136,1,7.397,5,-73.592,-29.711,0,0,0
2022137,1,6.241,5,-73.556,-29.863,0,0,0
2022138,1,6.735,5,-73.51,-30.001,0,0,0
2022139,1,4.813,5,-73.539,-30.114,0,0,0
2022140,1,4.843,5,-73.547,-30.266,0,0,0
2022141,1,5.595,5,-73.553,-30.442,0,0,0
2022142,1,6.254,5,-73.559,-30.64,0,0,0
2022143,1,6.812,5,-73.564,-30.857,0,0,0
2022144,1,7.273,5,-73.567,-31.088,0,0,0
2022145,1,7.628,5,-73.57,-31.331,0,0,0
2022146,1,7.884,5,-73.572,-31.582,0,0,0
2022147,1,5.824,7,-73.536,-31.719,0,0,0
2022148,1,12.512,5,-73.573,-32.096,0,0,0
2022149,1,9.842,5,-73.536,-32.381,0,0,0
2022150,1,7.659,5,-73.542,-32.624,0,0,0
2022151,1,10.674,5,-73.466,-32.831,0,0,0
2022152,1,8.718,5,-73.493,-33.09,0,0,0
2022153,1,6.141,5,-73.461,-33.249,0,0,0
2022154,1,5.976,5,-73.496,-33.393,0,0,0
2022155,1,16.18,5,-73.602,-33.747,0,0,0
2022156,1,14.887,5,-73.736,-33.734,0,0,0
2022157,1,19.1,5,-73.901,-33.565,0,0,0
2022158,1,5.279,5,-73.949,-33.555,0,0,0
2022159,1,12.924,5,-74.054,-33.377,0,0,0
2022160,1,9.178,5,-74.114,-33.169,0,0,0
2022161,1,0.743,7,-74.114,-33.193,0,0,0
2022162,1,6.903,7,-74.175,-33.142,0,0,0
2022163,1,8.318,7,-74.25,-33.14,0,0,0
2022164,1,10.534,7,-74.338,-33.267,0,0,0
2022165,1,10.844,7,-74.422,-33.457,0,0,0
2022166,1,10.837,7,-74.496,-33.692,0,0,0
2022167,1,9.794,7,-74.559,-33.925,0,0,0
2022168,1,8.126,6,-74.605,-34.139,0,0,0
2022169,1,2.332,7,-74.584,-34.157,0,0,0
2022170,1,5.399,7,-74.536,-34.158,0,0,0
2022171,1,6.382,7,-74.478,-34.162,0,0,0
2022172,1,6.564,7,-74.419,-34.177,0,0,0
2022173,1,4.771,7,-74.381,-34.249,0,0,0
2022174,1,4.646,7,-74.354,-34.366,0,0,0
2022175,1,3.819,6,-74.336,-34.477,0,0,0
2022176,1,2.99,7,-74.325,-34.567,0,0,0
2022177,1,6.21,7,-74.338,-34.769,0,0,0
2022178,1,8.661,7,-74.359,-35.048,0,0,0
2022179,1,6.704,7,-74.38,-35.258,0,0,0
2022180,1,3.719,7,-74.395,-35.369,0,0,0
2022181,1,4.118,7,-74.4,-35.506,0,0,0
2022182,1,4.086,7,-74.399,-35.642,0,0,0
2022183,1,3.194,7,-74.382,-35.729,0,0,0
2022184,1,8.444,7,-74.308,-35.662,0,0,0
2022185,1,10.724,7,-74.211,-35.686,0,0,0
2022186,1,11.661,7,-74.107,-35.714,0,0,0
2022187,1,9.304,7,-74.023,-35.742,0,0,0
2022188,1,6.289,7,-73.969,-35.8,0,0,0
2022189,1,4.719,7,-73.927,-35.828,0,0,0
2022190,1,3.958,7,-73.891,-35.832,0,0,0
2022191,1,4.29,7,-73.852,-35.829,0,0,0
2022192,1,5.122,7,-73.809,-35.886,0,0,0
2022193,1,7.15,7,-73.751,-35.783,0,0,0
2022194,1,9.304,7,-73.681,-35.619,0,0,0
2022195,1,9.216,7,-73.61,-35.467,0,0,0
2022196,1,9.074,6,-73.534,-35.359,0,0,0
2022197,1,1.009,7,-73.534,-35.391,0,0,0
2022198,1,2.073,7,-73.537,-35.456,0,0,0
2022199,1,1.616,7,-73.538,-35.507,0,0,0
2022200,1,1.273,7,-73.527,-35.517,0,0,0
2022201,1,3.814,7,-73.549,-35.61,0,0,0
2022202,1,6.965,7,-73.592,-35.771,0,0,0
2022203,1,5.672,6,-73.616,-35.932,0,0,0
2022204,1,4.871,7,-73.607,-36.084,0,0,0
2022205,1,5.12,7,-73.635,-36.214,0,0,0
2022206,1,6.68,7,-73.681,-36.352,0,0,0
2022207,1,6.772,7,-73.719,-36.523,0,0,0
2022208,1,10.395,7,-73.74,-36.848,0,0,0
2022209,1,9.598,7,-73.759,-37.15,0,0,0
2022210,1,8.688,7,-73.772,-37.426,0,0,0
2022211,1,8.244,7,-73.773,-37.692,0,0,0
2022212,1,8.602,7,-73.75,-37.957,0,0,0
2022213,1,4.736,7,-73.742,-38.107,0,0,0
2022214,1,3.954,7,-73.735,-38.231,0,0,0
2022215,1,3.793,7,-73.724,-38.347,0,0,0
2022216,1,8.068,7,-73.658,-38.459,0,0,0
2022217,1,2.964,7,-73.632,-38.478,0,0,0
2022218,1,2.453,7,-73.611,-38.463,0,0,0
2022219,1,3.05,7,-73.583,-38.459,0,0,0
2022220,1,5.906,7,-73.543,-38.582,0,0,0
2022221,1,6.747,7,-73.482,-38.603,0,0,0
2022222,1,7.571,7,-73.414,-38.617,0,0,0
2022223,1,4.728,7,-73.372,-38.636,0,0,0
2022224,1,1.814,6,-73.385,-38.672,0,0,0
2022225,1,2.788,7,-73.364,-38.72,0,0,0
2022226,1,3.857,7,-73.333,-38.779,0,0,0
2022227,1,4.563,7,-73.297,-38.844,0,0,0
2022228,1,7.288,7,-73.234,-38.915,0,0,0
2022229,1,4.571,7,-73.194,-38.942,0,0,0
2022230,1,3.644,7,-73.162,-38.964,0,0,0
2022231,1,2.443,6,-73.141,-38.989,0,0,0
2022232,1,2.866,7,-73.129,-39.068,0,0,0
2022233,1,2.058,7,-73.116,-39.114,0,0,0
2022234,1,2.004,7,-73.102,-39.153,0,0,0
2022235,1,1.891,7,-73.09,-39.193,0,0,0
2022236,1,1.803,7,-73.081,-39.24,0,0,0
2022237,1,7.993,7,-73.107,-39.47,0,0,0
2022238,1,1.06,6,-73.101,-39.493,0,0,0
2022239,1,3.281,7,-73.077,-39.555,0,0,0
2022240,1,5.967,7,-73.034,-39.667,0,0,0
2022241,1,5.958,7,-72.991,-39.777,0,0,0
2022242,1,3.267,7,-72.967,-39.832,0,0,0
2022243,1,3.027,7,-72.978,-39.748,0,0,0
2022244,1,2.239,7,-72.986,-39.685,0,0,0
2022245,1,3.227,7,-72.968,-39.761,0,0,0
2022246,1,6.908,7,-72.931,-39.933,0,0,0
2022247,1,9.53,7,-72.877,-40.159,0,0,0
2022248,1,10.23,7,-72.812,-40.38,0,0,0
2022249,1,11.315,7,-72.728,-40.577,0,0,0
2022250,1,10.855,7,-72.638,-40.702,0,0,0
2022251,1,7.7,7,-72.577,-40.814,0,0,0
2022252,1,5.674,7,-72.534,-40.909,0,0,0
2022253,1,4.212,7,-72.51,-41.005,0,0,0
2022254,1,4.109,7,-72.498,-41.122,0,0,0
2022255,1,10.104,7,-72.496,-41.424,0,0,0
2022256,1,5.339,7,-72.462,-41.539,0,0,0
2022257,1,3.829,7,-72.459,-41.653,0,0,0
2022258,1,3.692,7,-72.454,-41.762,0,0,0
2022259,1,3.109,7,-72.447,-41.852,0,0,0
2022260,1,2.539,7,-72.435,-41.917,0,0,0
2022261,1,2.371,7,-72.416,-41.953,0,0,0
2022262,1,5.348,7,-72.369,-41.968,0,0,0
2022263,1,7.586,7,-72.3,-41.981,0,0,0
2022264,1,7.383,7,-72.237,-41.911,0,0,0
2022265,1,4.635,7,-72.196,-41.921,0,0,0
2022266,1,4.021,7,-72.161,-41.891,0,0,0
2022267,1,3.246,5,-72.134,-41.849,0,0,0
2022268,1,3.673,5,-72.16,-41.916,0,0,0
2022269,1,4.457,5,-72.19,-42.004,0,0,0
2022270,1,8.437,5,-72.146,-42.207,0,0,0
2022271,1,4.405,5,-72.113,-42.277,0,0,0
2022272,1,4.865,5,-72.133,-42.403,0,0,0
2022273,1,10.223,5,-72.225,-42.418,0,0,0
2022274,1,4.113,5,-72.262,-42.425,0,0,0
2022275,1,7.968,5,-72.231,-42.637,0,0,0
2022276,1,13.078,5,-72.117,-42.54,0,0,0
2022277,1,15.484,5,-71.979,-42.599,0,0,0
2022278,1,17.571,5,-71.827,-42.457,0,0,0
2022279,1,6.656,5,-71.775,-42.361,0,0,0
2022280,1,2.49,7,-71.793,-42.322,0,0,0
2022281,1,4.579,7,-71.812,-42.44,0,0,0
2022282,1,6.594,7,-71.841,-42.606,0,0,0
2022283,1,7.41,7,-71.874,-42.794,0,0,0
2022284,1,7.038,7,-71.903,-42.975,0,0,0
2022285,1,5.512,7,-71.922,-43.123,0,0,0
2022286,1,3.912,7,-71.923,-43.236,0,0,0
2022287,1,5.26,6,-71.929,-43.388,0,0,0
2022288,1,6.816,7,-71.938,-43.584,0,0,0
2022289,1,9.438,7,-71.902,-43.832,0,0,0
2022290,1,7.549,7,-71.87,-44.024,0,0,0
2022291,1,7.214,7,-71.839,-44.208,0,0,0
2022292,1,6.684,7,-71.809,-44.375,0,0,0
2022293,1,5.998,7,-71.778,-44.517,0,0,0
2022294,1,5.234,7,-71.745,-44.625,0,0,0
2022295,1,5.143,7,-71.705,-44.698,0,0,0
2022296,1,5.962,7,-71.653,-44.742,0,0,0
2022297,1,8.562,7,-71.579,-44.67,0,0,0
2022298,1,7.041,7,-71.524,-44.771,0,0,0
2022299,1,4.045,7,-71.496,-44.843,0,0,0
2022300,1,7.587,7,-71.47,-45.043,0,0,0
2022301,1,4.989,6,-71.449,-45.168,0,0,0
2022302,1,6.485,7,-71.427,-45.337,0,0,0
2022303,1,8.243,7,-71.396,-45.55,0,0,0
2022304,1,9.353,7,-71.362,-45.791,0,0,0
2022305,1,9.804,7,-71.327,-46.045,0,0,0
2022306,1,9.606,7,-71.297,-46.298,0,0,0
2022307,1,8.786,7,-71.275,-46.535,0,0,0
2022308,1,7.403,6,-71.264,-46.74,0,0,0
2022309,1,7.43,7,-71.274,-46.946,0,0,0
2022310,1,3.869,7,-71.241,-46.98,0,0,0
2022311,1,4.962,7,-71.274,-46.886,0,0,0
2022312,1,1.193,7,-71.272,-46.919,0,0,0
2022313,1,9.573,7,-71.251,-47.18,0,0,0
2022314,1,0.756,7,-71.246,-47.194,0,0,0
2022315,1,0.4,7,-71.242,-47.194,0,0,0
2022316,1,0.393,7,-71.24,-47.186,0,0,0
2022317,1,0.384,7,-71.238,-47.177,0,0,0
2022318,1,0.336,7,-71.237,-47.168,0,0,0
2022319,1,0.236,7,-71.236,-47.162,0,0,0
2022320,1,0.08,7,-71.236,-47.16,0,0,0
2022321,1,2.567,7,-71.253,-47.209,0,0,0
2022322,1,3.772,6,-71.27,-47.3,0,0,0
2022323,1,4.625,7,-71.256,-47.422,0,0,0
2022324,1,3.466,7,-71.244,-47.513,0,0,0
2022325,1,7.655,7,-71.182,-47.603,0,0,0
2022326,1,8.923,7,-71.102,-47.63,0,0,0
2022327,1,4.852,7,-71.069,-47.72,0,0,0
2022328,1,4.668,7,-71.041,-47.816,0,0,0
2022329,1,4.655,7,-71.009,-47.901,0,0,0
2022330,1,4.912,7,-70.975,-47.984,0,0,0
2022331,1,5.208,7,-70.936,-48.067,0,0,0
2022332,1,4.95,7,-70.899,-48.143,0,0,0
2022333,1,4.119,7,-70.868,-48.204,0,0,0
2022334,1,2.72,7,-70.847,-48.244,0,0,0
2022335,1,2.173,7,-70.851,-48.186,0,0,0
2022336,1,2.476,6,-70.863,-48.127,0,0,0
2022337,1,3.541,7,-70.848,-48.212,0,0,0
2022338,1,4.146,7,-70.841,-48.325,0,0,0
2022339,1,1.543,7,-70.833,-48.359,0,0,0
2022340,1,0.734,7,-70.835,-48.379,0,0,0
2022341,1,3.305,7,-70.827,-48.467,0,0,0
2022342,1,4.888,7,-70.81,-48.59,0,0,0
2022343,1,4.21,7,-70.787,-48.683,0,0,0
2022344,1,5.633,7,-70.748,-48.782,0,0,0
2022345,1,7.336,7,-70.693,-48.891,0,0,0
2022346,1,8.175,7,-70.629,-49.004,0,0,0
2022347,1,8.095,7,-70.567,-49.119,0,0,0
2022348,1,7.112,7,-70.515,-49.23,0,0,0
2022349,1,5.66,7,-70.476,-49.33,0,0,0
2022350,1,4.234,7,-70.45,-49.413,0,0,0
2022351,1,3.413,7,-70.43,-49.484,0,0,0
2022352,1,3.523,7,-70.409,-49.552,0,0,0
2022353,1,4.64,7,-70.374,-49.622,0,0,0
2022354,1,5.255,7,-70.348,-49.739,0,0,0
2022355,1,1.379,7,-70.336,-49.723,0,0,0
2022356,1,4.009,7,-70.305,-49.775,0,0,0
2022357,1,1.257,7,-70.296,-49.795,0,0,0
2022358,1,1.461,7,-70.285,-49.817,0,0,0
2022359,1,1.638,7,-70.272,-49.839,0,0,0
2022360,1,4.486,7,-70.245,-49.929,0,0,0
2022361,1,1.72,7,-70.233,-49.956,0,0,0
2022362,1,1.468,7,-70.223,-49.98,0,0,0
2022363,1,1.119,7,-70.216,-50.002,0,0,0
2022364,1,0.762,7,-70.213,-50.021,0,0,0
2022365,1,0.622,7,-70.214,-50.037,0,0,0
2023001,1,0.848,7,-70.216,-50.059,0,0,0
