date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2011242,0,0,12,-66.545,-35.844,2,563.81,0.0554
2011243,1,11.233,12,-66.457,-35.717,2,563.36,-0.0633
2011244,1,3.927,13,-66.46,-35.628,1,562.91,-0.0633
2011245,1,3.805,13,-66.465,-35.544,1,562.46,0
2011246,1,3.534,13,-66.473,-35.466,1,562.01,0.0712
2011247,1,3.097,13,-66.482,-35.4,2,561.56,-0.0474
2011248,1,2.456,13,-66.49,-35.348,2,561.11,0.0023
2011249,1,1.625,13,-66.495,-35.314,2,560.65,-0.154
2011250,1,0.589,12,-66.498,-35.302,2,560.2,-0.4975
2011251,1,23.166,12,-66.393,-35.754,2,559.75,-0.7758
2011252,1,18.947,12,-66.237,-35.927,2,559.3,-0.8511
2011253,1,7.659,12,-66.202,-36.075,2,558.85,-0.8073
2011254,1,13.691,12,-66.185,-35.772,2,558.4,-0.5887
2011255,1,13.42,12,-66.283,-35.948,2,556.54,-0.4189
2011256,1,16.898,12,-66.312,-35.576,2,554.43,-0.0193
2011257,1,12.017,12,-66.375,-35.357,2,551.72,0.0326
2011258,1,3.395,12,-66.385,-35.284,2,548.72,0.0165
2011259,1,12.582,12,-66.498,-35.303,2,545.3,-0.0513
2011260,1,9.633,12,-66.584,-35.274,2,543.42,-0.0477
2011261,1,7.85,12,-66.651,-35.332,2,539.2,-0.0815
2011262,1,4.299,12,-66.626,-35.258,2,537.28,-0.0816
2011263,1,15.824,12,-66.697,-35.569,2,532.19,-0.0657
2011264,1,9.421,12,-66.626,-35.685,1,527.07,-0.034
2011265,1,4.372,12,-66.601,-35.763,1,523.39,-0.042
2011266,1,34.955,12,-66.72,-35.026,1,519.55,0.0346
2011267,1,2.507,12,-66.73,-35.077,1,516.95,0
2011268,1,23.916,12,-66.772,-34.542,1,513.08,0
2011269,1,11.361,12,-66.805,-34.296,1,509.78,0
2011270,1,19.757,12,-66.806,-33.844,2,492.84,0
2011271,1,3.545,12,-66.78,-33.892,2,483.65,0
2011272,1,12.798,12,-66.731,-33.628,2,474.41,0
2011273,1,10.171,12,-66.649,-33.73,2,464.52,-0.0099
2011274,1,5.464,12,-66.614,-33.642,2,453.92,0.0066
2011275,1,26.868,12,-66.557,-34.233,2,434.68,0.0184
2011276,1,28.601,12,-66.389,-34.725,2,415.14,0.0255
2011277,1,18.839,12,-66.247,-34.956,2,404.36,0.0279
2011278,1,20.138,12,-66.094,-35.195,2,388.14,0.0255
2011279,1,15.281,12,-66.016,-35.475,2,372.46,0.0184
2011280,1,16.165,12,-65.879,-35.354,2,362,0.0066
2011281,1,2.281,12,-65.863,-35.384,2,346.82,-0.0099
2011282,1,10.423,12,-65.866,-35.154,2,336.26,0
2011283,1,13.034,12,-65.748,-35.158,2,325.49,0
2011284,1,20.625,12,-65.758,-34.706,1,315.22,0
2011285,1,16.115,12,-65.624,-34.57,1,303.26,0
2011286,1,24.118,12,-65.435,-34.314,2,294.35,0
2011287,1,0.305,12,-65.437,-34.318,1,282.84,0
2011288,1,6.55,12,-65.404,-34.435,1,271.17,0
2011289,1,15.268,12,-65.326,-34.706,1,262.84,0
2011290,1,21.126,12,-65.296,-34.256,1,256.14,0
2011291,1,1.64,12,-65.31,-34.253,1,242.8,0
2011292,1,9.717,12,-65.251,-34.1,1,226.94,0
2011293,1,19.228,12,-65.306,-33.707,1,216.05,0
2011294,1,5.484,12,-65.257,-33.715,1,217.32,0
2011295,1,7.628,12,-65.244,-33.553,1,215.91,0
2011296,1,11.089,12,-65.146,-33.511,1,228.71,0
2011297,1,16.203,12,-65.123,-33.168,1,245.21,0
2011298,1,2.517,12,-65.104,-33.194,1,265.66,0
2011299,1,7.633,12,-65.064,-33.327,1,274.17,0
2011300,1,8.429,12,-65.022,-33.178,1,286.09,0
2011301,1,7.825,12,-64.971,-33.294,1,327.46,0
2011302,1,4.258,12,-64.946,-33.227,1,362.98,0
2011303,1,11.978,12,-65.008,-33.435,1,400.93,0
2011304,1,8.887,12,-65.021,-33.622,1,450.38,0
2011305,1,23.415,12,-64.836,-33.859,1,480.97,0
2011306,1,15.721,12,-64.718,-33.673,1,534.88,0
2011307,1,12.731,12,-64.642,-33.473,1,575.16,0
2011308,1,9.83,12,-64.607,-33.283,1,613.49,0
2011309,1,8.927,12,-64.665,-33.152,1,670.52,0
2011310,1,8.494,12,-64.642,-32.982,1,721.7,0
2011311,1,7.566,12,-64.591,-32.877,1,780.93,0
2011312,1,13.942,12,-64.529,-32.622,1,843.67,0
2011313,1,1.423,12,-64.518,-32.607,1,907.14,0
2011314,1,7.094,12,-64.46,-32.547,1,969.14,0
2011315,1,4.218,12,-64.443,-32.468,1,1039.17,0
2011316,1,6.418,12,-64.408,-32.362,1,1115.33,0
2011317,1,3.421,12,-64.398,-32.295,1,1233.24,0
2011318,1,9.568,12,-64.376,-32.102,1,1350.04,0
2011319,1,3.089,12,-64.348,-32.09,1,1454.12,0
2011320,1,6.04,12,-64.302,-32.023,1,1578.44,0
2011321,1,17.939,12,-64.323,-31.653,1,1686.27,0
2011322,1,7.804,12,-64.254,-31.689,1,1789.85,0
2011323,1,8.642,12,-64.25,-31.868,1,1849.44,0
2011324,1,11.058,12,-64.348,-31.903,1,1917.19,0
2011325,1,1.121,12,-64.345,-31.924,1,1993.19,0
2011326,1,1.939,12,-64.33,-31.903,1,2039.53,0
2011327,1,10.598,12,-64.242,-31.99,1,2085.43,0
2011328,1,14.799,12,-64.172,-31.73,1,2135.89,0
