date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2015365,0,0,4,-69.833,-60.367,0,0,0
2016001,1,0,4,-69.833,-60.367,0,0,0
2016002,1,0,4,-69.833,-60.367,0,0,0
2016003,1,0,4,-69.833,-60.367,0,0,0
2016004,1,0,4,-69.833,-60.367,0,0,0
2016005,1,0,4,-69.833,-60.367,0,0,0
2016006,1,10.39,4,-69.745,-60.455,0,0,0
2016007,1,0,4,-69.745,-60.455,0,0,0
2016008,1,0,4,-69.745,-60.455,0,0,0
2016009,1,0,4,-69.745,-60.455,0,0,0
2016010,1,0,4,-69.745,-60.455,0,0,0
2016011,1,0,4,-69.745,-60.455,0,0,0
2016012,1,0,4,-69.745,-60.455,0,0,0
2016013,1,4.133,5,-69.738,-60.349,0,0,0
2016014,1,4.137,4,-69.731,-60.244,0,0,0
2016015,1,0,4,-69.731,-60.244,0,0,0
2016016,1,0,4,-69.731,-60.244,0,0,0
2016017,1,0,4,-69.731,-60.244,0,0,0
2016018,1,0,5,-69.731,-60.244,0,0,0
2016019,1,0,4,-69.731,-60.244,0,0,0
2016020,1,0,4,-69.731,-60.244,0,0,0
2016021,1,0,4,-69.731,-60.244,0,0,0
2016022,1,0,4,-69.731,-60.244,0,0,0
2016023,1,0,4,-69.731,-60.244,0,0,0
2016024,1,8.917,4,-69.812,-60.251,0,0,0
2016025,1,6.883,4,-69.873,-60.215,0,0,0
2016026,1,9.969,4,-69.955,-60.11,0,0,0
2016027,1,9.001,4,-70.036,-60.11,0,0,0
2016028,1,9.166,4,-69.969,-60.254,0,0,0
2016029,1,0,4,-69.969,-60.254,0,0,0
2016030,1,0,4,-69.969,-60.254,0,0,0
2016031,1,0,5,-69.969,-60.254,0,0,0
2016032,1,0,4,-69.969,-60.254,0,0,0
2016033,1,0,4,-69.969,-60.254,0,0,0
2016034,1,0,4,-69.969,-60.254,0,0,0
2016035,1,0,4,-69.969,-60.254,0,0,0
2016036,1,0,4,-69.969,-60.254,0,0,0
2016037,1,0,4,-69.969,-60.254,0,0,0
2016038,1,0,4,-69.969,-60.254,0,0,0
2016039,1,0,5,-69.969,-60.254,0,0,0
2016040,1,0,4,-69.969,-60.254,0,0,0
2016041,1,0,4,-69.969,-60.254,0,0,0
2016042,1,11.852,4,-69.863,-60.294,0,0,0
2016043,1,0,4,-69.863,-60.294,0,0,0
2016044,1,0,4,-69.863,-60.294,0,0,0
2016045,1,0,4,-69.863,-60.294,0,0,0
2016046,1,7.854,4,-69.933,-60.253,0,0,0
2016047,1,0,4,-69.933,-60.253,0,0,0
2016048,1,5.92,4,-69.986,-60.26,0,0,0
2016049,1,0,4,-69.986,-60.26,0,0,0
2016050,1,0,4,-69.986,-60.26,0,0,0
2016051,1,0,4,-69.986,-60.26,0,0,0
2016052,1,0,4,-69.986,-60.26,0,0,0
2016053,1,0,4,-69.986,-60.26,0,0,0
2016054,1,7.66,4,-69.918,-60.235,0,0,0
2016055,1,0,4,-69.918,-60.235,0,0,0
2016056,1,0,4,-69.918,-60.235,0,0,0
