date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2016098,0,0,4,-75.156,163.64,0,0,0
2016099,1,8.488,4,-75.09,163.791,0,0,0
2016100,1,10.669,4,-75.011,164.004,0,0,0
2016101,1,12.087,4,-74.939,164.321,0,0,0
2016102,1,11.972,4,-74.97,164.719,0,0,0
2016103,1,9.358,4,-74.912,164.955,0,0,0
2016104,1,0,4,-74.912,164.955,0,0,0
2016105,1,3.065,5,-74.888,165.008,0,0,0
2016106,1,6.278,4,-74.839,165.114,0,0,0
2016107,1,9.218,4,-74.766,165.264,0,0,0
2016108,1,0,4,-74.766,165.264,0,0,0
2016109,1,0,4,-74.766,165.264,0,0,0
2016110,1,0,4,-74.766,165.264,0,0,0
2016111,1,0,4,-74.766,165.264,0,0,0
2016112,1,4.015,4,-74.755,165.395,0,0,0
2016113,1,0,4,-74.755,165.395,0,0,0
2016114,1,0,4,-74.755,165.395,0,0,0
2016115,1,0,4,-74.755,165.395,0,0,0
2016116,1,1.601,5,-74.76,165.447,0,0,0
2016117,1,2.136,4,-74.764,165.518,0,0,0
2016118,1,3.427,4,-74.734,165.548,0,0,0
2016119,1,0,4,-74.734,165.548,0,0,0
2016120,1,8.789,4,-74.674,165.742,0,0,0
2016121,1,3.043,4,-74.699,165.785,0,0,0
2016122,1,0,4,-74.699,165.785,0,0,0
2016123,1,2.47,5,-74.677,165.772,0,0,0
2016124,1,2.482,4,-74.655,165.76,0,0,0
2016125,1,4.663,4,-74.675,165.898,0,0,0
2016126,1,3.951,4,-74.648,165.811,0,0,0
2016127,1,3.429,4,-74.634,165.914,0,0,0
2016128,1,1.664,4,-74.628,165.965,0,0,0
2016129,1,2.808,4,-74.623,166.059,0,0,0
2016130,1,2.612,5,-74.602,166.1,0,0,0
2016131,1,2.018,4,-74.585,166.117,0,0,0
2016132,1,0,4,-74.585,166.117,0,0,0
2016133,1,0,4,-74.585,166.117,0,0,0
2016134,1,0,5,-74.585,166.117,0,0,0
2016135,1,0,5,-74.585,166.117,0,0,0
2016136,1,0,5,-74.585,166.117,0,0,0
2016137,1,0,4,-74.585,166.117,0,0,0
2016138,1,0,4,-74.585,166.117,0,0,0
2016139,1,0,4,-74.585,166.117,0,0,0
2016140,1,0,4,-74.585,166.117,0,0,0
2016141,1,0,4,-74.585,166.117,0,0,0
2016142,1,0,4,-74.585,166.117,0,0,0
2016143,1,0,4,-74.585,166.117,0,0,0
2016144,1,0,5,-74.585,166.117,0,0,0
2016145,1,0,4,-74.585,166.117,0,0,0
2016146,1,6.808,4,-74.544,166.289,0,0,0
2016147,1,6.331,4,-74.514,166.472,0,0,0
2016148,1,0.656,4,-74.513,166.45,0,0,0
2016149,1,0,4,-74.513,166.45,0,0,0
2016150,1,0,4,-74.513,166.45,0,0,0
2016151,1,0,4,-74.513,166.45,0,0,0
2016152,1,0,4,-74.513,166.45,0,0,0
2016153,1,0,4,-74.513,166.45,0,0,0
2016154,1,0,4,-74.513,166.45,0,0,0
2016155,1,4.468,5,-74.502,166.594,0,0,0
2016156,1,4.474,4,-74.49,166.738,0,0,0
2016157,1,0,4,-74.49,166.738,0,0,0
2016158,1,7.762,4,-74.438,166.915,0,0,0
2016159,1,4.059,4,-74.457,167.031,0,0,0
2016160,1,10.274,4,-74.369,167.128,0,0,0
2016161,1,9.347,4,-74.31,167.353,0,0,0
2016162,1,0,5,-74.31,167.353,0,0,0
2016163,1,0,4,-74.31,167.353,0,0,0
2016164,1,0,4,-74.31,167.353,0,0,0
2016165,1,0,4,-74.31,167.353,0,0,0
2016182,17,12.67,4,-74.236,167.674,0,0,0
2016183,1,0,4,-74.236,167.674,0,0,0
2016184,1,0,4,-74.236,167.674,0,0,0
2016185,1,0,5,-74.236,167.674,0,0,0
2016186,1,0,4,-74.236,167.674,0,0,0
2016187,1,0,5,-74.236,167.674,0,0,0
2016188,1,0,4,-74.236,167.674,0,0,0
2016189,1,0,4,-74.236,167.674,0,0,0
2016190,1,0,4,-74.236,167.674,0,0,0
2016191,1,0,4,-74.236,167.674,0,0,0
2016192,1,0,4,-74.236,167.674,0,0,0
2016193,1,0,4,-74.236,167.674,0,0,0
2016194,1,3.521,5,-74.233,167.791,0,0,0
2016195,1,3.523,4,-74.23,167.907,0,0,0
2016196,1,1.321,4,-74.239,167.877,0,0,0
2016197,1,2.281,4,-74.259,167.862,0,0,0
2016198,1,1.136,4,-74.269,167.854,0,0,0
2016199,1,1.067,4,-74.279,167.846,0,0,0
2016200,1,0.568,5,-74.274,167.85,0,0,0
2016201,1,0.579,4,-74.269,167.854,0,0,0
2016202,1,0,4,-74.269,167.854,0,0,0
2016203,1,0,4,-74.269,167.854,0,0,0
2016204,1,0,4,-74.269,167.854,0,0,0
2016205,1,0,4,-74.269,167.854,0,0,0
2016206,1,0,4,-74.269,167.854,0,0,0
2016207,1,0,4,-74.269,167.854,0,0,0
2016208,1,1.785,5,-74.255,167.883,0,0,0
2016209,1,1.795,4,-74.24,167.913,0,0,0
2016210,1,2.457,4,-74.247,167.835,0,0,0
2016211,1,0.998,5,-74.241,167.811,0,0,0
2016212,1,0.743,4,-74.235,167.802,0,0,0
2016213,1,5.34,4,-74.245,167.975,0,0,0
2016214,1,0.964,5,-74.243,167.943,0,0,0
2016215,1,0.97,4,-74.241,167.912,0,0,0
2016216,1,0,4,-74.241,167.912,0,0,0
2016217,1,0,4,-74.241,167.912,0,0,0
2016218,1,0,4,-74.241,167.912,0,0,0
2016219,1,0,4,-74.241,167.912,0,0,0
2016220,1,1.565,4,-74.253,167.939,0,0,0
2016221,1,3.514,5,-74.226,167.999,0,0,0
2016222,1,4.065,4,-74.199,168.09,0,0,0
2016223,1,5.055,4,-74.228,168.219,0,0,0
2016224,1,4.551,4,-74.253,168.098,0,0,0
2016225,1,2.206,4,-74.272,168.076,0,0,0
2016226,1,4.685,4,-74.247,168.204,0,0,0
2016227,1,4.473,4,-74.256,168.349,0,0,0
2016228,1,1.315,5,-74.254,168.306,0,0,0
2016229,1,2.757,4,-74.248,168.217,0,0,0
2016230,1,8.807,4,-74.178,168.084,0,0,0
2016231,1,3.483,5,-74.166,168.191,0,0,0
2016232,1,4.563,4,-74.162,168.341,0,0,0
2016233,1,2.636,4,-74.177,168.408,0,0,0
2016234,1,4.205,4,-74.179,168.27,0,0,0
2016235,1,0.561,5,-74.175,168.28,0,0,0
2016236,1,0.899,4,-74.171,168.305,0,0,0
2016237,1,2.136,4,-74.175,168.374,0,0,0
2016238,1,2.261,5,-74.184,168.441,0,0,0
2016239,1,1.335,4,-74.191,168.477,0,0,0
2016240,1,2.522,4,-74.169,168.458,0,0,0
2016241,1,4.474,4,-74.129,168.487,0,0,0
2016242,1,3.5,4,-74.16,168.464,0,0,0
2016243,1,3.286,5,-74.132,168.499,0,0,0
2016244,1,4.032,4,-74.103,168.578,0,0,0
2016245,1,4.596,4,-74.102,168.729,0,0,0
2016246,1,0.15,5,-74.102,168.734,0,0,0
2016247,1,0.07,4,-74.103,168.735,0,0,0
2016248,1,2.515,4,-74.081,168.716,0,0,0
2016249,1,0.865,4,-74.082,168.744,0,0,0
2016250,1,4.837,5,-74.045,168.826,0,0,0
2016251,1,6.349,4,-73.999,168.952,0,0,0
2016252,1,4.948,4,-73.988,169.109,0,0,0
2016253,1,7.738,4,-74.019,168.881,0,0,0
2016254,1,6.044,4,-73.996,169.061,0,0,0
2016255,1,1.778,5,-73.986,169.016,0,0,0
2016256,1,1.452,4,-73.982,168.972,0,0,0
2016257,1,0,4,-73.982,168.972,0,0,0
2016258,1,2.849,5,-74.007,168.954,0,0,0
2016259,1,2.839,4,-74.032,168.936,0,0,0
2016260,1,5.634,4,-73.997,169.068,0,0,0
2016261,1,2.193,4,-73.977,169.081,0,0,0
2016262,1,3.413,4,-73.947,169.102,0,0,0
2016263,1,1.401,5,-73.935,169.088,0,0,0
2016264,1,1.209,5,-73.927,169.062,0,0,0
2016265,1,0.549,4,-73.924,169.048,0,0,0
2016266,1,6.079,4,-73.978,169.081,0,0,0
2016267,1,2.583,4,-73.959,169.129,0,0,0
2016268,1,6.326,4,-73.927,169.3,0,0,0
2016269,1,2.201,4,-73.914,169.244,0,0,0
2016270,1,4.472,4,-73.907,169.102,0,0,0
2016271,1,6.307,4,-73.927,169.293,0,0,0
2016272,1,9.234,4,-73.864,169.49,0,0,0
2016273,1,2.363,4,-73.843,169.475,0,0,0
2016274,1,2.204,4,-73.837,169.543,0,0,0
2016275,1,4.469,4,-73.845,169.685,0,0,0
2016276,1,4.406,5,-73.805,169.687,0,0,0
2016277,1,7.136,4,-73.741,169.69,0,0,0
2016278,1,5.515,4,-73.694,169.748,0,0,0
2016279,1,4.836,5,-73.663,169.857,0,0,0
2016280,1,4.268,4,-73.631,169.934,0,0,0
2016281,1,5.594,4,-73.58,169.937,0,0,0
2016282,1,5.603,4,-73.53,169.962,0,0,0
2016283,1,2.648,5,-73.544,170.031,0,0,0
2016284,1,2.23,4,-73.558,170.083,0,0,0
2016285,1,3.517,4,-73.526,170.074,0,0,0
2016286,1,2.023,5,-73.527,170.01,0,0,0
2016288,2,6.808,4,-73.533,169.795,0,0,0
2016289,1,1.862,4,-73.541,169.742,0,0,0
2016290,1,4.833,4,-73.527,169.888,0,0,0
2016292,2,3.759,4,-73.502,169.808,0,0,0
2016293,1,4.627,4,-73.506,169.661,0,0,0
2016295,2,5.352,4,-73.482,169.808,0,0,0
2016296,1,7.014,4,-73.545,169.809,0,0,0
2016297,1,2.38,4,-73.551,169.736,0,0,0
2016298,1,2.357,4,-73.53,169.749,0,0,0
2016299,1,4.466,4,-73.49,169.774,0,0,0
2016301,2,3.062,4,-73.474,169.853,0,0,0
2016302,1,3.405,4,-73.504,169.834,0,0,0
2016303,1,0,4,-73.504,169.834,0,0,0
2016304,1,3.388,4,-73.489,169.741,0,0,0
2016306,2,3.919,4,-73.515,169.828,0,0,0
2016307,1,4.601,4,-73.553,169.769,0,0,0
2016308,1,5.869,4,-73.503,169.835,0,0,0
2016309,1,3.829,4,-73.479,169.747,0,0,0
2016310,1,3.119,4,-73.503,169.801,0,0,0
2016311,1,0,4,-73.503,169.801,0,0,0
2016313,2,4.83,4,-73.516,169.655,0,0,0
2016314,1,3.707,4,-73.54,169.736,0,0,0
2016315,1,5.816,4,-73.492,169.808,0,0,0
2016317,2,2.579,4,-73.511,169.761,0,0,0
2016318,1,3.2,4,-73.516,169.861,0,0,0
2016320,2,4.537,4,-73.481,169.787,0,0,0
2016321,1,2.669,4,-73.499,169.734,0,0,0
2016323,2,2.412,4,-73.493,169.807,0,0,0
2016324,1,0,4,-73.493,169.807,0,0,0
2016325,1,2.416,4,-73.486,169.88,0,0,0
2016327,2,1.269,4,-73.488,169.92,0,0,0
2016328,1,5.017,4,-73.525,169.828,0,0,0
2016329,1,6.214,4,-73.47,169.787,0,0,0
2016330,1,4.744,4,-73.513,169.794,0,0,0
2016331,1,2.198,4,-73.532,169.782,0,0,0
2016332,1,4.026,4,-73.505,169.868,0,0,0
2016333,1,1.07,4,-73.496,169.88,0,0,0
2016334,1,1.56,4,-73.485,169.853,0,0,0
2016336,2,4.089,4,-73.499,169.734,0,0,0
2016337,1,4.262,4,-73.506,169.867,0,0,0
2016338,1,2.992,4,-73.501,169.774,0,0,0
2016339,1,0.862,4,-73.503,169.801,0,0,0
2016341,2,3.113,4,-73.52,169.721,0,0,0
2016342,1,3.503,4,-73.551,169.736,0,0,0
2016343,1,4.634,4,-73.51,169.762,0,0,0
2016345,2,0,4,-73.51,169.762,0,0,0
2016346,1,0,4,-73.51,169.762,0,0,0
2016347,1,0,4,-73.51,169.762,0,0,0
2016348,1,4.559,4,-73.508,169.907,0,0,0
2016349,1,0,4,-73.508,169.907,0,0,0
2016350,1,0,4,-73.508,169.907,0,0,0
2016351,1,0,4,-73.508,169.907,0,0,0
2016352,1,0,4,-73.508,169.907,0,0,0
2016353,1,0,4,-73.508,169.907,0,0,0
2016354,1,1.24,4,-73.511,169.868,0,0,0
2016355,1,0,4,-73.511,169.868,0,0,0
2016356,1,0,4,-73.511,169.868,0,0,0
2016357,1,0,4,-73.511,169.868,0,0,0
2016358,1,0,4,-73.511,169.868,0,0,0
2016359,1,0,4,-73.511,169.868,0,0,0
2016360,1,0,4,-73.511,169.868,0,0,0
2016361,1,0,4,-73.511,169.868,0,0,0
2016362,1,0,4,-73.511,169.868,0,0,0
2016363,1,0,4,-73.511,169.868,0,0,0
2016364,1,0,4,-73.511,169.868,0,0,0
2016365,1,0,4,-73.511,169.868,0,0,0
2016366,1,0,4,-73.511,169.868,0,0,0
2017001,1,0,4,-73.511,169.868,0,0,0
2017002,1,0,4,-73.511,169.868,0,0,0
2017004,2,0,4,-73.511,169.868,0,0,0
2017005,1,0,4,-73.511,169.868,0,0,0
2017007,2,0,4,-73.511,169.868,0,0,0
2017008,1,0,4,-73.511,169.868,0,0,0
2017009,1,0,4,-73.511,169.868,0,0,0
2017011,2,0,4,-73.511,169.868,0,0,0
2017012,1,0,4,-73.511,169.868,0,0,0
2017013,1,0,4,-73.511,169.868,0,0,0
2017014,1,45.128,4,-73.538,168.438,0,0,0
2017015,1,0,4,-73.538,168.438,0,0,0
2017016,1,0,4,-73.538,168.438,0,0,0
2017017,1,0,4,-73.538,168.438,0,0,0
2017018,1,0,4,-73.538,168.438,0,0,0
2017020,2,9.121,4,-73.563,168.714,0,0,0
2017021,1,0,4,-73.563,168.714,0,0,0
2017022,1,0,4,-73.563,168.714,0,0,0
2017023,1,0,4,-73.563,168.714,0,0,0
2017024,1,0,4,-73.563,168.714,0,0,0
2017025,1,0,4,-73.563,168.714,0,0,0
2017026,1,0,4,-73.563,168.714,0,0,0
2017027,1,0,4,-73.563,168.714,0,0,0
2017028,1,24.373,5,-73.558,167.939,0,0,0
2017029,1,24.451,4,-73.542,167.163,0,0,0
2017030,1,318.31,4,-70.678,167.731,0,0,0
2017031,1,8.3,5,-70.606,167.68,0,0,0
2017032,1,7.524,5,-70.553,167.551,0,0,0
2017033,1,7.342,5,-70.518,167.383,0,0,0
2017034,1,6.649,5,-70.496,167.215,0,0,0
2017035,1,4.924,5,-70.486,167.086,0,0,0
2017036,1,1.938,4,-70.483,167.035,0,0,0
2017037,1,0,4,-70.483,167.035,0,0,0
2017038,1,0,4,-70.483,167.035,0,0,0
2017039,1,38.938,4,-70.156,166.653,0,0,0
2017040,1,87.301,4,-69.712,164.762,0,0,0
2017041,1,0,5,-69.712,164.762,0,0,0
2017042,1,0,5,-69.712,164.762,0,0,0
2017043,1,0,4,-69.712,164.762,0,0,0
2017044,1,0,4,-69.712,164.762,0,0,0
2017045,1,31.144,4,-69.676,163.96,0,0,0
2017046,1,11.27,4,-69.67,163.668,0,0,0
2017047,1,20.072,4,-69.725,163.172,0,0,0
2017048,1,0,4,-69.725,163.172,0,0,0
2017049,1,0,4,-69.725,163.172,0,0,0
2017050,1,12.529,4,-69.645,162.943,0,0,0
2017051,1,0,4,-69.645,162.943,0,0,0
2017052,1,22.395,4,-69.556,162.423,0,0,0
2017053,1,3.195,4,-69.584,162.43,0,0,0
2017054,1,0,4,-69.584,162.43,0,0,0
2017055,1,6.677,4,-69.566,162.265,0,0,0
2017056,1,0,4,-69.566,162.265,0,0,0
2017057,1,0,4,-69.566,162.265,0,0,0
2017058,1,0,4,-69.566,162.265,0,0,0
2017059,1,0,4,-69.566,162.265,0,0,0
2017060,1,10.796,4,-69.638,162.079,0,0,0
2017061,1,0,4,-69.638,162.079,0,0,0
2017062,1,0,4,-69.638,162.079,0,0,0
2017063,1,0,4,-69.638,162.079,0,0,0
2017064,1,0,4,-69.638,162.079,0,0,0
2017065,1,0,4,-69.638,162.079,0,0,0
2017066,1,0,5,-69.638,162.079,0,0,0
2017067,1,0,4,-69.638,162.079,0,0,0
2017068,1,0,4,-69.638,162.079,0,0,0
2017069,1,0,4,-69.638,162.079,0,0,0
2017070,1,0,4,-69.638,162.079,0,0,0
2017071,1,0,4,-69.638,162.079,0,0,0
2017072,1,0,4,-69.638,162.079,0,0,0
2017073,1,0,4,-69.638,162.079,0,0,0
2017074,1,0,4,-69.638,162.079,0,0,0
