date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2020115,0,0,6,-60.413,-51.07,0,1126.95,0
2020116,1,8.272,7,-60.356,-50.973,0,1170.37,0
2020117,1,10.796,7,-60.286,-50.837,1,1213.78,0
2020118,1,0.2,7,-60.285,-50.839,1,1257.19,0
2020119,1,1.989,7,-60.272,-50.814,1,1300.6,0
2020120,1,1.547,7,-60.262,-50.796,1,1344.01,0
2020121,1,4.917,7,-60.232,-50.73,1,1387.42,0
2020122,1,2.898,7,-60.247,-50.773,1,1430.83,0
2020123,1,3.373,7,-60.264,-50.823,1,1474.25,0
2020124,1,0.402,7,-60.26,-50.824,1,1517.66,0
2020125,1,0.686,7,-60.255,-50.829,1,1561.07,0
2020126,1,1.828,7,-60.248,-50.86,1,1604.48,0
2020127,1,2.928,7,-60.241,-50.911,1,1647.89,0
2020128,1,3.365,7,-60.231,-50.969,2,1706.18,0
2020129,1,3.144,6,-60.221,-51.022,2,1768.98,0
2020130,1,3.12,7,-60.206,-51.07,2,1837.77,0
2020131,1,3.819,7,-60.185,-51.124,1,1971.99,0
2020132,1,4.571,7,-60.158,-51.188,1,2097.04,0
2020133,1,5.381,7,-60.128,-51.263,1,2180.36,0
2020134,1,8.277,7,-60.093,-51.396,1,2265.75,0
2020135,1,5.116,7,-60.047,-51.391,1,2356.28,0
2020136,1,7.161,7,-59.991,-51.327,1,2447.65,0
2020137,1,9.899,7,-59.919,-51.223,1,2543.25,0
2020138,1,12.073,7,-59.829,-51.102,1,2641.02,0
2020139,1,14.244,7,-59.717,-50.977,1,2742.58,0
2020140,1,18.499,7,-59.569,-50.824,1,2846.28,0
2020141,1,14.954,7,-59.462,-50.664,1,2966.05,0
2020142,1,9.056,7,-59.435,-50.512,1,3092.28,0
2020143,1,8.007,7,-59.436,-50.37,1,3204.2,0
2020144,1,8.857,7,-59.46,-50.22,1,3322.23,0
2020145,1,10.417,7,-59.495,-50.049,1,3454.11,0
2020146,1,11.211,7,-59.538,-49.869,1,3589.48,0
2020147,1,11.2,7,-59.582,-49.689,1,3699.21,0
2020148,1,10.827,7,-59.632,-49.524,1,3805.57,0
2020149,1,11.366,7,-59.639,-49.322,1,3936.06,0
2020150,1,1.836,7,-59.627,-49.299,1,4035.52,0
2020151,1,4.176,7,-59.59,-49.315,1,4124.4,0
2020152,1,6.5,7,-59.534,-49.344,1,4204.56,0
2020153,1,7.952,7,-59.465,-49.383,1,4277.95,0
2020154,1,8.539,7,-59.391,-49.425,1,4341.46,0
2020155,1,8.233,7,-59.32,-49.466,1,4396.46,0
2020156,1,7.066,7,-59.258,-49.498,1,4379.55,0
2020157,1,5.017,7,-59.214,-49.518,1,4366.15,0
