date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2021029,0,0,6,-56.28,-35.5,2,3227.74,0
2021030,1,6.617,7,-56.225,-35.46,1,3228.68,0
2021031,1,4.365,7,-56.216,-35.529,1,3229.61,0
2021032,1,4.229,7,-56.243,-35.481,1,3230.54,0
2021033,1,7.991,7,-56.18,-35.419,1,3231.47,0
2021034,1,12.946,7,-56.071,-35.346,1,3232.4,0.0701
2021035,1,14.946,7,-55.942,-35.278,2,3233.33,0.0113
2021036,1,13.913,7,-55.819,-35.228,2,3234.26,-0.1689
2021037,1,12.819,7,-55.704,-35.213,2,3237.64,-0.2881
2021038,1,14.604,7,-55.574,-35.24,2,3241.98,-0.394
2021039,1,16.443,7,-55.429,-35.189,2,3244.51,-0.3008
2021040,1,30.291,7,-55.161,-35.098,1,3253.58,-0.1981
2021041,1,82.92,3,-54.436,-35.408,1,3262.98,-0.052
2021042,1,34.33,3,-54.128,-35.45,1,3273.3,0.1231
2021043,1,27.657,3,-53.88,-35.49,2,3285.17,0.16
2021044,1,24.274,3,-53.663,-35.535,2,3295.98,0.0877
2021045,1,25.278,3,-53.438,-35.591,2,3308.92,0.049
2021046,1,24.562,3,-53.22,-35.652,2,3327.33,-0.0142
2021047,1,22.124,3,-53.024,-35.711,2,3363.07,0.0482
2021048,1,17.949,3,-52.865,-35.762,2,3396.62,0.027
2021049,1,12.051,3,-52.759,-35.797,2,3428.47,0.0097
2021050,1,6.949,6,-52.698,-35.82,2,3467.88,-0.0145
2021051,1,8.523,7,-52.668,-35.703,2,3507.94,-0.1095
2021052,1,5.888,3,-52.721,-35.689,2,3547.99,-0.0279
2021053,1,9.455,3,-52.722,-35.548,2,3588.05,0.2326
2021054,1,12.357,3,-52.726,-35.365,2,3628.1,0.5266
2021055,1,14.758,3,-52.731,-35.145,2,3668.16,0.7534
2021056,1,16.664,3,-52.739,-34.898,2,3708.22,0.8243
2021057,1,18.057,3,-52.75,-34.63,2,3748.27,0.6506
