date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2021030,0,0,6,-57.072,-35.16,2,6301.78,0.1186
2021031,1,12.944,6,-57.188,-35.153,1,6145.7,-0.013
2021032,1,11.539,6,-57.292,-35.153,1,5989.63,-0.1002
2021033,1,3.278,7,-57.287,-35.1,1,5833.56,-0.1484
2021034,1,8.677,7,-57.271,-34.958,1,5677.48,-0.1628
2021035,1,12.334,7,-57.246,-34.758,2,5521.41,-0.1787
2021036,1,14.27,7,-57.214,-34.528,2,5365.33,-0.1562
2021037,1,16.943,7,-57.144,-34.278,2,5209.26,0.0889
2021038,1,20.593,7,-57.019,-34.025,2,5053.19,-0.0241
2021039,1,21.932,7,-56.86,-33.811,1,4897.11,-0.0096
2021040,1,25.745,7,-56.646,-33.65,1,4741.04,0.0037
2021041,1,14.582,7,-56.515,-33.624,1,4655.86,0.0205
2021042,1,11.845,7,-56.409,-33.645,1,4532.07,0.003
2021043,1,8.601,7,-56.346,-33.727,1,4432.34,-0.0045
2021044,1,11.21,7,-56.314,-33.899,1,4313.68,0
2021045,1,16.522,7,-56.286,-34.163,2,4202.62,0
2021046,1,19.556,7,-56.26,-34.476,2,4088.58,0
2021047,1,20.182,7,-56.235,-34.8,2,3982.11,0
2021048,1,18.371,7,-56.21,-35.094,2,3890.43,0
2021049,1,14.172,7,-56.181,-35.318,2,3756.08,0
2021050,1,7.887,7,-56.147,-35.43,2,3630.12,0
2021051,1,4.509,7,-56.107,-35.434,2,3576.64,0
2021052,1,8.623,7,-56.056,-35.328,2,3454.94,0
2021053,1,12.884,7,-55.978,-35.175,2,3408.35,0
2021054,1,11.241,7,-55.917,-35.031,2,3425.99,0
2021055,1,10.517,7,-55.862,-34.893,2,3461.71,0
2021056,1,10.331,7,-55.803,-34.766,2,3527.7,0
2021057,1,10.867,6,-55.729,-34.651,1,3587.47,0
2021058,1,17.71,7,-55.583,-34.538,1,3674.81,0
2021059,1,15.471,7,-55.446,-34.495,1,3679.31,0
2021060,1,16.01,7,-55.302,-34.469,1,3693.68,0
2021061,1,16.444,7,-55.154,-34.462,1,3709.59,0
2021062,1,16.798,7,-55.003,-34.475,1,3724.94,0
2021063,1,17.069,7,-54.851,-34.51,1,3781.38,-0.0614
2021064,1,17.283,7,-54.699,-34.567,1,3837.83,0.0409
2021065,1,17.936,7,-54.547,-34.662,1,3894.28,0.114
2021066,1,19.143,7,-54.396,-34.804,1,3950.72,0.1579
2021067,1,20.264,7,-54.247,-34.986,1,4007.17,0.1974
2021068,1,21.125,7,-54.104,-35.198,1,4063.62,0.1413
2021069,1,21.641,7,-53.967,-35.435,1,4120.06,0.0292
2021070,1,21.723,7,-53.839,-35.686,1,4176.51,-0.0715
2021071,1,21.347,6,-53.722,-35.944,0,4232.96,-0.1205
2021072,1,3.751,5,-53.724,-36.001,0,4289.4,-0.0773
