date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2021043,0,0,6,-56.19,-35.55,1,4881.93,-0.0458
2021044,1,8.852,7,-56.155,-35.679,1,4881.93,0.0523
2021045,1,7,7,-56.123,-35.776,1,4881.93,0.0523
2021046,1,5.426,7,-56.094,-35.846,1,4881.93,0
2021047,1,4.111,7,-56.068,-35.893,2,4881.93,-0.0589
2021048,1,3.086,7,-56.045,-35.922,2,4881.93,0.0393
2021049,1,2.31,7,-56.026,-35.936,2,4881.93,0.0757
2021050,1,1.754,6,-56.01,-35.94,2,4881.93,0.2166
2021051,1,4.319,7,-55.997,-35.875,2,4881.93,0.1995
2021052,1,8.059,7,-55.979,-35.749,2,4881.93,0.1586
2021053,1,11.26,7,-55.955,-35.573,2,4881.93,0.0941
2021054,1,14.115,7,-55.925,-35.352,2,4881.93,-0.0553
2021055,1,16.624,7,-55.889,-35.093,2,4881.93,-0.1508
2021056,1,18.791,7,-55.847,-34.801,2,4881.93,-0.1285
2021057,1,20.609,6,-55.8,-34.482,2,4881.93,0.0756
