date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2021043,0,0,6,-56.26,-33.67,1,1819.68,0
2021044,1,17.218,7,-56.251,-33.949,1,1819.68,0
2021045,1,19.462,7,-56.236,-34.263,2,1819.68,0
2021046,1,21.31,7,-56.216,-34.606,2,1819.68,0
2021047,1,20.78,7,-56.192,-34.94,2,1819.68,0
2021048,1,17.887,7,-56.166,-35.225,2,1819.68,0
2021049,1,12.644,7,-56.142,-35.425,2,1819.68,0
2021050,1,5.238,6,-56.12,-35.5,2,1819.68,0
2021051,1,3.497,7,-56.098,-35.459,2,1819.68,0
2021052,1,9.455,7,-56.031,-35.365,2,1819.68,0
2021053,1,7.861,3,-55.974,-35.44,2,1819.68,0
2021054,1,8.905,3,-55.905,-35.366,2,1819.68,0
2021055,1,11.208,3,-55.829,-35.249,2,1819.68,0
2021056,1,14.104,3,-55.747,-35.077,2,1819.68,0
2021057,1,17.664,3,-55.66,-34.84,2,1819.68,0
