date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2021147,0,0,6,-75.1,-59.43,0,1647.04,-0.0152
2021148,1,0,6,-75.1,-59.43,0,1647.17,-0.0336
2021149,1,0.18,7,-75.101,-59.425,0,1647.3,-0.0272
2021150,1,0.482,7,-75.104,-59.413,0,1647.43,-0.0048
2021151,1,0.699,7,-75.108,-59.393,0,1647.57,0.025
2021152,1,0.835,7,-75.112,-59.369,0,1647.7,0.0559
2021153,1,0.888,7,-75.116,-59.342,0,1647.83,0.07
2021154,1,0.876,7,-75.119,-59.313,0,1647.96,0.0572
2021155,1,3.129,7,-75.13,-59.212,0,1648.09,0.0114
2021156,1,3.293,7,-75.14,-59.103,0,1648.22,0.0327
2021157,1,1.428,7,-75.139,-59.053,0,1648.35,0.0075
2021158,1,1.612,7,-75.138,-58.997,0,1648.48,0.0001
2021159,1,1.603,7,-75.136,-58.941,0,1648.61,-0.0061
2021160,1,1.709,7,-75.125,-58.899,0,1648.71,0
2021161,1,1.505,7,-75.121,-58.849,0,1648.8,0
2021162,1,1.277,7,-75.117,-58.806,0,1648.89,0
2021163,1,0.525,7,-75.113,-58.798,0,1648.98,0
2021164,1,0.929,7,-75.107,-58.82,0,1649.07,0
2021165,1,1.162,7,-75.097,-58.834,0,1649.16,0
2021166,1,1.53,7,-75.083,-58.838,0,1649.25,0
2021167,1,1.866,7,-75.067,-58.853,0,1649.34,0
2021168,1,3.725,7,-75.039,-58.923,0,1649.43,0
2021169,1,0.749,7,-75.032,-58.932,0,1649.52,0
2021170,1,0.557,7,-75.027,-58.93,0,1649.62,0
2021171,1,0.504,7,-75.023,-58.926,0,1649.71,0
2021172,1,0.48,7,-75.019,-58.92,0,1649.8,0
2021173,1,2.984,7,-74.993,-58.895,0,1649.91,0
2021174,1,0.464,7,-74.989,-58.889,1,1650.03,0
2021175,1,0.477,7,-74.985,-58.885,1,1650.05,0
2021176,1,1.411,7,-74.972,-58.878,1,1649.97,0
2021177,1,2.223,7,-74.952,-58.869,1,1649.88,0
2021178,1,1.491,7,-74.939,-58.865,1,1649.63,0
2021179,1,0.629,7,-74.933,-58.867,1,1649.37,0
2021180,1,0.653,7,-74.927,-58.87,1,1648.93,0
2021181,1,3.939,7,-74.894,-58.822,1,1648.51,0
2021182,1,0.677,7,-74.888,-58.825,1,1647.91,0
2021183,1,0.678,6,-74.882,-58.828,1,1647.3,0
2021184,1,0.701,7,-74.876,-58.834,1,1646.35,0
2021185,1,0.745,7,-74.869,-58.843,1,1645.36,0
2021186,1,0.779,7,-74.863,-58.853,1,1644.01,0
2021187,1,1.899,7,-74.847,-58.88,1,1642.62,0
2021188,1,2.827,7,-74.824,-58.918,1,1638.67,0
2021189,1,1.856,7,-74.808,-58.941,1,1634.65,0
2021190,1,0.72,6,-74.802,-58.943,1,1628.4,0
2021191,1,1.032,7,-74.793,-58.943,1,1622.09,0
2021192,1,1.476,7,-74.779,-58.942,1,1613.57,0
2021193,1,1.627,7,-74.765,-58.94,1,1605.02,0
2021194,1,1.488,7,-74.751,-58.938,1,1593.93,0
2021195,1,1.056,7,-74.742,-58.936,1,1582.82,0
2021196,1,0.789,7,-74.735,-58.934,1,1568.98,0
