date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2023132,0,0,6,-54.506,-41.409,0,0,0
2023133,1,22.648,7,-54.662,-41.182,0,0,0
2023134,1,19.602,7,-54.711,-40.889,0,0,0
2023135,1,19.506,7,-54.736,-40.588,0,0,0
2023136,1,27.779,7,-54.815,-40.176,0,0,0
2023137,1,6.953,7,-54.836,-40.074,0,0,0
2023138,1,7.622,7,-54.772,-40.117,0,0,0
2023139,1,17.752,6,-54.781,-39.84,0,0,0
2023140,1,7.407,7,-54.804,-39.731,0,0,0
2023141,1,8.916,7,-54.814,-39.593,0,0,0
2023142,1,12.736,7,-54.809,-39.394,0,0,0
2023143,1,9.804,7,-54.856,-39.264,0,0,0
2023144,1,4.692,7,-54.891,-39.224,0,0,0
2023145,1,18.063,7,-55.053,-39.229,0,0,0
2023146,1,17.409,6,-55.21,-39.22,0,0,0
2023147,1,7.042,7,-55.23,-39.115,0,0,0
2023148,1,10.043,7,-55.247,-38.959,0,0,0
2023149,1,16.141,7,-55.266,-38.706,0,0,0
2023150,1,23.545,7,-55.289,-38.336,0,0,0
2023151,1,27.248,7,-55.318,-37.908,0,0,0
2023152,1,27.271,7,-55.351,-37.48,0,0,0
2023153,1,23.646,7,-55.39,-37.112,0,0,0
2023154,1,17.402,7,-55.436,-36.848,0,0,0
2023155,1,10.329,7,-55.489,-36.713,0,0,0
2023156,1,8.584,7,-55.56,-36.66,0,0,0
2023157,1,7.578,7,-55.526,-36.555,0,0,0
2023158,1,11.618,7,-55.573,-36.39,0,0,0
2023159,1,12.176,7,-55.61,-36.208,0,0,0
2023160,1,37.208,6,-55.74,-35.66,0,0,0
2023161,1,11.689,5,-55.786,-35.492,0,0,0
2023162,1,8.751,5,-55.796,-35.353,0,0,0
2023163,1,7.472,5,-55.807,-35.234,0,0,0
2023164,1,8.073,5,-55.857,-35.141,0,0,0
2023165,1,3.998,5,-55.845,-35.201,0,0,0
2023166,1,5.4,5,-55.834,-35.117,0,0,0
2023167,1,9.823,5,-55.824,-34.96,0,0,0
2023168,1,5.281,5,-55.82,-34.876,0,0,0
2023169,1,0,5,-55.82,-34.876,0,0,0
2023170,1,3.688,5,-55.791,-34.847,0,0,0
