date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2023132,0,0,6,-54.4,-41.68,0,0,0
2023133,1,16.839,7,-54.509,-41.499,0,0,0
2023134,1,21.538,7,-54.638,-41.249,0,0,0
2023135,1,15.07,7,-54.671,-41.021,0,0,0
2023136,1,22.368,7,-54.75,-40.701,0,0,0
2023137,1,29.796,7,-54.854,-40.271,0,0,0
2023138,1,8.409,7,-54.812,-40.162,0,0,0
2023139,1,16.332,6,-54.817,-39.907,0,0,0
2023140,1,12.779,7,-54.796,-39.71,0,0,0
2023141,1,11.159,7,-54.779,-39.539,0,0,0
2023142,1,13.518,7,-54.756,-39.331,0,0,0
2023143,1,3.984,7,-54.757,-39.269,0,0,0
2023144,1,4.094,7,-54.758,-39.205,0,0,0
2023145,1,5.662,7,-54.798,-39.152,0,0,0
2023146,1,6.107,6,-54.84,-39.09,0,0,0
2023147,1,9.042,7,-54.813,-38.957,0,0,0
2023148,1,11.624,7,-54.801,-38.777,0,0,0
2023149,1,13.347,7,-54.849,-38.586,0,0,0
2023150,1,15.396,7,-54.921,-38.379,0,0,0
2023151,1,16.481,7,-55.005,-38.167,0,0,0
2023152,1,16.483,7,-55.093,-37.959,0,0,0
2023153,1,15.348,7,-55.176,-37.764,0,0,0
2023154,1,14.076,7,-55.251,-37.586,0,0,0
2023155,1,13.109,7,-55.322,-37.42,0,0,0
2023156,1,12.587,7,-55.396,-37.269,0,0,0
2023157,1,14.592,7,-55.405,-37.039,0,0,0
2023158,1,9.268,7,-55.457,-36.924,0,0,0
2023159,1,16.172,7,-55.452,-36.667,0,0,0
2023160,1,6.374,6,-55.468,-36.57,0,0,0
2023161,1,8.603,5,-55.48,-36.434,0,0,0
2023162,1,3.194,5,-55.495,-36.391,0,0,0
2023163,1,4.267,5,-55.52,-36.34,0,0,0
2023164,1,12.759,5,-55.553,-36.146,0,0,0
2023165,1,0,5,-55.553,-36.146,0,0,0
2023166,1,0,5,-55.553,-36.146,0,0,0
2023167,1,3.82,5,-55.581,-36.109,0,0,0
2023168,1,3.815,5,-55.609,-36.073,0,0,0
2023169,1,10.889,5,-55.524,-36.16,0,0,0
2023170,1,1.69,5,-55.536,-36.145,0,0,0
2023171,1,1.69,5,-55.549,-36.13,0,0,0
2023172,1,0,5,-55.549,-36.13,0,0,0
2023173,1,6.787,5,-55.585,-36.043,0,0,0
2023174,1,7.552,5,-55.633,-35.957,0,0,0
2023175,1,0,5,-55.633,-35.957,0,0,0
2023176,1,8.784,5,-55.704,-35.898,0,0,0
2023177,1,20.226,5,-55.593,-35.643,0,0,0
2023178,1,30.749,5,-55.616,-35.155,0,0,0
2023179,1,21.157,5,-55.64,-34.82,0,0,0
2023180,1,0,5,-55.64,-34.82,0,0,0
2023181,1,0,7,-55.64,-34.82,0,0,0
2023182,1,0,7,-55.64,-34.82,0,0,0
2023183,1,0,7,-55.64,-34.82,0,0,0
2023184,1,0,7,-55.64,-34.82,0,0,0
2023185,1,0,7,-55.64,-34.82,0,0,0
2023186,1,0,7,-55.64,-34.82,0,0,0
2023187,1,0,7,-55.64,-34.82,0,0,0
2023188,1,0,7,-55.64,-34.82,0,0,0
2023189,1,5.244,7,-55.593,-34.831,0,0,0
2023190,1,14.137,7,-55.466,-34.814,0,0,0
2023191,1,28.157,7,-55.219,-34.914,0,0,0
2023192,1,26.549,7,-55.089,-35.265,0,0,0
2023193,1,20.244,7,-54.91,-35.327,0,0,0
2023194,1,13.53,7,-54.789,-35.356,0,0,0
2023195,1,5.247,7,-54.743,-35.367,0,0,0
2023196,1,0,7,-54.743,-35.367,0,0,0
2023197,1,92.67,7,-53.908,-35.386,0,0,0
2023198,1,7.579,7,-53.845,-35.427,0,0,0
2023199,1,7.252,7,-53.793,-35.495,0,0,0
2023200,1,7.441,7,-53.751,-35.583,0,0,0
2023201,1,7.884,7,-53.719,-35.69,0,0,0
2023202,1,8.377,7,-53.693,-35.81,0,0,0
2023203,1,12.219,7,-53.711,-35.993,0,0,0
2023204,1,20.269,7,-53.792,-36.27,0,0,0
2023205,1,25.681,7,-53.911,-36.606,0,0,0
2023206,1,27.836,7,-54.043,-36.968,0,0,0
2023207,1,26.664,7,-54.163,-37.322,0,0,0
2023208,1,22.34,7,-54.247,-37.635,0,0,0
2023209,1,17.29,7,-54.274,-37.897,0,0,0
2023210,1,120.961,5,-53.244,-38.493,0,0,0
2023211,1,15.616,5,-53.228,-38.727,0,0,0
2023212,1,8.354,5,-53.203,-38.846,0,0,0
2023213,1,6.35,5,-53.148,-38.87,0,0,0
2023214,1,0,5,-53.148,-38.87,0,0,0
2023215,1,0,5,-53.148,-38.87,0,0,0
2023216,1,15.483,7,-53.064,-38.685,0,0,0
2023217,1,1.319,7,-53.053,-38.678,0,0,0
2023218,1,1.602,7,-53.044,-38.659,0,0,0
2023219,1,1.924,7,-53.038,-38.632,0,0,0
2023220,1,17.076,7,-53.039,-38.888,0,0,0
2023221,1,6.079,7,-52.997,-38.945,0,0,0
2023222,1,8.53,7,-53.04,-39.05,0,0,0
2023223,1,10.777,6,-52.948,-39.101,0,0,0
2023224,1,3.304,7,-52.918,-39.094,0,0,0
2023225,1,2.451,7,-52.898,-39.08,0,0,0
2023226,1,15.97,7,-52.875,-38.845,0,0,0
2023227,1,28.208,7,-52.854,-38.425,0,0,0
2023228,1,15.107,7,-52.843,-38.201,0,0,0
2023229,1,0.259,7,-52.841,-38.2,0,0,0
2023230,1,6.906,6,-52.857,-38.299,0,0,0
2023231,1,6.946,3,-52.84,-38.2,0,0,0
2023232,1,0,3,-52.84,-38.2,0,0,0
2023233,1,0,3,-52.84,-38.2,0,0,0
2023234,1,0,3,-52.84,-38.2,0,0,0
2023235,1,0,3,-52.84,-38.2,0,0,0
2023236,1,0,3,-52.84,-38.2,0,0,0
2023237,1,0,3,-52.84,-38.2,0,0,0
