date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2023146,0,0,6,-55.1,-38.77,0,0,0
2023147,1,13.125,7,-55.085,-38.565,0,0,0
2023148,1,9.977,7,-55.105,-38.412,0,0,0
2023149,1,7.759,7,-55.122,-38.294,0,0,0
2023150,1,6.941,7,-55.138,-38.188,0,0,0
2023151,1,8.04,7,-55.158,-38.066,0,0,0
2023152,1,10.105,7,-55.182,-37.912,0,0,0
2023153,1,11.018,7,-55.206,-37.744,0,0,0
2023154,1,11.473,7,-55.234,-37.57,0,0,0
2023155,1,11.659,7,-55.27,-37.397,0,0,0
2023156,1,10.929,7,-55.305,-37.235,0,0,0
2023157,1,11.279,7,-55.336,-37.065,0,0,0
2023158,1,5.087,7,-55.369,-37.009,0,0,0
2023159,1,15.021,7,-55.504,-36.992,0,0,0
2023160,1,9.881,6,-55.547,-36.855,0,0,0
2023161,1,11.601,5,-55.594,-36.69,0,0,0
2023162,1,46.085,5,-55.752,-36.01,0,0,0
2023163,1,55.076,5,-55.953,-35.202,0,0,0
2023164,1,12.338,5,-56.013,-35.035,0,0,0
2023165,1,4.099,5,-56.02,-35.1,0,0,0
2023166,1,15.145,5,-55.971,-34.873,0,0,0
2023167,1,11.025,5,-55.901,-34.747,0,0,0
2023168,1,6.006,5,-55.857,-34.689,0,0,0
2023169,1,0,5,-55.857,-34.689,0,0,0
2023170,1,0,5,-55.857,-34.689,0,0,0
2023171,1,0.649,5,-55.856,-34.679,0,0,0
2023172,1,1.788,5,-55.854,-34.651,0,0,0
2023173,1,9.554,5,-55.866,-34.499,0,0,0
2023174,1,0,5,-55.866,-34.499,0,0,0
2023175,1,6.446,5,-55.812,-34.458,0,0,0
2023176,1,0,5,-55.812,-34.458,0,0,0
2023177,1,11.841,5,-55.714,-34.386,0,0,0
2023178,1,11.668,5,-55.762,-34.22,0,0,0
2023179,1,9.176,5,-55.81,-34.1,0,0,0
2023180,1,0,5,-55.81,-34.1,0,0,0
2023181,1,0,7,-55.81,-34.1,0,0,0
2023182,1,0,7,-55.81,-34.1,0,0,0
2023183,1,0,7,-55.81,-34.1,0,0,0
2023184,1,0,7,-55.81,-34.1,0,0,0
2023185,1,0,7,-55.81,-34.1,0,0,0
2023186,1,0,7,-55.81,-34.1,0,0,0
2023187,1,0,7,-55.81,-34.1,0,0,0
2023188,1,0,6,-55.81,-34.1,0,0,0
2023189,1,0,5,-55.81,-34.1,0,0,0
2023190,1,0,5,-55.81,-34.1,0,0,0
2023191,1,0,5,-55.81,-34.1,0,0,0
2023192,1,0,5,-55.81,-34.1,0,0,0
2023194,2,314.593,5,-53.45,-36.81,0,0,0
2023195,1,19.593,7,-53.423,-37.103,0,0,0
2023196,1,11.584,7,-53.414,-37.277,0,0,0
2023197,1,6.986,7,-53.416,-37.382,0,0,0
2023198,1,6.355,7,-53.422,-37.478,0,0,0
2023199,1,5.77,7,-53.432,-37.564,0,0,0
2023200,1,5.208,7,-53.443,-37.64,0,0,0
2023201,1,4.673,7,-53.456,-37.707,0,0,0
2023202,1,4.143,7,-53.469,-37.766,0,0,0
2023203,1,7.642,7,-53.529,-37.823,0,0,0
2023204,1,15.289,7,-53.662,-37.885,0,0,0
2023205,1,19.921,7,-53.837,-37.95,0,0,0
2023206,1,21.236,7,-54.024,-38.018,0,0,0
2023207,1,19.267,7,-54.192,-38.088,0,0,0
2023208,1,14.341,7,-54.314,-38.16,0,0,0
2023209,1,7.251,7,-54.362,-38.236,0,0,0
2023210,1,9.483,7,-54.33,-38.371,0,0,0
2023211,1,17.629,7,-54.24,-38.595,0,0,0
2023212,1,22.858,7,-54.109,-38.867,0,0,0
2023213,1,25.147,7,-53.954,-39.147,0,0,0
2023214,1,31.942,3,-53.991,-39.632,0,0,0
2023215,1,42.081,3,-53.677,-39.992,0,0,0
2023216,1,31.018,3,-53.41,-40.13,0,0,0
2023217,1,28.412,3,-53.158,-40.061,0,0,0
2023218,1,33.106,3,-52.88,-39.88,0,0,0
2023219,1,35.48,3,-52.599,-39.629,0,0,0
2023220,1,34.831,3,-52.336,-39.348,0,0,0
2023221,1,30.855,3,-52.113,-39.079,0,0,0
2023222,1,23.337,3,-51.95,-38.863,0,0,0
2023223,1,12.265,3,-51.87,-38.74,0,0,0
2023224,1,5.318,3,-51.84,-38.68,0,0,0
2023225,1,4.768,3,-51.814,-38.625,0,0,0
2023226,1,4.129,3,-51.792,-38.576,0,0,0
2023227,1,3.38,3,-51.774,-38.536,0,0,0
2023228,1,2.547,3,-51.761,-38.506,0,0,0
2023229,1,1.597,3,-51.753,-38.487,0,0,0
2023230,1,0.556,3,-51.75,-38.48,0,0,0
2023231,1,0,3,-51.75,-38.48,0,0,0
2023232,1,0,3,-51.75,-38.48,0,0,0
2023233,1,0,3,-51.75,-38.48,0,0,0
2023234,1,0,3,-51.75,-38.48,0,0,0
2023235,1,0,3,-51.75,-38.48,0,0,0
2023236,1,0,3,-51.75,-38.48,0,0,0
2023237,1,0,3,-51.75,-38.48,0,0,0
