date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2021239,0,0,6,-70.35,-4.03,0,14542.29,0
2021240,1,1.481,7,-70.342,-4.062,0,14173.12,0
2021241,1,6.438,7,-70.308,-4.2,0,13803.96,0
2021242,1,1.297,7,-70.301,-4.229,0,13434.79,0
2021243,1,4.375,7,-70.283,-4.333,0,13065.63,0
2021244,1,0.951,7,-70.278,-4.353,0,12696.46,0
2021245,1,0.722,7,-70.273,-4.368,0,12327.3,0
2021246,1,0.458,6,-70.271,-4.376,0,11958.13,0
2021247,1,0.306,7,-70.268,-4.381,0,11588.97,0
2021248,1,0.272,7,-70.266,-4.385,0,11219.8,0
2021249,1,0.24,7,-70.264,-4.388,0,10850.64,0
2021250,1,0.205,7,-70.263,-4.391,0,10481.47,0
2021251,1,0.157,7,-70.262,-4.393,1,10112.31,0
2021252,1,0.109,7,-70.261,-4.395,1,9774.14,0
2021253,1,0.058,6,-70.261,-4.396,1,9408.1,0
2021254,1,0.041,7,-70.261,-4.397,1,9030.94,0
2021255,1,0.039,7,-70.261,-4.398,1,8633.91,0
2021256,1,0.036,7,-70.261,-4.399,0,8224.48,0
2021257,1,0.028,7,-70.261,-4.4,0,7804.75,0
2021258,1,0.024,7,-70.261,-4.401,0,7358.81,0
2021259,1,0.013,7,-70.261,-4.401,0,6940.75,0
2021260,1,0.006,6,-70.261,-4.401,0,6536.57,0
2021261,1,0.041,7,-70.26,-4.401,1,6111.63,0
2021262,1,0.102,7,-70.26,-4.399,1,5721.65,0
2021263,1,0.145,7,-70.259,-4.396,1,5324.17,0
2021264,1,0.175,7,-70.257,-4.393,1,4872.57,0
2021265,1,0.176,7,-70.257,-4.389,1,4505.12,0
2021266,1,0.167,7,-70.256,-4.385,1,4162.74,0
2021267,1,1.992,6,-70.24,-4.36,1,3734.81,0
2021268,1,0.159,7,-70.24,-4.356,1,3427.43,0
2021269,1,0.191,7,-70.24,-4.351,1,3147.18,0
2021270,1,0.214,7,-70.24,-4.345,1,2896.73,0
2021271,1,0.229,7,-70.24,-4.339,1,2670.62,0
2021272,1,0.236,7,-70.24,-4.333,1,2450.15,0
2021273,1,1.739,7,-70.24,-4.286,1,2259.77,0
2021274,1,0.233,6,-70.24,-4.28,1,2088.27,0
