date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2022336,0,0,6,-71.43,-60.33,0,0,0
2022337,1,0,5,-71.43,-60.33,0,0,0
2022338,1,0,5,-71.43,-60.33,0,0,0
2022339,1,0,5,-71.43,-60.33,0,0,0
2022340,1,10.834,5,-71.515,-60.18,0,0,0
2022341,1,0,5,-71.515,-60.18,0,0,0
2022342,1,0,5,-71.515,-60.18,0,0,0
2022343,1,4.27,5,-71.482,-60.24,0,0,0
2022344,1,0,5,-71.482,-60.24,0,0,0
2022345,1,0,5,-71.482,-60.24,0,0,0
2022346,1,0,5,-71.482,-60.24,0,0,0
2022347,1,0,5,-71.482,-60.24,0,0,0
2022348,1,3.25,5,-71.507,-60.194,0,0,0
2022349,1,1.551,5,-71.505,-60.15,0,0,0
2022350,1,1.634,5,-71.502,-60.105,0,0,0
2022351,1,3.192,5,-71.521,-60.035,0,0,0
2022352,1,2.577,5,-71.539,-59.99,0,0,0
2022353,1,0,5,-71.539,-59.99,0,0,0
2022354,1,3.005,5,-71.548,-59.909,0,0,0
2022355,1,3.446,5,-71.569,-59.837,0,0,0
2022356,1,9.752,5,-71.49,-59.96,0,0,0
2022357,1,0,6,-71.49,-59.96,0,0,0
2022358,1,0.727,7,-71.493,-59.942,0,0,0
2022359,1,0.975,7,-71.498,-59.92,0,0,0
2022360,1,1.169,7,-71.505,-59.893,0,0,0
2022361,1,4.822,7,-71.521,-59.766,0,0,0
2022362,1,3.74,7,-71.543,-59.685,0,0,0
2022363,1,1.994,7,-71.555,-59.644,0,0,0
2022364,1,3.758,6,-71.58,-59.57,0,0,0
2022365,1,4.861,5,-71.605,-59.457,0,0,0
2023001,1,4.812,5,-71.627,-59.337,0,0,0
2023002,1,0,5,-71.627,-59.337,0,0,0
2023003,1,0,5,-71.627,-59.337,0,0,0
2023004,1,7.796,5,-71.685,-59.212,0,0,0
2023005,1,0,5,-71.685,-59.212,0,0,0
2023006,1,4.918,5,-71.729,-59.195,0,0,0
