date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2023055,0,0,6,-72.19,-59.34,0,0,0
2023056,1,0,5,-72.19,-59.34,0,0,0
2023057,1,0,5,-72.19,-59.34,0,0,0
2023058,1,6.02,5,-72.239,-59.261,0,0,0
2023059,1,0,5,-72.239,-59.261,0,0,0
2023060,1,1.849,5,-72.229,-59.215,0,0,0
2023061,1,1.841,5,-72.22,-59.17,0,0,0
2023062,1,0,5,-72.22,-59.17,0,0,0
2023063,1,2.568,5,-72.217,-59.245,0,0,0
2023064,1,0,5,-72.217,-59.245,0,0,0
2023065,1,0,5,-72.217,-59.245,0,0,0
2023066,1,0,5,-72.217,-59.245,0,0,0
2023067,1,0,5,-72.217,-59.245,0,0,0
2023068,1,0,5,-72.217,-59.245,0,0,0
2023069,1,5.595,5,-72.171,-59.316,0,0,0
2023070,1,10.2,5,-72.084,-59.409,0,0,0
2023071,1,6.922,5,-72.024,-59.465,0,0,0
2023072,1,0,5,-72.024,-59.465,0,0,0
2023073,1,9.282,5,-71.943,-59.535,0,0,0
2023074,1,0,5,-71.943,-59.535,0,0,0
2023075,1,0,5,-71.943,-59.535,0,0,0
2023076,1,0,5,-71.943,-59.535,0,0,0
2023077,1,0,5,-71.943,-59.535,0,0,0
2023078,1,0,5,-71.943,-59.535,0,0,0
2023079,1,0,5,-71.943,-59.535,0,0,0
2023080,1,0,5,-71.943,-59.535,0,0,0
2023081,1,0,5,-71.943,-59.535,0,0,0
2023082,1,4.686,5,-71.902,-59.563,0,0,0
2023083,1,4.501,5,-71.862,-59.542,0,0,0
2023084,1,2.553,5,-71.84,-59.52,0,0,0
2023085,1,0,5,-71.84,-59.52,0,0,0
2023086,1,0,5,-71.84,-59.52,0,0,0
2023087,1,13.483,5,-71.737,-59.726,0,0,0
2023088,1,13.239,5,-71.62,-59.65,0,0,0
2023089,1,0,5,-71.62,-59.65,0,0,0
2023090,1,0,6,-71.62,-59.65,0,0,0
2023091,1,0.364,7,-71.617,-59.649,0,0,0
2023092,1,0.299,7,-71.614,-59.645,0,0,0
2023093,1,0.285,7,-71.612,-59.64,0,0,0
2023094,1,0.294,7,-71.61,-59.635,0,0,0
2023095,1,0.317,7,-71.608,-59.63,0,0,0
2023096,1,0.387,7,-71.605,-59.626,0,0,0
2023097,1,1.824,7,-71.588,-59.615,0,0,0
2023098,1,4.659,7,-71.547,-59.607,0,0,0
2023099,1,12.199,7,-71.437,-59.613,0,0,0
2023100,1,13.209,7,-71.318,-59.626,0,0,0
2023101,1,7.745,7,-71.249,-59.661,0,0,0
2023102,1,6.954,7,-71.189,-59.717,0,0,0
2023103,1,5.795,7,-71.14,-59.771,0,0,0
2023104,1,4.214,6,-71.103,-59.798,0,0,0
