date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2015132,0,0,5,-69.791,21.186,0,2219.67,0
2015133,1,35.558,5,-69.677,20.322,0,2206.62,0
2015134,1,20.431,5,-69.645,19.801,0,2193.56,0
2015135,1,13.807,6,-69.748,20.001,0,2180.51,0
2015136,1,29.842,7,-69.661,19.268,0,2167.46,0
2015137,1,40.876,7,-69.572,18.242,0,2154.41,0
2015138,1,28.72,7,-69.475,17.556,0,2141.36,0
2015139,1,26.233,7,-69.429,16.896,0,2128.31,0
2015140,1,23.979,7,-69.361,16.312,0,2115.26,0
2015141,1,15.219,7,-69.352,15.924,0,2102.2,0.002
2015142,1,3.534,6,-69.343,15.838,0,2089.15,0.0019
2015143,1,0,7,-69.343,15.838,0,2076.1,-0.0059
2015144,1,2.209,7,-69.362,15.853,0,2063.05,-0.0144
2015145,1,0.994,7,-69.37,15.861,0,2043.19,-0.0192
2015146,1,3.495,7,-69.352,15.787,0,2021.08,-0.0146
2015147,1,2.579,7,-69.331,15.814,0,1998.18,0.0173
2015148,1,2.933,7,-69.352,15.86,0,1971.49,0.0464
2015149,1,2.229,6,-69.343,15.809,0,1945.13,0.054
2015150,1,2.332,7,-69.344,15.869,0,1920.72,0.0499
2015151,1,1.221,7,-69.351,15.845,0,1894.37,0.0313
2015152,1,4.299,7,-69.325,15.765,0,1863.98,0.008
2015153,1,3.636,7,-69.352,15.815,0,1826.39,-0.013
2015154,1,2.91,7,-69.337,15.876,0,1793.22,-0.0207
2015155,1,1.019,7,-69.345,15.861,0,1758.49,-0.0034
2015156,1,0.047,6,-69.345,15.86,0,1703.38,0.0051
2015157,1,0.086,7,-69.346,15.86,0,1644.25,0
2015158,1,2.818,7,-69.334,15.796,1,1561.32,0
2015159,1,0.181,7,-69.336,15.795,1,1493.52,0
2015160,1,0.194,7,-69.337,15.794,1,1422.27,0
2015161,1,0.176,7,-69.339,15.793,1,1350.12,0
2015162,1,0.139,7,-69.34,15.791,1,1272.66,0
2015163,1,0.09,6,-69.34,15.789,1,1190.53,0
2015164,1,1.197,7,-69.351,15.793,1,1105.91,0
2015165,1,0.358,7,-69.351,15.784,1,1019.55,0
2015166,1,0.487,7,-69.351,15.771,1,955.73,0
2015167,1,0.568,7,-69.351,15.757,1,891.86,0
2015168,1,3.397,7,-69.364,15.678,0,827.83,0
2015169,1,3.102,7,-69.346,15.619,0,764.12,0
2015170,1,4.398,6,-69.318,15.54,0,700.6,0
2015171,1,0.576,7,-69.316,15.526,0,637.83,0
2015172,1,0.756,7,-69.313,15.509,0,575.32,0
2015173,1,0.862,7,-69.308,15.492,0,516.89,0
2015174,1,0.863,7,-69.302,15.476,0,459.79,0
2015175,1,0.759,7,-69.298,15.463,0,401.36,0
2015176,1,0.537,7,-69.294,15.453,0,344.26,0
2015177,1,0.206,6,-69.293,15.45,0,291.18,0
2015178,1,0,7,-69.293,15.45,0,241.47,0
2015179,1,0,7,-69.293,15.45,0,197.92,0
2015180,1,0,7,-69.293,15.45,0,158.08,0
2015181,1,0,7,-69.293,15.45,0,123.6,0
2015182,1,0,7,-69.293,15.45,0,92.82,0
2015183,1,3.396,7,-69.314,15.511,0,86.19,0
2015184,1,0,6,-69.314,15.511,0,64.18,0
2015185,1,0,7,-69.314,15.511,1,47.09,0
2015186,1,0,7,-69.314,15.511,1,32.86,0
2015187,1,0,7,-69.314,15.511,1,22.8,0
2015188,1,2.231,7,-69.305,15.46,1,15.57,0
2015189,1,0,7,-69.305,15.46,1,11.84,0
2015190,1,0,7,-69.305,15.46,1,0,0
2015191,1,2.762,6,-69.282,15.486,1,0,0
2015192,1,0,7,-69.282,15.486,1,0,0
2015193,1,0,7,-69.282,15.486,1,0,0
2015194,1,0,7,-69.282,15.486,1,0,0
2015195,1,0,7,-69.282,15.486,1,0,0
2015196,1,0,7,-69.282,15.486,1,0,0
2015197,1,0,7,-69.282,15.486,1,0,0
2015198,1,0,6,-69.282,15.486,1,0,0
2015199,1,2.054,5,-69.264,15.471,0,0,0
2015200,1,2.271,5,-69.274,15.421,0,0,0
2015201,1,0,5,-69.274,15.421,0,0,0
2015202,1,3.461,5,-69.275,15.509,0,0,0
2015203,1,0,5,-69.275,15.509,0,0,0
2015204,1,5.157,5,-69.317,15.454,0,0,0
