date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2014249,0,0,5,-65.868,51.579,0,132.56,0
2014250,1,0,5,-65.868,51.579,0,150.71,0
2014251,1,0,5,-65.868,51.579,0,168.87,0
2014252,1,0,5,-65.868,51.579,0,187.02,0
2014253,1,0,5,-65.868,51.579,0,205.18,0
2014254,1,0,5,-65.868,51.579,0,223.33,0
2014255,1,6.522,6,-65.889,51.444,1,241.49,0
2014256,1,0,7,-65.889,51.444,1,259.64,0
2014257,1,0,7,-65.889,51.444,1,277.8,0
2014258,1,0,7,-65.889,51.444,1,295.95,0
2014259,1,0,7,-65.889,51.444,1,314.11,0
2014260,1,0,7,-65.889,51.444,1,332.26,0
2014261,1,0,7,-65.889,51.444,1,350.42,0
2014262,1,0,6,-65.889,51.444,1,377.54,0
2014263,1,0,7,-65.889,51.444,1,388.76,0
2014264,1,0,7,-65.889,51.444,1,399.81,0
2014265,1,0,7,-65.889,51.444,1,408.25,0
2014266,1,0,7,-65.889,51.444,1,415.39,0
2014267,1,0,7,-65.889,51.444,1,420.62,0
2014268,1,0,7,-65.889,51.444,1,424.71,0
2014269,1,0,6,-65.889,51.444,1,427.46,0
2014270,1,0,7,-65.889,51.444,1,428.86,0
2014271,1,0,7,-65.889,51.444,1,429.2,0
2014272,1,0,7,-65.889,51.444,1,428.42,0
2014273,1,0,7,-65.889,51.444,1,426.54,0
2014274,1,0,7,-65.889,51.444,1,422.95,0
2014275,1,0,7,-65.889,51.444,1,419.71,0
2014276,1,0,6,-65.889,51.444,1,417.02,0
2014277,1,0,7,-65.889,51.444,1,412.49,0
2014278,1,0,7,-65.889,51.444,1,396.96,0
2014279,1,0,7,-65.889,51.444,1,384.55,0
2014280,1,0,7,-65.889,51.444,1,379.03,0
2014281,1,0,7,-65.889,51.444,1,371.15,0
2014282,1,0,7,-65.889,51.444,1,363.15,0
2014283,1,0,6,-65.889,51.444,1,348.5,0
2014284,1,0,7,-65.889,51.444,1,338.93,0
2014285,1,0,7,-65.889,51.444,1,328.4,0
2014286,1,0,7,-65.889,51.444,1,299.49,0
2014287,1,0,7,-65.889,51.444,1,273.31,0
2014288,1,0,7,-65.889,51.444,1,261.07,0
2014289,1,0,7,-65.889,51.444,1,246.94,0
2014290,1,0,6,-65.889,51.444,1,232.99,0
2014291,1,0,7,-65.889,51.444,1,218.89,0
2014292,1,0,7,-65.889,51.444,1,205.16,0
2014293,1,0,7,-65.889,51.444,1,191.5,0
2014294,1,0,7,-65.889,51.444,1,177.62,0
2014295,1,0,7,-65.889,51.444,1,164.02,0
2014296,1,0,7,-65.889,51.444,1,149.93,0
2014297,1,0,6,-65.889,51.444,1,135.88,0
2014298,1,0,7,-65.889,51.444,1,121.38,0
2014299,1,0,7,-65.889,51.444,1,107.69,0
2014300,1,0,7,-65.889,51.444,1,93.25,0
2014301,1,0,7,-65.889,51.444,1,79.55,0
2014302,1,0,7,-65.889,51.444,1,65.89,0
2014303,1,0,7,-65.889,51.444,1,63.88,0
2014304,1,0,7,-65.889,51.444,1,60.18,0
2014305,1,0,7,-65.889,51.444,1,50.07,0
2014306,1,0,7,-65.889,51.444,1,42.72,0
2014307,1,0,7,-65.889,51.444,1,37.67,0
2014308,1,0,7,-65.889,51.444,1,42.09,0
2014309,1,0,7,-65.889,51.444,1,43.69,0
2014310,1,0.276,7,-65.888,51.439,1,49.48,0
2014311,1,0.278,6,-65.888,51.433,1,57.44,0
2014312,1,0,7,-65.888,51.433,1,69.64,0
2014313,1,0,7,-65.888,51.433,1,84.47,0
2014314,1,0,7,-65.888,51.433,1,103.97,0
2014315,1,0,7,-65.888,51.433,1,126.6,0
2014316,1,0,7,-65.888,51.433,1,153.34,0
2014317,1,0,7,-65.888,51.433,1,182.24,0
2014318,1,0,6,-65.888,51.433,1,215.41,0
2014319,1,0,7,-65.888,51.433,1,250.7,0
2014320,1,0,7,-65.888,51.433,1,287.61,0
2014321,1,0,7,-65.888,51.433,1,324.87,0
