date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2019025,0,0,3,-54.15,-26.317,1,4132.74,0
2019026,1,6.788,3,-54.089,-26.315,1,4127.58,0
2019027,1,6.024,3,-54.035,-26.308,1,4122.43,0
2019028,1,5.173,3,-53.989,-26.298,1,4117.27,0
2019029,1,4.24,3,-53.951,-26.285,1,4112.11,0
2019030,1,3.261,3,-53.923,-26.27,1,4106.96,0
2019031,1,2.233,3,-53.906,-26.252,1,4101.8,0
2019032,1,1.414,6,-53.9,-26.233,2,4096.64,0
2019033,1,8.614,7,-53.923,-26.359,2,4091.49,-0.0095
2019034,1,10.312,7,-54.008,-26.424,2,4086.33,0.0239
2019035,1,8.546,7,-54.085,-26.435,2,4081.17,0.006
2019036,1,3.948,7,-54.105,-26.385,2,4051.78,-0.0081
2019037,1,4.885,7,-54.122,-26.316,1,4041.08,-0.0452
2019038,1,5.278,7,-54.135,-26.238,1,4006.31,-0.0171
2019039,1,5.092,6,-54.139,-26.16,1,3998.38,0.0294
2019040,1,18.087,7,-54.007,-25.999,1,3961.48,0.062
2019041,1,16.619,7,-53.864,-25.926,2,3934.5,0.0807
2019042,1,41.834,7,-53.894,-26.563,2,3900.33,0.1155
2019043,1,12.177,7,-53.862,-26.741,2,3856.73,0.0763
2019044,1,11.709,7,-53.875,-26.918,2,3816.54,0.037
2019045,1,11.671,7,-53.936,-27.064,2,3765.1,-0.02
2019046,1,7.937,6,-53.998,-27.124,2,3725.22,-0.0103
2019047,1,7.85,7,-54.068,-27.106,2,3664.35,0
2019048,1,8.778,7,-54.144,-27.069,1,3601.38,0
2019049,1,7.831,7,-54.211,-27.03,1,3522.85,0
2019050,1,8.54,7,-54.283,-26.988,1,3429.59,0
2019051,1,7.829,7,-54.35,-26.949,1,3342.2,0
2019052,1,20.171,7,-54.451,-26.69,2,3234.79,0
2019053,1,1.065,7,-54.453,-26.706,2,3109.56,0
2019054,1,3.305,7,-54.428,-26.733,1,2991.05,0
2019055,1,1.826,7,-54.412,-26.73,1,2867.28,0
2019056,1,1.934,7,-54.396,-26.719,1,2737.12,0
2019057,1,1.989,7,-54.381,-26.702,1,2603.82,0
2019058,1,1.998,7,-54.368,-26.679,1,2458.43,0
2019059,1,2.016,7,-54.36,-26.651,1,2313.04,0
2019060,1,2.102,6,-54.357,-26.619,1,2167.65,0
2019061,1,5.693,7,-54.391,-26.553,1,2022.26,0
2019062,1,2.884,7,-54.415,-26.539,1,1876.87,0
2019063,1,8.997,7,-54.376,-26.661,1,1731.48,0
2019064,1,12.826,7,-54.331,-26.843,1,1586.09,0
2019065,1,15.816,7,-54.311,-27.085,1,1440.7,0
2019066,1,18.603,7,-54.298,-27.371,1,1295.3,0
2019067,1,16.47,6,-54.274,-27.622,1,1149.91,0
2019068,1,20.55,5,-54.319,-27.314,0,0,0
