date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2011329,0,0,4,-55.935,-158.711,2,24110.34,0.0401
2011330,1,6.375,4,-55.949,-158.612,1,23963.62,-0.0351
2011331,1,21.752,4,-55.958,-158.262,1,23816.91,-0.0502
2011332,1,5.461,4,-55.915,-158.221,1,23670.2,-0.0226
2011333,1,3.759,4,-55.922,-158.162,1,23523.48,0.0301
2011334,1,22.866,4,-55.742,-157.985,1,23376.77,0.0839
2011335,1,25.385,4,-55.62,-157.642,1,23230.06,0.1161
2011336,1,41.761,4,-55.486,-157.02,1,23189.95,0.1269
2011337,1,18.352,4,-55.385,-156.79,1,23080.65,0.1161
2011338,1,3.08,4,-55.372,-156.747,1,22614.68,0.0839
2011339,1,24.594,4,-55.279,-156.394,1,22355.96,0.0301
2011340,1,8.289,4,-55.264,-156.522,1,22022.15,-0.0452
2011341,1,21.096,4,-55.161,-156.243,1,22172.39,-0.1116
2011342,1,15.704,4,-55.221,-156.467,1,22655.69,0.0365
2011343,1,17.871,4,-55.109,-156.265,1,23405.44,0.2024
2011344,1,12.542,4,-54.997,-156.244,1,24062.66,0.4622
2011345,1,48.975,4,-54.836,-155.53,1,24536.4,0.4862
2011346,1,20.165,4,-54.667,-155.647,1,24251.32,0.2416
2011347,1,7.288,4,-54.638,-155.545,1,24441.77,0.0979
2011348,1,18.197,4,-54.516,-155.358,1,24374.77,-0.2065
2011349,1,24.027,4,-54.35,-155.118,1,24716.61,-0.5048
2011350,1,34.424,4,-54.188,-154.666,2,25058.46,-0.4465
2011351,1,18.268,4,-54.078,-154.456,2,25400.31,-0.2487
2011352,1,19.799,4,-54.192,-154.222,1,25742.16,-0.0529
2011353,1,15.045,4,-54.145,-154.439,1,26084.01,0.0505
2011354,1,15.738,4,-54.137,-154.197,1,26425.86,-0.0287
