date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2019166,0,0,4,-65.365,-131.792,1,13145.73,0
2019167,1,10.506,4,-65.382,-131.568,1,13087.47,0
2019168,1,11.059,4,-65.329,-131.365,1,13029.21,0
2019169,1,6.997,4,-65.271,-131.307,1,12970.95,0
2019170,1,0,4,-65.271,-131.307,1,12912.69,0
2019171,1,0,4,-65.271,-131.307,1,12854.43,0
2019172,1,7.328,4,-65.337,-131.291,1,12787.48,0
2019173,1,7.853,4,-65.368,-131.139,1,12659.31,0
2019174,1,9.958,4,-65.414,-130.954,1,12579.8,0
2019175,1,9.744,4,-65.435,-130.749,1,12444.18,0
2019176,1,7.673,4,-65.475,-130.614,1,12309.84,0
2019177,1,13.325,4,-65.546,-130.38,1,12178.75,0
2019178,1,6.751,4,-65.551,-130.233,1,12048.95,0
2019179,1,19.661,4,-65.573,-129.809,1,11986.71,0
2019180,1,0,4,-65.573,-129.809,1,11900.01,0
2019181,1,31.21,4,-65.675,-129.174,1,11818.02,0
2019182,1,13.516,4,-65.694,-128.881,1,11779.17,0
2019183,1,10.985,4,-65.657,-128.658,1,11766.41,-0.0627
2019184,1,0,4,-65.657,-128.658,1,11753.65,-0.0837
2019185,1,22.29,4,-65.72,-128.195,1,11740.88,-0.0139
2019186,1,10.884,4,-65.77,-127.99,1,11728.12,0.1952
2019187,1,12.388,4,-65.858,-127.824,1,11715.36,0.5926
