date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2018069,0,0,4,-66.352,-81.481,0,0,0
2018070,1,17.492,4,-66.275,-81.14,0,0,0
2018071,1,0,4,-66.275,-81.14,0,0,0
2018072,1,10.219,4,-66.216,-80.965,0,0,0
2018073,1,10.126,4,-66.18,-80.757,0,0,0
2018074,1,0,4,-66.18,-80.757,0,0,0
2018075,1,9.614,4,-66.095,-80.717,0,0,0
2018076,1,8.727,4,-66.11,-80.907,0,0,0
2018077,1,14.013,4,-66.016,-81.115,0,0,0
2018078,1,15.859,4,-65.877,-81.193,0,0,0
2018079,1,15.162,4,-65.826,-81.503,0,0,0
2018080,1,24.093,4,-65.613,-81.605,0,0,0
2018081,1,13.258,4,-65.506,-81.475,0,0,0
2018082,1,19.481,4,-65.405,-81.131,0,0,0
2018083,1,0,4,-65.405,-81.131,0,0,0
2018084,1,35.124,4,-65.099,-80.937,0,0,0
2018085,1,0,4,-65.099,-80.937,0,0,0
2018086,1,17.871,4,-64.944,-81.042,0,0,0
2018087,1,14.22,4,-64.912,-81.334,0,0,0
2018088,1,8.031,4,-64.899,-81.502,0,0,0
2018089,1,18.6,4,-64.788,-81.797,0,0,0
2018090,1,19.132,4,-64.942,-81.978,0,0,0
2018091,1,33.877,4,-64.638,-82.055,0,0,0
2018092,1,22,4,-64.477,-81.786,0,0,0
2018093,1,21.707,4,-64.305,-81.57,0,0,0
2018094,1,22.032,4,-64.241,-81.138,0,0,0
2018095,1,14.517,4,-64.191,-80.861,0,0,0
2018096,1,8.063,4,-64.156,-80.714,0,0,0
2018097,1,34.482,4,-64.035,-80.059,0,0,0
2018098,1,24.072,4,-63.968,-79.589,0,0,0
2018099,1,18.608,4,-63.828,-79.377,0,0,0
2018100,1,20.615,4,-63.898,-78.986,0,0,0
2018101,1,11.669,4,-64.003,-79.007,0,0,0
2018102,1,4.502,4,-63.97,-78.954,0,0,0
2018103,1,20.556,4,-63.935,-78.54,0,0,0
2018104,1,13.891,4,-64.051,-78.645,0,0,0
2018105,1,19.694,4,-64.159,-78.322,0,0,0
2018106,1,20.7,4,-64.101,-77.915,0,0,0
2018107,1,8.7,4,-64.126,-78.085,0,0,0
2018108,1,30.611,4,-64.106,-77.455,0,0,0
2018109,1,15.5,4,-64.022,-77.201,0,0,0
2018110,1,25.033,4,-63.884,-76.795,0,0,0
2018111,1,18.852,4,-63.766,-76.517,0,0,0
2018112,1,20.659,4,-63.665,-76.165,0,0,0
2018113,1,32.774,4,-63.512,-75.597,0,0,0
2018114,1,12.362,4,-63.457,-75.381,0,0,0
2018115,1,34.827,4,-63.339,-74.732,0,0,0
2018116,1,27.388,4,-63.2,-74.278,0,0,0
2018117,1,38.242,4,-63.054,-73.588,0,0,0
2018118,1,22.699,4,-62.917,-73.253,0,0,0
