date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2020038,0,0,6,-74.156,-112.777,-0,1526.98,0
2020039,1,3.76,5,-74.129,-112.703,0,1542.89,0
2020040,1,1.02,7,-74.12,-112.697,0,1558.81,0
2020041,1,8.691,7,-74.042,-112.655,0,1574.72,0
2020042,1,1.782,7,-74.027,-112.633,0,1590.63,0
2020043,1,1.519,7,-74.014,-112.617,0,1606.54,0.0099
2020044,1,3.62,7,-73.99,-112.538,0,1622.45,-0.0066
2020045,1,3.298,6,-73.968,-112.466,0,1638.36,-0.0184
2020046,1,0.694,7,-73.962,-112.471,0,1654.27,-0.0744
2020047,1,0.655,7,-73.958,-112.485,0,1670.18,0.0047
2020048,1,1.008,7,-73.959,-112.517,0,1686.09,0.0653
2020049,1,1.68,7,-73.962,-112.571,0,1702,0.1073
2020050,1,4.078,7,-73.948,-112.694,0,1717.91,0.1308
2020051,1,6.207,7,-73.921,-112.872,0,1731.41,0.1357
2020052,1,8.311,7,-73.874,-113.081,0,1751.45,0.0908
2020053,1,10.325,7,-73.802,-113.293,0,1771.85,0.0326
2020054,1,12.632,7,-73.698,-113.464,0,1791.11,-0.0489
2020055,1,11.266,7,-73.612,-113.652,0,1811.94,0
2020056,1,8.005,7,-73.567,-113.853,1,1824.26,0
2020057,1,7.736,7,-73.529,-114.058,1,1845.68,0
2020058,1,9.43,7,-73.501,-114.342,1,1874.02,0
2020059,1,7.075,6,-73.491,-114.563,1,1889.72,0
2020060,1,3.96,7,-73.519,-114.638,1,1913.21,0
2020061,1,5.062,7,-73.564,-114.675,0,1934.91,0
2020062,1,4.188,7,-73.597,-114.614,0,1964.76,0
2020063,1,5.146,7,-73.629,-114.494,0,1986.98,0
2020064,1,3.186,7,-73.652,-114.432,0,2003.19,0
2020065,1,1.467,7,-73.665,-114.44,0,2021.03,0
2020066,1,0.392,7,-73.662,-114.431,0,2046.09,0.0441
2020067,1,2.745,7,-73.639,-114.406,0,2074.29,-0.0294
2020068,1,4.236,7,-73.601,-114.388,0,2093.21,-0.0818
2020069,1,9.157,7,-73.518,-114.382,0,2113.59,-0.1133
2020070,1,5.257,7,-73.509,-114.546,0,2139.25,-0.1238
2020071,1,8.895,7,-73.505,-114.828,0,2162.12,-0.1133
2020072,1,5.161,7,-73.507,-114.991,0,2182.5,-0.0818
2020073,1,6.431,6,-73.564,-114.951,0,2202.41,-0.0294
2020074,1,5.26,7,-73.608,-115.01,0,2221.65,0.0441
2020075,1,6.38,7,-73.657,-115.114,0,2232.61,0
2020076,1,6.975,7,-73.713,-115.217,0,2250.53,0
