date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2000310,0,0,3,-67.6,147.2,0,2489.35,0
2000311,1,0,3,-67.6,147.2,0,2521.57,0
2000312,1,0,3,-67.6,147.2,0,2553.79,0
2000313,1,0,3,-67.6,147.2,0,2586.01,0
2000314,1,0,3,-67.6,147.2,0,2618.23,0
2000315,1,0,3,-67.6,147.2,0,2650.45,0
2000316,1,0,3,-67.6,147.2,0,2682.67,0
2000317,1,0,3,-67.6,147.2,0,2714.89,0
2000318,1,0,3,-67.6,147.2,0,2747.11,0
2000319,1,0,3,-67.6,147.2,0,2779.33,0
2000320,1,0,3,-67.6,147.2,0,2811.54,0
2000321,1,0,3,-67.6,147.2,0,2843.76,0
2000322,1,0,3,-67.6,147.2,0,2875.98,0.0002
2000323,1,0,3,-67.6,147.2,0,2938.65,-0.0001
2000324,1,0,3,-67.6,147.2,0,3003.75,-0.0003
2000331,7,0,17,-67.6,147.2,1,3051.56,-0.0004
2000332,1,0,17,-67.6,147.2,1,3109.9,-0.0005
2000333,1,0,17,-67.6,147.2,1,3142.02,-0.0004
2000334,1,0,17,-67.6,147.2,1,3160.45,-0.0003
2000335,1,0,17,-67.6,147.2,1,3176.26,-0.0001
2000336,1,0,17,-67.6,147.2,1,3186.12,0.0002
2000337,1,0.291,17,-67.6,147.193,1,3184.93,0
2000338,1,0,17,-67.6,147.193,1,3177.14,0
2000339,1,0,17,-67.6,147.193,1,3165.49,0
2000340,1,13.13,17,-67.639,147.487,1,3145.88,0.1202
2000341,1,0,17,-67.639,147.487,1,3115.66,-0.0801
2000342,1,1.811,17,-67.632,147.449,1,3086.56,-0.2231
2000343,1,1.237,17,-67.643,147.446,1,3060.16,-0.309
2000344,1,2.603,17,-67.624,147.483,1,3055.88,-0.3376
2000345,1,2.332,17,-67.643,147.46,1,3053.8,-0.309
2000346,1,1.914,17,-67.628,147.481,1,3049.81,-0.2231
2000347,1,0,17,-67.628,147.481,1,3054.3,-0.0801
2000348,1,1.019,17,-67.627,147.505,1,3049.05,0.1202
2000349,1,0.842,17,-67.634,147.497,1,3045.8,0
2000350,1,0,17,-67.634,147.497,1,3000.32,-0.0568
2000351,1,1.821,17,-67.643,147.461,1,2955.26,0.0751
2000352,1,0,17,-67.643,147.461,1,2912.59,0.0806
2000353,1,0.587,17,-67.643,147.475,1,2870.95,0.1679
2000354,1,0,17,-67.643,147.475,1,2825.75,0.0019
2000355,1,10.26,17,-67.634,147.233,1,2763.32,-0.1273
