date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2017120,0,0,6,-66.889,145.161,1,0,0
2017121,1,0,6,-66.889,145.161,1,0,0
2017122,1,4.978,6,-66.887,145.275,1,0,0
2017123,1,4.031,6,-66.857,145.223,1,0,0
2017124,1,3.035,6,-66.835,145.262,1,0,0
2017125,1,5.934,6,-66.876,145.176,1,0,0
2017126,1,0,6,-66.876,145.176,1,0,0
2017127,1,0,6,-66.876,145.176,1,0,0
2017128,1,5.813,6,-66.827,145.223,1,0,0
2017129,1,0,6,-66.827,145.223,1,0,0
2017130,1,0,6,-66.827,145.223,1,0,0
2017131,1,0,6,-66.827,145.223,1,0,0
2017132,1,2.791,6,-66.814,145.169,1,0,0
2017133,1,3.104,6,-66.803,145.103,1,0,0
2017134,1,6.71,6,-66.79,144.954,1,0,0
2017135,1,0,6,-66.79,144.954,1,0,0
2017136,1,0,6,-66.79,144.954,1,0,0
2017137,1,0,6,-66.79,144.954,1,0,0
2017138,1,0,6,-66.79,144.954,1,0,0
2017139,1,3.113,6,-66.818,144.965,1,0,0
2017140,1,0,6,-66.818,144.965,1,0,0
2017141,1,0,6,-66.818,144.965,1,0,0
2017142,1,0,6,-66.818,144.965,1,0,0
2017143,1,0,6,-66.818,144.965,1,0,0
2017144,1,0,6,-66.818,144.965,1,0,0
2017145,1,2.224,6,-66.8,144.991,1,0,0
2017146,1,3.119,6,-66.772,144.995,1,0,0
2017147,1,5.811,6,-66.723,145.036,1,0,0
2017148,1,0,6,-66.723,145.036,1,0,0
2017149,1,0,6,-66.723,145.036,1,0,0
2017150,1,2.22,6,-66.706,145.065,1,0,0
2017151,1,0.52,6,-66.702,145.069,1,0,0
2017152,1,2.164,6,-66.684,145.091,1,0,0
2017153,1,6.306,6,-66.629,145.062,1,0,0
2017154,1,5.853,6,-66.589,144.975,1,0,0
2017155,1,6.518,6,-66.55,144.865,1,0,0
2017156,1,2.697,6,-66.525,144.871,1,0,0
2017157,1,8.002,6,-66.528,144.69,1,0,0
2017158,1,1.858,6,-66.512,144.697,1,0,0
2017159,1,5.911,6,-66.483,144.584,1,0,0
2017160,1,2.894,6,-66.459,144.608,1,0,0
2017161,1,2.53,6,-66.442,144.569,1,0,0
2017162,1,6.454,6,-66.414,144.441,1,0,0
2017163,1,3.923,6,-66.387,144.384,1,0,0
2017164,1,1.155,6,-66.378,144.371,1,0,0
2017165,1,3.575,6,-66.347,144.393,1,0,0
2017166,1,0,6,-66.347,144.393,1,0,0
2017167,1,1.553,6,-66.35,144.359,1,0,0
2017168,1,0,6,-66.35,144.359,1,0,0
2017169,1,0,6,-66.35,144.359,1,0,0
2017170,1,0.797,6,-66.347,144.375,1,0,0
2017171,1,0,6,-66.347,144.375,1,0,0
2017172,1,0,6,-66.347,144.375,1,0,0
2017173,1,0,6,-66.347,144.375,1,0,0
2017174,1,0,6,-66.347,144.375,1,0,0
2017175,1,0,6,-66.347,144.375,1,0,0
2017176,1,4.491,6,-66.359,144.279,1,0,0
2017177,1,0,6,-66.359,144.279,1,0,0
2017178,1,2.855,6,-66.334,144.284,1,0,0
2017179,1,3.106,7,-66.321,144.221,1,0,0
2017180,1,6.166,7,-66.313,144.085,1,0,0
2017181,1,6.17,7,-66.305,143.948,1,0,0
2017182,1,3.116,6,-66.292,143.886,1,0,0
2017183,1,6.012,6,-66.265,144.003,1,0,0
2017184,1,3.902,6,-66.231,143.988,1,0,0
2017185,1,0,6,-66.231,143.988,1,0,0
2017186,1,4.371,6,-66.193,143.963,1,0,0
2017187,1,0,6,-66.193,143.963,1,0,0
2017188,1,0,6,-66.193,143.963,1,0,0
2017189,1,0,6,-66.193,143.963,1,0,0
2017190,1,4.119,6,-66.177,143.879,1,0,0
2017191,1,0,6,-66.177,143.879,1,0,0
2017192,1,0,6,-66.177,143.879,1,0,0
2017193,1,0,6,-66.177,143.879,1,0,0
2017194,1,0,6,-66.177,143.879,1,0,0
2017195,1,0,6,-66.177,143.879,1,0,0
2017196,1,0,7,-66.177,143.879,1,0,0
2017197,1,0,7,-66.177,143.879,1,0,0
2017198,1,0,7,-66.177,143.879,1,0,0
2017199,1,0,7,-66.177,143.879,0,0,0
2017200,1,0,6,-66.177,143.879,0,0,0
2017201,1,0,6,-66.177,143.879,0,0,0
2017202,1,0,6,-66.177,143.879,0,0,0
2017203,1,0,6,-66.177,143.879,0,0,0
2017204,1,1.73,6,-66.161,143.875,0,0,0
2017205,1,3.97,6,-66.131,143.83,0,0,0
2017206,1,5.475,6,-66.107,143.724,0,0,0
2017207,1,3.412,6,-66.085,143.671,0,0,0
2017208,1,0,6,-66.085,143.671,0,10.56,0
2017209,1,0,6,-66.085,143.671,0,11.49,0
2017210,1,0,6,-66.085,143.671,0,13.82,0
2017211,1,0,6,-66.085,143.671,0,16.99,0
2017212,1,0,6,-66.085,143.671,1,22.11,0
2017213,1,0,6,-66.085,143.671,1,28.32,0
2017214,1,0,6,-66.085,143.671,1,29.59,0
2017215,1,3.39,6,-66.063,143.617,1,39.4,0
2017216,1,0,6,-66.063,143.617,1,51.75,0
2017217,1,3.997,6,-66.062,143.529,1,65.76,0
2017218,1,4.852,6,-66.019,143.531,1,73.55,0
2017219,1,1.344,6,-66.017,143.501,1,100.28,0
2017220,1,0,6,-66.017,143.501,1,134.68,0
2017221,1,0,6,-66.017,143.501,1,178.81,0
2017222,1,5.922,6,-65.978,143.413,1,228.42,0
2017223,1,0,6,-65.978,143.413,1,286.57,0
2017224,1,0,6,-65.978,143.413,1,347.66,0
2017225,1,0,6,-65.978,143.413,1,416.02,0
2017226,1,0,6,-65.978,143.413,1,486.33,0
2017227,1,0,6,-65.978,143.413,1,563.17,0
2017228,1,0,6,-65.978,143.413,1,644.56,0
2017229,1,0,6,-65.978,143.413,1,725.95,0
2017230,1,0,6,-65.978,143.413,1,811.62,0
2017231,1,7.641,6,-65.926,143.302,1,896.68,0
2017232,1,0,6,-65.926,143.302,1,986.72,0
2017233,1,3.109,6,-65.906,143.254,1,1099.62,0
2017234,1,0,6,-65.906,143.254,1,1217.12,0
2017235,1,0,6,-65.906,143.254,1,1347.25,0
2017236,1,0,6,-65.906,143.254,1,1473.22,0
2017237,1,0.607,7,-65.904,143.241,1,1595.58,0
2017238,1,1.337,7,-65.9,143.214,1,1706.84,0
2017239,1,1.338,7,-65.896,143.186,1,1817.74,0
2017240,1,0.609,6,-65.894,143.173,1,1923.05,0
2017241,1,0,6,-65.894,143.173,1,2006.81,0
2017242,1,0,6,-65.894,143.173,1,2103.27,0
2017243,1,0,6,-65.894,143.173,1,2184.8,0
2017244,1,0,6,-65.894,143.173,1,2258.21,-0.03
2017245,1,0,7,-65.894,143.173,1,2311.44,0.027
2017246,1,0,7,-65.894,143.173,1,2373.09,0.0652
2017247,1,0,7,-65.894,143.173,1,2408.79,0.0479
2017248,1,0,7,-65.894,143.173,1,2433.25,0.0444
2017249,1,0,7,-65.894,143.173,1,2453.55,0.0334
2017250,1,2.981,7,-65.878,143.121,1,2432.77,0.0083
2017251,1,0,6,-65.878,143.121,1,2437.54,-0.0062
2017252,1,2.251,7,-65.898,143.127,1,2432.46,-0.0313
2017253,1,0.277,7,-65.895,143.125,1,2419.31,0.0273
2017254,1,0.377,7,-65.892,143.123,1,2401.74,0.0375
2017255,1,0.416,7,-65.889,143.12,1,2374.82,0.0105
2017256,1,0.424,7,-65.885,143.118,1,2304.89,0.0125
2017257,1,0.402,7,-65.881,143.117,1,2263.49,0.0045
2017258,1,0.283,6,-65.879,143.117,1,2158.16,-0.0067
2017259,1,0.169,7,-65.877,143.117,1,2076.87,0
2017260,1,0.084,7,-65.876,143.118,1,1974.67,0
2017261,1,0.013,7,-65.876,143.117,1,1854.08,0
2017262,1,0.079,7,-65.877,143.116,1,1747.92,0
2017263,1,0.148,7,-65.878,143.115,1,1635.45,0
2017264,1,0.154,7,-65.879,143.113,1,1539.38,0
2017265,1,0.058,6,-65.88,143.112,1,1439.4,0
2017266,1,0,7,-65.88,143.112,1,1358.58,0
2017267,1,0,7,-65.88,143.112,1,1254.03,0
