date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2014255,0,0,6,-69.067,36.275,0,776.32,0
2014256,1,0,6,-69.067,36.275,0,776.94,0
2014257,1,0,6,-69.067,36.275,0,777.56,0
2014258,1,0,6,-69.067,36.275,0,778.19,0
2014259,1,0,6,-69.067,36.275,0,778.81,0
2014260,1,0,6,-69.067,36.275,0,779.44,0
2014261,1,0,6,-69.067,36.275,0,780.06,0
2014262,1,0,6,-69.067,36.275,0,780.68,0
2014263,1,0,6,-69.067,36.275,0,781.31,0
2014264,1,0,6,-69.067,36.275,0,781.93,0
2014265,1,0,6,-69.067,36.275,0,782.56,0
2014266,1,0.558,6,-69.064,36.286,0,783.18,-0.0003
2014267,1,0,6,-69.064,36.286,0,783.8,0.0002
2014268,1,0,6,-69.064,36.286,0,784.71,0.0005
2014269,1,0,6,-69.064,36.286,0,785.2,0.0064
2014270,1,0,6,-69.064,36.286,0,785.61,0.0064
2014271,1,0,6,-69.064,36.286,0,786.22,-0.0139
2014272,1,0,6,-69.064,36.286,0,786.84,-0.0386
2014273,1,0,6,-69.064,36.286,0,787.75,-0.0393
2014274,1,0,6,-69.064,36.286,0,788.7,-0.035
2014275,1,0,6,-69.064,36.286,0,789.57,-0.0364
2014276,1,0,6,-69.064,36.286,0,790.17,-0.0016
2014277,1,0,6,-69.064,36.286,0,791.45,0.0328
2014278,1,0,6,-69.064,36.286,0,792.53,0.0485
2014279,1,0,6,-69.064,36.286,0,794.22,0.0394
2014280,1,0,6,-69.064,36.286,0,795.98,0.0263
2014281,1,0,6,-69.064,36.286,0,797.6,0.0239
2014282,1,0,6,-69.064,36.286,0,799.25,0.008
2014283,1,0,6,-69.064,36.286,0,801.24,-0.0132
2014284,1,0,6,-69.064,36.286,0,802.36,0.0038
2014285,1,0,6,-69.064,36.286,0,802.93,-0.0064
2014286,1,0,6,-69.064,36.286,0,803.34,-0.0194
2014287,1,0,6,-69.064,36.286,0,803.92,-0.0285
2014288,1,0,6,-69.064,36.286,0,804.32,-0.0224
2014289,1,0,6,-69.064,36.286,0,804.68,0.0138
2014290,1,0,6,-69.064,36.286,0,804.83,0.0455
2014291,1,0,6,-69.064,36.286,0,804.94,0.0128
2014292,1,0,6,-69.064,36.286,0,804.67,0.0393
2014293,1,0,6,-69.064,36.286,0,804.28,0.0016
2014294,1,0,6,-69.064,36.286,0,804.28,-0.0268
2014295,1,0,6,-69.064,36.286,0,804.25,-0.0473
2014296,1,0,6,-69.064,36.286,0,803.95,-0.0426
2014297,1,0,6,-69.064,36.286,0,803.57,-0.0092
2014298,1,0,6,-69.064,36.286,0,802.73,0.0063
2014299,1,0,6,-69.064,36.286,1,801.84,-0.0204
2014300,1,0,6,-69.064,36.286,1,800.75,0.0162
2014301,1,0,6,-69.064,36.286,1,798.69,-0.0023
2014302,1,0,6,-69.064,36.286,1,796.25,0
2014303,1,0,6,-69.064,36.286,1,793.42,0.0077
2014304,1,0,6,-69.064,36.286,1,790.28,-0.0075
2014305,1,0,6,-69.064,36.286,1,786.61,-0.0126
2014306,1,0,6,-69.064,36.286,0,782.88,-0.0268
2014307,1,0,6,-69.064,36.286,0,779.02,-0.002
2014308,1,0,6,-69.064,36.286,0,775.12,0.0026
2014309,1,0,6,-69.064,36.286,1,772.44,0.0158
2014310,1,0,6,-69.064,36.286,1,770.49,0.0112
2014311,1,0,6,-69.064,36.286,1,768.99,0.0341
2014312,1,0,6,-69.064,36.286,1,763.87,0.046
2014313,1,0,6,-69.064,36.286,1,758.81,-0.0056
2014314,1,0,6,-69.064,36.286,1,757.2,-0.0549
2014315,1,0,6,-69.064,36.286,1,752.31,-0.0554
2014316,1,0,6,-69.064,36.286,1,747.22,-0.1084
2014317,1,0,6,-69.064,36.286,1,742.15,-0.109
2014318,1,0,6,-69.064,36.286,0,736.95,-0.1032
2014319,1,0,6,-69.064,36.286,0,731.62,-0.0299
2014320,1,0,6,-69.064,36.286,0,726.27,0.028
2014321,1,0,6,-69.064,36.286,0,720.24,0.0167
2014322,1,0,6,-69.064,36.286,0,714.29,0.0271
2014323,1,0,6,-69.064,36.286,0,708.5,0.0298
2014324,1,0,6,-69.064,36.286,0,702.01,-0.0031
2014325,1,0,6,-69.064,36.286,0,695.77,-0.0048
2014326,1,0,6,-69.064,36.286,0,696.45,-0.0092
2014327,1,0,6,-69.064,36.286,0,690.39,0.0036
2014328,1,0,6,-69.064,36.286,1,684.16,0
2014329,1,0,6,-69.064,36.286,1,684.4,0
2014330,1,0,6,-69.064,36.286,1,684.22,0
2014331,1,0,6,-69.064,36.286,1,684.23,0
2014332,1,0,6,-69.064,36.286,1,685.3,0
2014333,1,0,6,-69.064,36.286,1,685.83,0
2014334,1,0,6,-69.064,36.286,1,680.43,0
2014335,1,0,6,-69.064,36.286,1,676.11,0
2014336,1,0,6,-69.064,36.286,1,675.34,0
2014337,1,0,6,-69.064,36.286,1,680.35,0
2014338,1,0,6,-69.064,36.286,1,676.47,0
2014339,1,0,6,-69.064,36.286,1,678.67,0
2014340,1,0,6,-69.064,36.286,1,675.77,0
2014341,1,4.046,6,-69.1,36.286,1,674.88,0
2014342,1,0,6,-69.1,36.286,1,673.99,0.0037
2014343,1,0,7,-69.1,36.286,1,672.94,0.0001
2014344,1,0,6,-69.1,36.286,1,672.35,-0.0086
2014345,1,0,6,-69.1,36.286,1,672.2,-0.0106
2014346,1,0,7,-69.1,36.286,1,673.1,-0.0194
2014347,1,0,6,-69.1,36.286,1,674.15,-0.0235
2014348,1,0,6,-69.1,36.286,1,675.69,-0.0228
