date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2013317,0,0,6,-67.794,48.91,1,-33.48,0
2013318,1,0.56,6,-67.799,48.912,1,12.3,0
2013319,1,1.476,6,-67.793,48.88,1,58.08,0
2013320,1,0.799,6,-67.794,48.899,1,103.86,0
2013321,1,0.708,6,-67.798,48.887,1,149.65,0
2013322,1,0.717,6,-67.804,48.897,1,195.43,0
2013323,1,0.913,6,-67.803,48.876,1,241.21,0
2013324,1,1.025,6,-67.802,48.851,1,286.99,0
2013325,1,2.625,6,-67.804,48.914,1,332.77,0
2013326,1,3.622,6,-67.774,48.884,1,378.55,0
2013327,1,3.282,6,-67.786,48.955,0,424.34,0
2013328,1,2.192,6,-67.805,48.949,0,470.12,0
2013329,1,1.142,6,-67.815,48.955,0,515.9,0
2013330,1,1.743,6,-67.83,48.966,0,582.05,0
2013331,1,1.435,6,-67.82,48.946,1,629.11,0
2013332,1,3.475,6,-67.827,48.865,1,714.56,0
2013333,1,1466.17,3,-69.383,12,1,805.09,0
2013334,1,0,3,-69.383,12,0,882.21,0
2013335,1,0,3,-69.383,12,0,953.34,0
2013336,1,1467.502,6,-67.813,48.882,0,998.81,0
2013337,1,1.491,6,-67.804,48.908,0,1044.77,0
2013338,1,2.197,6,-67.79,48.946,1,1102.56,0
2013339,1,1.356,6,-67.8,48.925,1,1161.61,0
2013340,1,0.112,6,-67.799,48.922,1,1205.56,0
2013341,1,0.717,6,-67.794,48.912,1,1248.06,0
2013342,1,1.096,6,-67.804,48.911,1,1288.74,0
2013343,1,0.551,6,-67.799,48.912,1,1327.83,0
2013344,1,1.09,6,-67.789,48.913,1,1365.4,0
2013345,1,1.434,6,-67.779,48.893,1,1398.52,0
2013346,1,0.841,7,-67.784,48.907,1,1445.51,0
2013347,1,0.835,6,-67.79,48.922,0,1472.83,0
2013348,1,0.648,6,-67.784,48.914,0,1495.13,0
2013349,1,0,6,-67.784,48.914,0,1510.97,0
2013350,1,7.419,6,-67.82,48.764,0,1527.35,0
2013351,1,1.787,6,-67.816,48.805,0,1542.84,0
2013352,1,1.265,6,-67.821,48.831,0,1555.59,0
2013353,1,1.494,6,-67.812,48.858,0,1564.79,0
2013354,1,1.805,6,-67.806,48.818,0,1571.07,0
2013355,1,1.94,6,-67.795,48.782,0,1552.76,0
2013356,1,3.716,6,-67.808,48.864,0,1552.92,0
2013357,1,3.481,6,-67.815,48.783,0,1511.65,0
2013358,1,1.795,6,-67.809,48.744,1,1465.13,0
2013359,1,0.68,6,-67.808,48.728,1,1426.55,0
2013360,1,1.573,6,-67.812,48.691,1,1390.96,0
2013361,1,3.135,6,-67.819,48.764,1,1379.84,0
2013362,1,0.336,6,-67.82,48.772,1,1365,0
2013363,1,0,6,-67.82,48.772,1,1357.07,0
2013364,1,0,6,-67.82,48.772,1,1345.49,0
2013365,1,0,7,-67.82,48.772,1,1334.2,0
2014001,1,0,7,-67.82,48.772,1,1321.2,0
2014002,1,0,7,-67.82,48.772,1,1309.67,0
2014003,1,0,6,-67.82,48.772,1,1295.88,0
2014004,1,0,6,-67.82,48.772,1,1282.14,0
2014005,1,0,6,-67.82,48.772,1,1262.96,0
2014006,1,0,6,-67.82,48.772,1,1248.23,0
2014007,1,0,6,-67.82,48.772,1,1237.54,0
2014008,1,0,7,-67.82,48.772,1,1229.93,0
2014009,1,0,7,-67.82,48.772,1,1224.33,0
2014010,1,0,7,-67.82,48.772,1,1222.2,0
2014011,1,0,7,-67.82,48.772,1,1218.36,-0.0112
2014012,1,0,6,-67.82,48.772,1,1213.45,0.0075
2014013,1,0,6,-67.82,48.772,1,1209.39,0.0209
2014014,1,1.205,6,-67.823,48.799,1,1205.93,0.0289
2014015,1,1.192,6,-67.833,48.787,1,1203.34,0.0316
2014016,1,0,6,-67.833,48.787,1,1201.75,0.0289
2014017,1,0,6,-67.833,48.787,1,1200.62,0.0209
2014018,1,0,6,-67.833,48.787,1,1200.45,0.0075
2014019,1,0,6,-67.833,48.787,1,1200.53,-0.0112
2014020,1,0,6,-67.833,48.787,1,1201.69,0
2014021,1,0,6,-67.833,48.787,1,1201.79,0
2014022,1,0,6,-67.833,48.787,1,1202.81,0
2014023,1,0,6,-67.833,48.787,1,1196.41,0
2014024,1,0,6,-67.833,48.787,1,1189.19,0
2014025,1,8.09,6,-67.85,48.599,1,1181.78,0
2014026,1,5.978,6,-67.81,48.696,1,1175.12,0
2014027,1,1.787,6,-67.819,48.733,1,1165.72,0
2014028,1,0,6,-67.819,48.733,1,1158.41,0
2014029,1,0,6,-67.819,48.733,1,1150.35,0
2014030,1,0,6,-67.819,48.733,1,1149.5,0
2014031,1,0,7,-67.819,48.733,1,1143.81,0
2014032,1,0,7,-67.819,48.733,0,1138.54,0
2014033,1,0,7,-67.819,48.733,0,1140.28,0
2014034,1,0,7,-67.819,48.733,0,1145.59,0
2014035,1,0,6,-67.819,48.733,0,1147.32,0
2014036,1,0,6,-67.819,48.733,0,1153.35,0
2014037,1,0,6,-67.819,48.733,0,1159.94,0
2014038,1,0,6,-67.819,48.733,0,1165.81,0
2014039,1,0,7,-67.819,48.733,0,1176.95,0
2014040,1,0,6,-67.819,48.733,0,1199.85,0
2014041,1,0,6,-67.819,48.733,0,1226.12,0
2014042,1,0,6,-67.819,48.733,0,1257.67,0
2014043,1,0,6,-67.819,48.733,0,1292.93,-0.0093
2014044,1,0,6,-67.819,48.733,0,1333.73,0.0002
2014045,1,0,6,-67.819,48.733,0,1377.77,0.0213
2014046,1,0,6,-67.819,48.733,1,1426.58,0.0536
2014047,1,0,6,-67.819,48.733,1,1478.58,0.0132
2014048,1,0,6,-67.819,48.733,1,1527.45,0.0175
2014049,1,0,6,-67.819,48.733,1,1585.5,0.0155
2014050,1,0,6,-67.819,48.733,1,1645.79,0.0073
2014051,1,0,6,-67.819,48.733,1,1700.2,-0.0072
2014052,1,0,6,-67.819,48.733,1,1769.3,0.0014
2014053,1,0,6,-67.819,48.733,1,1841.86,0.0178
2014054,1,0,6,-67.819,48.733,1,1888.38,0.0292
2014055,1,0,6,-67.819,48.733,1,1943.55,-0.0162
2014056,1,2.457,7,-67.813,48.789,1,2032.56,0
2014057,1,2.456,6,-67.807,48.845,1,2123.97,0
2014058,1,0,6,-67.807,48.845,1,2227.17,0
2014059,1,0,6,-67.807,48.845,1,2339.69,0
2014060,1,0,6,-67.807,48.845,1,2469.62,0
2014061,1,1.822,6,-67.798,48.882,1,2583.5,0
2014062,1,0,6,-67.798,48.882,1,2693.71,0
2014063,1,0,6,-67.798,48.882,1,2796.23,0
2014064,1,0,6,-67.798,48.882,1,2868.53,0.0265
2014065,1,1.49,6,-67.789,48.908,1,2985.54,-0.0177
2014066,1,0,6,-67.789,48.908,1,3079.27,-0.0501
2014067,1,0,6,-67.789,48.908,1,3174.4,-0.0838
2014068,1,0,6,-67.789,48.908,1,3296.18,-0.0371
2014069,1,0,6,-67.789,48.908,1,3392.7,-0.0526
2014070,1,0,6,-67.789,48.908,1,3459.49,-0.0517
2014071,1,0,7,-67.789,48.908,1,3486.45,-0.0343
2014072,1,0,6,-67.789,48.908,1,3509.34,-0.0006
2014073,1,0,6,-67.789,48.908,1,3532.48,-0.0337
2014074,1,0,6,-67.789,48.908,1,3543.81,-0.0292
2014075,1,0,6,-67.789,48.908,1,3475.87,-0.0377
2014076,1,0,6,-67.789,48.908,1,3483.35,0.0115
2014077,1,0,6,-67.789,48.908,1,3451.19,-0.0187
2014078,1,0,6,-67.789,48.908,1,3412.66,-0.0204
2014079,1,0,6,-67.789,48.908,0,3401.92,-0.0187
2014080,1,0,6,-67.789,48.908,0,3366.01,-0.0135
