date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2016095,0,0,6,-69.35,29.517,1,0,0
2016096,1,0,6,-69.35,29.517,1,0,0
2016097,1,0,6,-69.35,29.517,1,0,0
2016098,1,0,6,-69.35,29.517,1,0,0
2016099,1,0,6,-69.35,29.517,1,0,0
2016100,1,0,7,-69.35,29.517,1,0,0
2016101,1,0,7,-69.35,29.517,1,0,0
2016102,1,0,7,-69.35,29.517,1,0,0
2016103,1,0,7,-69.35,29.517,1,0,0
2016104,1,0,7,-69.35,29.517,1,0,0
2016105,1,0,7,-69.35,29.517,1,0,0
2016106,1,0,6,-69.35,29.517,1,0,0
2016107,1,0,7,-69.35,29.517,1,0,0
2016108,1,0,7,-69.35,29.517,1,0,0
2016109,1,0,7,-69.35,29.517,1,0,0
2016110,1,0,7,-69.35,29.517,1,0,0
2016111,1,0,7,-69.35,29.517,1,0,0
2016112,1,0,7,-69.35,29.517,1,0,0
2016113,1,0,7,-69.35,29.517,1,0,0
2016114,1,0,7,-69.35,29.517,1,0,0
2016115,1,0,7,-69.35,29.517,1,0,0
2016116,1,0,7,-69.35,29.517,1,0,0
2016117,1,0,7,-69.35,29.517,1,0,0
2016118,1,0,7,-69.35,29.517,1,0,0
2016119,1,0.366,7,-69.35,29.507,1,0,0
2016120,1,0.681,7,-69.35,29.49,1,0,0
2016121,1,0.366,7,-69.351,29.481,1,0,0
2016122,1,0,7,-69.351,29.481,1,0,0
2016123,1,0,7,-69.351,29.481,0,0,0
2016124,1,0,7,-69.351,29.481,0,0,0
2016125,1,0,7,-69.351,29.481,0,0,0
2016126,1,0,7,-69.351,29.481,0,0,0
2016127,1,0,7,-69.351,29.481,0,0,0
2016128,1,0,7,-69.351,29.481,0,0,0
2016129,1,0,7,-69.351,29.481,0,0,0
2016130,1,0,7,-69.351,29.481,0,0,0
2016131,1,0,7,-69.351,29.481,0,0,0
2016132,1,0,7,-69.351,29.481,0,0,0
2016133,1,0,7,-69.351,29.481,0,0,0
2016134,1,0,7,-69.351,29.481,0,0,0
2016135,1,0,7,-69.351,29.481,0,0,0
2016136,1,0,7,-69.351,29.481,0,0,0
2016137,1,0,7,-69.351,29.481,0,0,0
2016138,1,0,7,-69.351,29.481,0,0,0
2016139,1,0,7,-69.351,29.481,0,0,0
2016140,1,0,7,-69.351,29.481,0,0,0
2016141,1,0,6,-69.351,29.481,0,0,0
2016142,1,0,7,-69.351,29.481,0,0,0
